diocese ID,root no,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,a,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,TIME GAP (Civil War),1861,1860,1859,1858,1857,1856,1855,1854,1853,1852,1851,1850,1849,1848,1847,1846,1845,1844,1843,1842,1841,1840,1839,1838,1837,1836,1835,1834,1833
bal.md,01,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore,Baltimore (54),Baltimore (53),Baltimore (53),,Baltimore (51),Baltimore (53),Baltimore (50),Baltimore (70),Baltimore (61),Baltimore (62),Baltimore (62),Baltimore (59),Baltimore (58),Baltimore (66),Baltimore (95),Baltimore (74),Baltimore (78),Baltimore (86),Baltimore (68),Baltimore (72),Baltimore (58),Baltimore (61),Baltimore (54),Baltimore (60),Baltimore (71),Baltimore (49),Baltimore (69),Baltimore (59),Baltimore (68),Baltimore (62),Baltimore (49),Baltimore (48),Baltimore
bos.ma ,02,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston,Boston (101),Boston (102),Boston (97),,Boston (130),Boston (147),Boston (142),Boston (47),Boston (225),Boston (109),Boston (191),Boston (193),Boston (160),Boston (201),Boston (164),Boston (99),Boston (241),Boston (233),Boston (173),Boston (184),Boston (145),Boston (87),Boston (119),Boston (84),Boston (113),Boston (87),Boston (114),Boston (88),Boston (106),Boston (70),Boston (57),Boston (54),Boston
chi.il,03,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago (145),Chicago (164),Chicago (159),,Chicago (162),Chicago (184),Chicago (178),Chicago (131),Chicago (210),Chicago (90),Chicago (167),Chicago (152),Chicago (109),Chicago (137),Chicago (147),Chicago (112),Chicago (132),Chicago (138),Chicago (117),Chicago (172),Chicago (111),Chicago (164),,,,,,,,,,,
cin.oh,04,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati (72),Cincinnati (124),Cincinnati (120),,Cincinnati (81),Cincinnati (89),Cincinnati (86),Cincinnati (97),Cincinnati (112),Cincinnati (125),Cincinnati (137),Cincinnati (96),Cincinnati (78),Cincinnati ( 95),Cincinnati (64),Cincinnati (140),Cincinnati (140),Cincinnati (143),Cincinnati (100),Cincinnati (88),Cincinnati (97),Cincinnati (131),Cincinnati (70),Cincinnati (90),Cincinnati (121),Cincinnati (92),Cincinnati (125),Cincinnati (96),Cincinnati (114),Cincinnati (72),Cincinnati (59),Cincinnati (56),Cincinnati
dub.ia,05,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuqe,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque,Dubuque (226),Dubuque (169),Dubuque (164),,Dubuque (165),Dubuque (188),Dubuque (181),Dubuque (144),Dubuque (137),Dubuque (140),Dubuque (83),Dubuque (164),Dubuque (117),Dubuque (145),Dubuque (138),Dubuque (129),Dubuque (119),Dubuque (223),Dubuque (121),Dubuque (127),Dubuque (118),Dubuque (95),Dubuque (82),Dubuque (109),Dubuque (138),Dubuque (103),Dubuque (133),,,,,,
mil.wi,06,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,"Milwaukee (87, 429)",Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee,Milwaukee (176),Milwaukee (172),Milwaukee (167),,Milwaukee (168),Milwaukee (192),Milwaukee (184),Milwaikie (138),Milwaukee (157),Milwaukee (200),Milwaukee (216),Milwaukee (204),Milwaukee (140),Milwaukie (188),Milwaukie (141),Milwaukee (119),Milwaukie (124),Milwakie (190),Milwaukie (184),Milwaukie (176),Milwaukie (115),Milwaukie (94),,,,,,,,,,,
new.la,07,New Orleans ,New Orleans ,New Orleans ,New Orleans ,New Orleans ,New Orleans ,New Orleans ,New Orleans ,New Orleans ,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans ,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,ERROR: No data printed in almanac due to Civil War,ERROR: No data printed in almanac due to Civil War,,New Orleans (108),New Orleans (120),New Orleans (116),New Orleans (154),New Orleans (106),New Orleans (159),New Orleans (107),New Orleans (137),New Orleans  (97),New Orleans (159),New Orleans (175),New Orleans (136),New Orleans (109),New Orleans (121),New Orleans (137),New Orleans (148),New Orleans (121),New Orleans (109),New Orleans (94),New Orleans (122),New Orleans (154),New Orleans (120),New Orleans (163),New Orleans (134),New Orleans (154),New Orleans (77),New Orleans (46),New Orleans (45),New Orleans
nyc.ny,08,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York,New York City,New York City,New York City,New York City,New York,New York City,New York,New York,New York,New York (64),New York (89),New York (85),,New York (120),New York (136),New York (131),New York (37),New York (188),New York (170),New York (129),New York (214),New York (186),New York (205),New York (154),New York (177),New York (158),New York (175),New York (158),New York  (106),New York (85),New York (122),New York (111),New York (148),New York (186),New York (146),New York (106),New York (83),New York (103),New York (68),New York (55),New York (54),New York
ore.or,09,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City,Oregon City (200),Oregon City (192),,Oregon City (131),Oregon City (171),Oregon City (165),Oregon (171),Oregon City (202),Oregon City (224),Oregon City (239),Oregon City (231),Oregon City (203),Oregon City (197),Oregon City (187),Oregon City (190),Oregon City (250),Oregon City (227),Oregon City (192),Vicariate of Oregon Territory (191),Apostolic Vicariate of Oregon Territory (167),Apostolic Vicariate of Oregon Territory (164),,,,,,,,,,,
phi.pa,10,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia (193),Philadelphia (66),Philadelphia (64),,Philadelphia (60),Philadelphia (84),Philadelphia (61),Philadelphia (76),Philadelphia (145),Philadelphia (113),Philadelphia (178),Philadelphia (78),Philadelphia (175),Philadelphia (78),Philadelphia (107),Philadelphia (85),Philadelphia (185),Philadelphia (165),Philadelphia (83),Philadelphia (99),Philadelphia (73),Philadelphia (77),Philadelphia (123),Philadelphia (75),Philadelphia (103),Philadelphia  (81),Philadelphia (102),Philadelphia (79),Philadelphia (100),Philadelphia (65),Philadelphia (52),Philadelphia (51),Philadelphia
