instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿alt.il.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,,,,,,,﻿h_d_juncker_001,﻿Rt. Rev.,﻿H. D. Juncker,,,,,,,1866.0,Alton
﻿alt.il.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,,,,,,,﻿j_janssen_001,﻿Rev.,﻿J. Janssen,,,,,,,1866.0,Alton
﻿alt.il.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,,,,,,,﻿jam_harty_001,﻿Rev.,﻿James Hartz,,,,,,,1866.0,Alton
﻿alt.il.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,,,,,,,﻿p_brady_002,﻿Rev.,﻿P. Brady,,,,,,,1866.0,Alton
﻿alt.il.0002,﻿church,﻿St. Mary's,English,﻿German,,,﻿Madison County,﻿Madison County,﻿Alton,﻿Alton,﻿IL,,,,,,,,﻿f_ostrop_001,﻿Rev.,﻿F. Ostrop,,,,,,,1866.0,Alton
﻿alt.il.0004,﻿church,not recorded,English,﻿vacant,,,﻿Union County,﻿Union County,﻿Anna,﻿Anna,﻿IL,,,,,,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0007,﻿church,not recorded,English,,,,﻿Christian County,﻿Christian County,﻿Assumption,﻿Assumption,﻿IL,,,,,,,,﻿p_j_bedard_001,﻿Rev.,﻿Peter J. Bedard,,,,,,,1866.0,Alton
﻿alt.il.0008,﻿church,﻿St. Francis' of Assisi,English,﻿vacant,,,﻿Clinton County,﻿Clinton County,﻿Aviston,﻿Aviston,﻿IL,,,,,,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0009,﻿church,﻿St. Alexius',English,,,,﻿Cass County,﻿Cass County,﻿Beardstown,﻿Beardstown,﻿IL,,,,,,,,﻿r_heimerling_001,﻿Rev.,﻿R. Heimerling,,,,,,,1866.0,Alton
﻿alt.il.0010,﻿church,﻿St. Peter's,English,,,,﻿St. Clair County,﻿St. Clair County,﻿Belleville,﻿Belleville,﻿IL,,,,,,,,﻿p_j_baltes_001,﻿Rev.,﻿P. J. Baltes,,,,,,,1866.0,Alton
﻿alt.il.0010,﻿church,﻿St. Peter's,English,,,,﻿St. Clair County,﻿St. Clair County,﻿Belleville,﻿Belleville,﻿IL,,,,,,,,﻿a_pinkers_001,﻿Rev.,﻿A. Pinkers,﻿O.S.F,,,,,,1866.0,Alton
﻿alt.il.0011,﻿church,not recorded,English,,,,﻿Madison County,﻿Madison County,﻿Bethalto,﻿Bethalto,﻿IL,,,,﻿alt.il.0222,﻿Attended from Alton,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0012,﻿church,not recorded,English,,,,﻿Effingham County,﻿Effingham County,﻿Bishop,﻿Bishop Township,﻿IL,,,,﻿alt.il.0127,﻿Attended from Teutopolis,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0013,﻿church,﻿St. John's,English,,,,﻿Madison County,﻿St. Louis County,﻿Black Jack,﻿Black Jack,﻿IL,﻿MO,,,﻿alt.il.0040,﻿Attended from Edwardsville,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0014,﻿church,not recorded,English,,,,﻿Adams County,﻿Adams County,﻿Bloomfield,﻿Ellington Township,﻿IL,,,,﻿alt.il.0093,﻿Attended from Quincy,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0014,﻿church,not recorded,English,,,,﻿Lawerence County,﻿Adams County,﻿Bridgeport,﻿Ellington Township,﻿IL,,,,﻿alt.il.0084,﻿Attended from Olney,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0017,﻿church,not recorded,English,,,,﻿Macoupin County,﻿Macoupin County,﻿Brighton,﻿Brighton,﻿IL,,,,﻿alt.il.0222,﻿Attended from Alton,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0018,﻿church,﻿Immaculate Conception,English,,﻿News P.O.,,﻿Calhoun County,﻿Calhoun County,﻿Brussels,﻿Brussels,﻿IL,,,,,,,,﻿joh_mark_001,﻿Rev.,﻿J. Mark,,,,,,,1866.0,Alton
﻿alt.il.0019,﻿church,not recorded,English,,,,﻿Macoupin County,﻿Macoupin County,﻿Bunker Hill,﻿Bunker Hill,﻿IL,,,,﻿alt.il.0222,﻿Attended from Alton,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0020,﻿church,﻿Holy Family,English,,,,﻿St. Clair County,﻿St. Clair County,﻿Cahokia,﻿Cahokia Heights,﻿IL,,,,,,,,﻿p_doutreluigne_001,﻿Rev.,﻿P. Doutreligne,﻿C.M.,,,,,,1866.0,Alton
﻿alt.il.0021,﻿church,﻿St. Patrick's,English,,,,﻿Alexander County,﻿Alexander County,﻿Cairo,﻿Cairo,﻿IL,,,,,,,,﻿l_j_lambert_001,﻿Rev.,﻿L. Lambert,,,,,,,1866.0,Alton
﻿alt.il.0021,﻿church,﻿St. Patrick's,English,,,,﻿Alexander County,﻿Alexander County,﻿Cairo,﻿Cairo,﻿IL,,,,,,,,﻿ant_zingchina_001,﻿Rev.,﻿Anth. Zingchina,,,,,,,1866.0,Alton
﻿alt.il.0022,﻿church,not recorded,English,,,,﻿Adams County,﻿Adams County,﻿Campoint,﻿Camp Point,﻿IL,,,,﻿alt.il.0073,﻿Attended from Mount Sterling,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0023,﻿church,﻿Immaculate Conception,English,,,,﻿Macoupin County,﻿Macoupin County,﻿Carlinville,﻿Carlinville,﻿IL,,,,,,,,﻿f_schreiber_001,﻿Rev.,﻿F. Schreiber,,,,,,,1866.0,Alton
﻿alt.il.0025,﻿church,﻿St. Mary's,English,,,,﻿Clinton County,﻿Clinton County,﻿Carlyle,﻿Carlyle,﻿IL,,,,,,,,﻿cle_sieghardt_001,﻿Rev.,﻿Clem. Sieghardt,,,,,,,1866.0,Alton
﻿alt.il.0026,﻿church,not recorded,English,,,,﻿Greene County,﻿Greene County,﻿Carrollton,﻿Carrollton,﻿IL,,,,,,,,﻿p_dee_001,﻿Rev.,﻿Patr. Dee,,,,,,,1866.0,Alton
﻿alt.il.0027,﻿church,not recorded,English,,,,﻿St. Clair County,﻿St. Clair County,﻿Centreville Station,﻿Centreville Township,﻿IL,,,,﻿alt.il.0020,﻿Attended from Cahokia,,,,,,,,,,,,1866.0,Alton
﻿alt.il.0028,﻿church,﻿Assumption of the Blessed Virgin Mary,English,,,,﻿Marion County,﻿Marion County,﻿Centralia,﻿Centralia,﻿IL,,,,,,,,﻿tho_walsh_004,﻿Rev.,﻿Th. Walsh,,,,,,,1866.0,Alton
