instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿bur.vt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Burlington,,﻿VT,,44.475882500000004,-73.21207199999999,,,,,﻿jer_m_cloarec_001,﻿Rev.,﻿Jerome M. Cloarec,,﻿Pastor,,,,,1868.0,Burlington
﻿bur.vt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Burlington,,﻿VT,,44.475882500000004,-73.21207199999999,,,,,﻿mic_mcauley_001,﻿Rev.,﻿Mich. McAuley,,,,,,,1868.0,Burlington
﻿bur.vt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Burlington,,﻿VT,,44.475882500000004,-73.21207199999999,,,,,﻿tho_halpin_001,﻿Rev.,﻿Thomas Halpin,,,,,,,1868.0,Burlington
﻿bur.vt.0002,﻿church,﻿St. Joseph's,English,,,,,,﻿Burlington,,﻿VT,,44.4835164,-73.21461500000001,,,,,﻿her_cardinal_001,﻿Rev.,﻿Hervé Cardinal,,,,,,,1868.0,Burlington
﻿bur.vt.0003,﻿church,not recorded,English,,,,﻿Franklin County,,﻿Alburgh,,﻿VT,,44.9750541,-73.3002239,,"﻿Attended from St. Sebastien, C.E.",,,,,,,,,,,,1868.0,Burlington
﻿bur.vt.0004,﻿church,not recorded,English,,,,,,﻿Albany,,﻿VT,,44.7309405,-72.37980759999999,﻿bur.vt.0050,﻿Attended from St. Johnsbury,,,,,,,,,,,,1868.0,Burlington
﻿bur.vt.0007,﻿church,not recorded,English,,,,﻿Franklin County,,﻿Berkshire (West),,﻿VT,,44.9717124,-72.7754147,﻿bur.vt.0021,﻿Attended from Fairfield,,,,,,,,,,,,1868.0,Burlington
﻿bur.vt.0008,﻿church,﻿St. Charles,English,,,,﻿Windham County,,﻿Bellows Falls,,﻿VT,,43.136091,-72.44948199999999,﻿bur.vt.0012,﻿Attended from Brattleboro,,,,,,,,,,,,1868.0,Burlington
﻿bur.vt.0009,﻿church,not recorded,English,,,,﻿Lamoille County,,﻿Belvidere,,﻿VT,,44.7492093,-72.6986673,﻿bur.vt.0021,﻿Attended from Fairfield,,,,,,,,,,,,1868.0,Burlington
﻿bur.vt.0010,﻿church,﻿St. Francis of Sales,English,,,,﻿Bennington County,,﻿Bennington (East),,﻿VT,,42.878134499999994,-73.1967741,,,,,﻿den_a_ryan_001,﻿Rev.,﻿Denis A. Ryan,,,,,,,1868.0,Burlington
﻿bur.vt.0011,﻿church,﻿Our Lady of Good Help,English,,,,﻿Addison County,,﻿Brandon,,﻿VT,,43.794726000000004,-73.082193,,,,,﻿tho_haplin_001,﻿Rev.,﻿Thomas Haplin,,,,,,,1868.0,Burlington
