instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿cha.sc.0001,﻿cathedral,"﻿Cathedral Chapel, St. John the Baptist",English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7764958,-79.9344682,,,,,﻿p_n_lynch_001,﻿Rt. Rev.,﻿P. N. Lynch,﻿D.D.,,,,,,1868.0,Charleston
﻿cha.sc.0001,﻿cathedral,"﻿Cathedral Chapel, St. John the Baptist",English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7764958,-79.9344682,,,,,﻿t_bermingham_001,﻿Very Rev.,﻿T. Bermingham,﻿D.D.,﻿Vicar-General,,,,,1868.0,Charleston
﻿cha.sc.0001,﻿cathedral,"﻿Cathedral Chapel, St. John the Baptist",English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7764958,-79.9344682,,,,,﻿dan_j_quigley_001,﻿Rev.,﻿Daniel J. Quigley,,,,,,,1868.0,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,﻿Hasell street,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7817998,-79.9328247,,,,,﻿r_s_baker_001,﻿Very Rev.,﻿R. S. Baker,,,,,,,1868.0,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,﻿Hasell street,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7817998,-79.9328247,,,,,﻿p_ryan_002,﻿Rev.,﻿P. Ryan,,,,,,,1868.0,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,﻿Hasell street,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7817998,-79.9328247,,,,,﻿cla_b_northrop_001,﻿Rev.,﻿Claudian B. Northrop,,,,,,,1868.0,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7882253,-79.9403921,,,,,﻿joh_moore_001,﻿Rev.,﻿John Moore,﻿D.D.,,,,,,1868.0,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7882253,-79.9403921,,,,,﻿joh_schachte_001,﻿Rev.,﻿John Schachte,,,﻿1870 includes middle initial O.,,,,1868.0,Charleston
﻿cha.sc.0004,﻿church,﻿St. Joseph's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.784352,-79.946823,,,,,﻿cha_j_croghan_001,﻿Rev.,﻿Charles J. Croghan,,,,,,,1868.0,Charleston
﻿cha.sc.0005,﻿church,﻿St. Paul's,﻿German,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.928228999999995,-79.85591590000001,,,,,﻿fra_j_shadler_001,﻿Rev.,﻿Francis J. Shadler,,,,,,,1868.0,Charleston
﻿cha.sc.0006,﻿church,not recorded,﻿African,"﻿""African Church""",,,,,﻿Charleston,﻿Charleston,﻿SC,,32.81442,-80.0487527,,,,,﻿a_folchi_001,﻿Rev.,﻿A. Folchi,,,"﻿full name ""Aloysius"" listed 1968-70.",,,,1868.0,Charleston
﻿cha.sc.0006,﻿chapel,﻿Chapel Sisters of Mercy,﻿African,"﻿""African Church""",,,,,﻿Charleston,﻿Charleston,﻿SC,,32.81442,-80.0487527,,,,,,,,,,,,,,1868.0,Charleston
﻿cha.sc.0023,﻿church,﻿St. Peter's,English,,,,,,﻿Beaufort,﻿Beaufort,﻿SC,,32.439429,-80.67054300000001,,,,,﻿jos_p_oconnell_001,﻿Rev.,﻿Joseph P. O'Connell,﻿D.D.,,,,,,1868.0,Charleston
﻿cha.sc.0024,﻿church,not recorded,English,,,,,,﻿Hilton Head,﻿Hilton Head,﻿SC,,32.216316,-80.752608,,,,,﻿jos_p_oconnell_001,﻿Rev.,﻿Joseph P. O'Connell,﻿D.D.,,,,,,1868.0,Charleston
