instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿cle.oh.0001,﻿cathedral,﻿St. John the Evangelist's,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.5030323,-81.6881089,,,,,﻿a_rappe_001,﻿Rt. Rev.,﻿A. Rappe,﻿D.D.,,,,,,1870.0,Cleveland
﻿cle.oh.0001,﻿cathedral,﻿St. John the Evangelist's,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.5030323,-81.6881089,,,,,﻿jf_gallagher_001,﻿Rev.,﻿J.F. Gallagher,,,,,,,1870.0,Cleveland
﻿cle.oh.0001,﻿cathedral,﻿St. John the Evangelist's,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.5030323,-81.6881089,,,,,﻿mic_joers_001,﻿Rev.,﻿Michael Joers,,,,,,,1870.0,Cleveland
﻿cle.oh.0001,﻿cathedral,﻿St. John the Evangelist's,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.5030323,-81.6881089,,,,,﻿edw_mears_001,﻿Rev.,﻿Edward Mears,,,,,,,1870.0,Cleveland
﻿cle.oh.0001,﻿cathedral,﻿St. John the Evangelist's,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.5030323,-81.6881089,,,,,﻿e_murphy_001,﻿Rev.,﻿E. Murphy,﻿(German),,﻿attends the surrounding missions with Rev. J. Bäcker,,,,1870.0,Cleveland
﻿cle.oh.0001,﻿cathedral,﻿St. John the Evangelist's,English,,,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.5030323,-81.6881089,,,,,﻿j_bäcker_001,﻿Rev.,﻿J. Bäcker,,,﻿attends the surrounding missions in German with Rev. E. Murphy,,,,1870.0,Cleveland
﻿cle.oh.0002,﻿church,﻿St. Patrick's,﻿German,,"﻿West Side, Whitman street",,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.48342555,-81.71151192,,,,,﻿j_conlan_001,﻿Very Rev.,﻿J. Conlan,﻿V.G.,,,,,,1870.0,Cleveland
﻿cle.oh.0002,﻿church,﻿St. Patrick's,﻿German,,"﻿West Side, Whitman street",,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.48342555,-81.71151192,,,,,﻿jv_conlan_001,﻿Rev.,﻿J.V. Conlan,,,,,,,1870.0,Cleveland
﻿cle.oh.0003,﻿church,﻿St. Mary's of the Assumption,﻿German,,﻿West Side,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.560673,-81.57323199999999,,,,,﻿ste_falk_001,﻿Rev.,﻿Stephen Falk,,,,,,,1870.0,Cleveland
﻿cle.oh.0004,﻿church,﻿St. Peter's,﻿German,,﻿Dodge Street,,,,﻿Cleveland,﻿Cleveland,﻿OH,,41.502309999999994,-81.6820698,,,,,﻿f_westerholt_001,﻿Very Rev.,﻿F. Westerholt,﻿V.G.,,,,,,1870.0,Cleveland
