instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿col.oh.0001,﻿church,﻿St. Patrick's,English,,,,,,﻿Columbus,﻿Columbus,﻿OH,,39.9688851,-82.9917114,,,,,﻿sh_rosecrans_001,﻿Rt. Rev.,﻿S.H. Rosecrans,﻿D.D.,,,,,,1870.0,Columbus
﻿col.oh.0001,﻿church,﻿St. Patrick's,English,,,,,,﻿Columbus,﻿Columbus,﻿OH,,39.9688851,-82.9917114,,,,,﻿n_gallagher_001,﻿Rev.,﻿N. Gallagher,,,,,,,1870.0,Columbus
﻿col.oh.0001,﻿church,﻿St. Patrick's,English,,,,,,﻿Columbus,﻿Columbus,﻿OH,,39.9688851,-82.9917114,,,,,﻿ja_rotchford_001,﻿Rev.,﻿J.A. Rotchford,﻿O.P.,,,,,,1870.0,Columbus
﻿col.oh.0001,﻿church,﻿St. Patrick's,English,,,,,,﻿Columbus,﻿Columbus,﻿OH,,39.9688851,-82.9917114,,,,,﻿gh_ahrens_001,﻿Rev.,﻿G.H. Ahrens,,,,,,,1870.0,Columbus
﻿col.oh.0002,﻿church,﻿Holy Cross,﻿German,,,,,,﻿Columbus,﻿Columbus,﻿OH,,39.958679,-82.9932661,,,,,﻿jb_hemsteger_001,﻿Very Rev.,﻿J.B. Hemsteger,﻿V.G.,,,,,,1870.0,Columbus
﻿col.oh.0003,﻿church,﻿St. Mary's,﻿German,,,,,,﻿Columbus,﻿Columbus,﻿OH,,39.94868375,-82.99474152,,,,,﻿fx_specht_001,﻿Rev.,﻿F.X. Specht,,,,,,,1870.0,Columbus
﻿col.oh.0004,﻿chapel,﻿Chapel of St. Francis' Hospital,English,,,,,,﻿Columbus,﻿Columbus,﻿OH,,39.9611755,-82.9987942,,,,,﻿e_hillebrand_001,﻿Rev.,﻿E. Hillebrand,,﻿Chaplain,,,,,1870.0,Columbus
﻿col.oh.0005,﻿chapel,﻿Chapel at the Convent of the Good Shepherd,English,,,,,,﻿Columbus,﻿Columbus,﻿OH,,39.9611755,-82.9987942,,﻿Attended by St. Patrick's,,,,,,,,,,,,1870.0,Columbus
﻿col.oh.0006,﻿chapel,﻿Chapel at the Academy of St. Mary's of the Springs,English,,,,,,﻿Columbus,﻿Columbus,﻿OH,,39.9611755,-82.9987942,,,,,﻿om_clarkson_001,﻿Rev.,﻿O.M. Clarkson,﻿O.P.,﻿Chaplain,,,,,1870.0,Columbus
﻿col.oh.0007,﻿chapel,﻿Chapel of the Sisters of Notre Dame,English,,,,,,﻿Columbus,﻿Columbus,﻿OH,,39.9611755,-82.9987942,,﻿Attended by Holy Cross,,,,﻿Sister,﻿Mary Liguori,,,,,,,1870.0,Columbus
