instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿det.mi.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul's,English,,,,﻿Wayne County,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.3289714,-83.1199503,,,,,﻿pet_p_lefevere_001,﻿Rt. Rev.,﻿Peter Paul Lefevere,﻿D.D.,,,,,,1866,Detroit
﻿det.mi.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul's,English,,,,﻿Wayne County,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.3289714,-83.1199503,,,,,﻿pet_hennaert_001,﻿Very Rev.,﻿P. Hennaert,,﻿V.G.,,,,,1866,Detroit
﻿det.mi.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul's,English,,,,﻿Wayne County,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.3289714,-83.1199503,,,,,﻿gus_limpens_001,﻿Rev.,﻿G. Limpens,,,,,,,1866,Detroit
﻿det.mi.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul's,English,,,,﻿Wayne County,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.3289714,-83.1199503,,,,,﻿pol_h_delbaere_001,﻿Rev.,﻿H. Delbaere,,,,,,,1866,Detroit
﻿det.mi.0002,﻿church,﻿St. Ann's,English,,,,﻿Wayne County,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.331427,-83.0457538,,,,,﻿ber_g_soffers_001,﻿Rev.,﻿B. G. Soffers,,,,,,,1866,Detroit
﻿det.mi.0002,﻿church,﻿St. Ann's,English,,,,﻿Wayne County,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.331427,-83.0457538,,,,,,﻿Rev.,﻿J. Frere,,,,,,,1866,Detroit
﻿det.mi.0003,﻿church,﻿St. Mary's,English,,,,﻿Wayne County,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.3271448,-83.1352858,,,,,﻿f_n_van-emstede_001,﻿Rev.,﻿F. N. Van Emstede,﻿C.SS.R.,,,,,,1866,Detroit
﻿det.mi.0003,﻿church,﻿St. Mary's,English,,,,﻿Wayne County,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.3271448,-83.1352858,,,,,﻿l_holtzer_001,﻿Rev.,﻿L. Holtzer,﻿C.SS.R.,,,,,,1866,Detroit
﻿det.mi.0003,﻿church,﻿St. Mary's,English,,,,﻿Wayne County,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.3271448,-83.1352858,,,,,﻿geo_sniet_002,﻿Rev.,﻿George Sniet,﻿C.SS.R.,,,,,,1866,Detroit
﻿det.mi.0003,﻿church,﻿St. Mary's,English,,,,﻿Wayne County,﻿Wayne County,﻿Detroit,﻿Detroit,﻿MI,,42.3271448,-83.1352858,,,,,﻿jacobs_001,﻿Rev.,﻿Jacobs,﻿C.SS.R.,,,,,,1866,Detroit
