instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,,﻿Fourth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.1402924,-80.06213570000001,,,,,﻿tho_carroll_001,﻿Rev.,﻿Thos. Carroll,,﻿Pastor,,,,,1869.0,Erie
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,,﻿Fourth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.1402924,-80.06213570000001,,,,,﻿joh_f_mcsweeney_001,﻿Rev.,﻿John F. McSweeney,,,,,,,1869.0,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿Ninth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.1288429,-80.0761177,,,,,﻿ben_hegele_001,﻿Rev.,﻿Benno Hegele,﻿O.S.B.,﻿Prior,,,,,1869.0,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿Ninth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.1288429,-80.0761177,,,,,﻿ger_pilz_001,﻿Rev.,﻿Gerhard Pilz,﻿O.S.B.,,,,,,1869.0,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿Ninth street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.1288429,-80.0761177,,,,,﻿tha_heinzelmayer_001,﻿Rev.,﻿Thaddeus Heinzelmayer,﻿O.S.B.,,,,,,1869.0,Erie
﻿erie.pa.0003,﻿church,﻿St. Joseph's,English,,﻿Federal Hill,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,42.111107700000005,-80.07482990000001,,,,,﻿jos_stumpe_001,﻿Rev.,﻿Joseph Stumpe,,,,,,,1869.0,Erie
﻿erie.pa.0005,﻿church,not recorded,English,,,,﻿Crawford County,,﻿Albion,﻿Albion,﻿PA,,41.8906112,-80.3664542,,﻿attended from Linesville,,,,,,,,,,,,1869.0,Erie
﻿erie.pa.0004,﻿church,﻿St. Mary's,English,,,,﻿McKean County,,﻿Annin Township,,﻿PA,,41.8906112,-80.3664542,,,,,﻿pet_patterson_001,﻿Rev.,﻿Peter Patterson,,,,,,,1869.0,Erie
﻿erie.pa.0007,﻿church,not recorded,English,,,,﻿Erie County,,﻿Beechwood,,﻿PA,,42.1292241,-80.085059,,,,,﻿gerst_001,﻿Rev. Father,﻿Gerst,,,,,,,1869.0,Erie
﻿erie.pa.0009,﻿church,﻿Immaculate Conception,English,,,,﻿Jefferson County,,﻿Brookville,﻿Brookville,﻿PA,,41.1611746,-79.08309240000001,﻿erie.pa.0021,,,,,,,,,,,,,1869.0,Erie
