instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075713799999996,-85.13815699999999,,,,,﻿joh_h_luers_001,﻿Rt. Rev.,﻿John H. Luers,﻿D.D.,,,,,,1870.0,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075713799999996,-85.13815699999999,,,,,﻿jul_benoit_001,﻿Very Rev.,﻿Julian Benoit,,"﻿Pastor, V.G.",,,,,1870.0,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075713799999996,-85.13815699999999,,,,,﻿hen_brammer_001,﻿Rev.,﻿Henry Brammer,,,,,,,1870.0,FortWayne
﻿for.in.0002,﻿church,﻿Mother of God,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.079273,-85.13935129999999,,,,,﻿jos_weutz_001,﻿Rev.,﻿Joseph Weutz,,﻿Pastor,,,,,1870.0,FortWayne
﻿for.in.0002,﻿church,﻿Mother of God,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.079273,-85.13935129999999,,,,,﻿a_a_heitmann_001,﻿Rev.,﻿A. Anthony Heitmann,,,,,,,1870.0,FortWayne
﻿for.in.0003,﻿church,﻿St. Paul's,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.079273,-85.13935129999999,,,,,﻿edw_koenig_001,﻿Rev.,﻿Edward Koenig,,,,,,,1870.0,FortWayne
﻿for.in.0004,﻿church,not recorded,English,,,,﻿Steuben County,﻿Steuben County,﻿Angola,﻿Angola,﻿IN,,41.634772600000005,-84.9994088,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1870.0,FortWayne
﻿for.in.0005,﻿church,﻿St. Patrick's,English,,,,﻿Allen County,﻿Allen County,﻿Arcola,﻿Arcola,﻿IN,,41.1036586,-85.294141,,,,,﻿the_vanderpoel_001,﻿Rev.,﻿Theodore Vanderpoel,,,,,,,1870.0,FortWayne
﻿for.in.0006,﻿church,﻿St. Francis',English,,,,﻿Fountain County,﻿Fountain County,﻿Attica,﻿Attica,﻿IN,,40.2942039,-87.2488988,,,,,﻿jos_rademacher_001,﻿Rev.,﻿Joseph Rademacher,,﻿Pastor,,,,,1870.0,FortWayne
﻿for.in.0007,﻿church,﻿Assumption B.V.M.,English,,,,﻿Noble County,﻿Noble County,﻿Avilla,﻿Avilla,﻿IN,,41.365882299999996,-85.23886340000001,,,,,﻿dom_duehmig_001,﻿Rev.,﻿Dominic Duehmig,,,,,,,1870.0,FortWayne
