instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Galveston,﻿Galveston,﻿TX,,29.3041654,-94.7906312,,,,,﻿cm_dubuis_001,﻿Rt. Rev.,﻿C.M. Dubuis,﻿D.D.,,,,,,1870.0,Galveston
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Galveston,﻿Galveston,﻿TX,,29.3041654,-94.7906312,,,,,﻿l_c_chambodut_001,﻿Very Rev.,﻿L. C. M. Chambodut,,﻿V.G.,,,,,1870.0,Galveston
﻿gal.tx.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Galveston,﻿Galveston,﻿TX,,29.3041654,-94.7906312,,,,,﻿m_paizier_001,﻿Rev.,﻿M. Paizier,,,,,,,1870.0,Galveston
﻿gal.tx.0002,﻿church,﻿St. Joseph's Church,﻿German,,,,,,﻿Galveston,﻿Galveston,﻿TX,,29.2996052,-94.790738,,,,,﻿n_gallweihr_001,﻿Rev.,﻿N. Gallweihr,,,,,,,1870.0,Galveston
﻿gal.tx.0003,﻿church,not recorded,English,,,,﻿Grimes County,﻿Grimes County,﻿Anderson,﻿Anderson,﻿TX,,30.487697100000002,-95.9924515,﻿gal.tx.0088,﻿attended from Millican,,,,,,,,,,,,1870.0,Galveston
﻿gal.tx.0004,﻿church,not recorded,English,,,,﻿Nacogdoches County,﻿Nacogdoches County,﻿Angelina,,﻿TX,,31.525026500000003,-94.6564696,﻿gal.tx.0092,﻿attended from Nacogdoches,,,,,,,,,,,,1870.0,Galveston
﻿gal.tx.0005,﻿church,not recorded,English,,,,﻿Cameron County,﻿Cameron County,﻿Arenal,,﻿TX,,26.1284971,-97.5247243,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1870.0,Galveston
﻿gal.tx.0006,﻿church,not recorded,English,,,,﻿Victoria County,﻿Victoria County,﻿Arenoso,﻿Inez,﻿TX,,28.9015593,-96.7893988,﻿gal.tx.0149,﻿attended from Victoria,,,,,,,,,,,,1870.0,Galveston
﻿gal.tx.0007,﻿church,not recorded,English,,﻿Arroyo Colorado,,﻿Cameron County,﻿Cameron County,"﻿Arroyo, Colorado",,﻿TX,,26.2417804,-97.62009306,﻿gal.tx.0023,﻿attended from Brownsville,,,,,,,,,,,,1870.0,Galveston
﻿gal.tx.0008,﻿church,not recorded,English,,,,﻿Atascosa County,﻿Atascosa County,,,﻿TX,,28.91783104,-98.54462227,﻿gal.tx.0019,"﻿attended from Medina, Bexar Co.",,,,,,,,,,,,1870.0,Galveston
