instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿gra.ca.0001,﻿church,﻿St. Joseph's Church,English,,,,,﻿Yuba County,﻿Marysville,﻿Marysville,﻿CA,﻿CA,39.1429134,-121.58828179999999,,,,,﻿eug_oconnell_001,﻿Rt. Rev.,﻿Eugene O'Connell,﻿D.D.,,,,,,1870.0,GrassValley
﻿gra.ca.0001,﻿church,﻿St. Joseph's Church,English,,,,,﻿Yuba County,﻿Marysville,﻿Marysville,﻿CA,,39.1429134,-121.58828179999999,,,,,﻿w_molony_001,﻿Rev.,﻿W. Molony,,,,,,,1870.0,GrassValley
﻿gra.ca.0001,﻿church,﻿St. Joseph's Church,English,,,,,﻿Yuba County,﻿Marysville,﻿Marysville,﻿CA,,39.1429134,-121.58828179999999,,,,,﻿and_andolsheck_001,﻿Rev.,﻿Andrew Andolsheck,,,,,,,1870.0,GrassValley
﻿gra.ca.0002,﻿church,not recorded,English,,,,﻿Mendocino County,﻿Mendocino County,﻿Albion,﻿Albion,﻿CA,﻿CA,39.223240600000004,-123.7680598,﻿gra.ca.0048,﻿attended from Mendocino City,﻿once a month,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0003,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿Alleghany Town,﻿Alleghany,﻿CA,﻿CA,39.4692306,-120.8429926,﻿gra.ca.0021,﻿church attended from Downiville,﻿once a month,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0004,﻿church,not recorded,English,,,﻿Anderson Valley,﻿Mendocino County,﻿Mendocino County,,,﻿CA,﻿CA,39.5500194,-123.438353,﻿gra.ca.0048,﻿attended from Mendocino City,﻿once in three months,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0005,﻿church,not recorded,English,,,,﻿Trinity County,﻿Trinity County,﻿Big Flat,﻿Big Flat,﻿CA,﻿CA,40.74080463,-123.2074406,﻿gra.ca.0076,﻿visited from Weaverville,﻿occassionally,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0006,﻿church,not recorded,English,,,,﻿Nevada County,﻿Nevada County,﻿Birchville,﻿Birchville,﻿CA,﻿CA,39.326896999999995,-121.142769,﻿gra.ca.0035,﻿attended from Grass Valley,﻿every second month,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0007,﻿church,﻿St. Mary's,English,,,,﻿Yuba County,﻿Yuba County,﻿Brown's Valley,﻿Browns Valley,﻿CA,﻿CA,39.2421139,-121.40912970000001,﻿gra.ca.0001,﻿attended from Marysville,﻿twice a month,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0008,﻿church,not recorded,English,,﻿Butte House,,﻿Yuba County,﻿Sutter County,,,﻿CA,﻿CA,39.168056,-121.741,﻿gra.ca.0001,﻿visited from Marysville,﻿occasionally,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0009,﻿church,﻿SS. John and Paul's,English,,,,﻿Siskiyou County,﻿Siskiyou County,﻿Callaghan's Ranch,﻿Callahan,﻿CA,﻿CA,41.309588399999996,-122.80141770000002,﻿gra.ca.0079,﻿attended from Yreka,﻿once a month,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0010,﻿church,not recorded,English,,,,﻿Trinity County,﻿Trinity County,﻿Canyon City,,﻿CA,﻿CA,40.83003745,-123.05337379999999,﻿gra.ca.0076,﻿visited from Weaverville,﻿occasionally,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0011,﻿church,not recorded,English,,,,﻿Mendocino County,﻿Mendocino County,﻿Caspar,﻿Caspar,﻿CA,﻿CA,39.364922299999996,-123.8144752,﻿gra.ca.0048,﻿visited from Mendocino City,﻿occasionally,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0012,﻿church,not recorded,English,,,,﻿Yuba County,﻿Nevada County,﻿Celestial Valley,﻿North San Juan,﻿CA,﻿CA,39.3700973,-121.1038655,﻿gra.ca.0021,﻿visited from Downieville,﻿occasionally,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0013,﻿church,﻿St. Patrick's,English,,,,﻿Nevada County,﻿Nevada County,﻿Cherokee,﻿Cherokee,﻿CA,﻿CA,39.1346666,-121.1710389,﻿gra.ca.0035,﻿attended from Grass Valley,﻿once a month,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0014,﻿church,﻿Holy Cross,English,,,,﻿Butte County,﻿Butte County,﻿Cherokee Flat,﻿Cherokee,﻿CA,﻿CA,39.6462111,-121.5387143,﻿gra.ca.0057,﻿attended from Oroville,﻿once a month,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0015,﻿church,not recorded,English,,,,﻿Butte County,﻿Butte County,﻿Chiko,﻿Chico,﻿CA,﻿CA,39.7282839,-121.83799779999998,﻿gra.ca.0057,﻿visited from Oroville,﻿occasionally,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0016,﻿church,not recorded,English,,,,﻿Nevada County,﻿Washoe County,﻿Crystal Peak,,﻿CA,﻿NV,39.5249007,-120.0021747,﻿gra.ca.0100,"﻿church attended from Truckee, Nevada",﻿once a month,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0017,﻿church,not recorded,English,,,,﻿Placer County,﻿Placer County,﻿Colfax,﻿Colfax,﻿CA,﻿CA,39.100729799999996,-120.95327590000001,﻿gra.ca.0027,﻿attended from Forest Hill,﻿once a month,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0018,﻿church,not recorded,English,,,,﻿Colusi County,﻿Colusa County,﻿Colusi,﻿Colusa,﻿CA,﻿CA,39.2143343,-122.0094175,﻿gra.ca.0057,﻿visited from Oroville,﻿occasionally,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0019,﻿church,not recorded,English,,,,﻿Del Norte County,﻿Del Norte County,﻿Crescent City,﻿Crescent City,﻿CA,﻿CA,41.7557501,-124.2025913,﻿gra.ca.0023,﻿visited from Eureka,﻿occasionally,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0020,﻿church,not recorded,English,,,,﻿Trinity County,﻿Trinity County,﻿Douglas City,﻿Douglas City,﻿CA,﻿CA,40.6518023,-122.9438195,﻿gra.ca.0076,﻿visited from Weaverville,﻿occasionally,,,,,,,,,,,1870.0,GrassValley
﻿gra.ca.0021,﻿church,﻿Immaculate Conception,English,,,,﻿Sierra County,﻿Sierra County,﻿Downieville,﻿Downieville,﻿CA,﻿CA,39.5595198,-120.8276966,,,﻿divine service once a month in summer,,﻿cha_m_lynch_001,﻿Rev.,﻿Charles M. Lynch,,﻿pastor,,,,,1870.0,GrassValley
﻿gra.ca.0022,﻿church,not recorded,English,,,,﻿Placer County,﻿Placer County,﻿Dutch Flat,﻿Dutch Flat,﻿CA,﻿CA,39.2059586,-120.83781029999999,﻿gra.ca.0027,﻿church attended from Forest Hill,,,,,,,,,,,,1870.0,GrassValley
