instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿gre.wi.0001,﻿cathedral,﻿St. Mary's,English,﻿temporary Cathedral,,,,﻿Brown County,﻿City of Green Bay,﻿Green Bay,﻿WI,,44.46464279999999,-88.0417563,,,,,﻿melcher_001,﻿Rt. Rev.,﻿Melcher,﻿D.D.,,,,,,1870.0,GreenBay
﻿gre.wi.0001,﻿cathedral,﻿St. Mary's,English,﻿temporary Cathedral,,,,﻿Brown County,﻿City of Green Bay,﻿Green Bay,﻿WI,,44.46464279999999,-88.0417563,,,,,﻿f_x_pfaller_001,﻿Rev.,﻿F. X. Pfaller,,,,,,,1870.0,GreenBay
﻿gre.wi.0002,﻿church,﻿St. John's,﻿French,,,,,﻿Brown County,﻿City of Green Bay,﻿Green Bay,﻿WI,,44.494279,-88.099739,,,,,﻿h_hoffen_001,﻿Rev.,﻿H. Hoffen,,,,,,,1870.0,GreenBay
﻿gre.wi.0003,﻿church,﻿St. Willibrod's,﻿Dutch,,,,,﻿Brown County,﻿City of Green Bay,﻿Green Bay,﻿WI,,44.5122062,-88.01522170000001,,,,,﻿h_hoffen_001,﻿Rev.,﻿H. Hoffen,,,,,,,1870.0,GreenBay
﻿gre.wi.0004,﻿church,﻿St. Patrick's,English,,﻿Fort Howard,,,﻿Brown County,﻿City of Green Bay,﻿Green Bay,﻿WI,,44.619925200000004,-88.09010620000001,,,,,﻿e_walsh_001,﻿Rev.,﻿E. Walsh,,,,,,,1870.0,GreenBay
﻿gre.wi.0005,﻿church,﻿St. Mary's,English,,,,﻿Outagamie County,﻿Outagamie County,﻿Appleton,﻿Appleton,﻿WI,,44.259256799999996,-88.413329,,,,,﻿a_g_verberk_001,﻿Rev.,﻿A. G. Verberk,,,,,,,1870.0,GreenBay
﻿gre.wi.0006,﻿church,﻿St. Joseph's,English,,,,﻿Outagamie County,﻿Outagamie County,﻿Appleton,﻿Appleton,﻿WI,,44.261131899999995,-88.41060970000001,,,,,﻿j_nussbaum_001,﻿Rev.,﻿J. Nussbaum,,,,,,,1870.0,GreenBay
﻿gre.wi.0007,﻿church,﻿—,English,,,,﻿Outagamie County,﻿Outagamie County,﻿Buchanan,﻿Buchanan,﻿WI,,44.2624528,-88.2169027,,,,,﻿c_dürr_001,﻿Rev.,﻿C. Dürr,,,,,,,1870.0,GreenBay
﻿gre.wi.0008,﻿church,﻿St. Augustin's,English,,,,﻿Calumet County,﻿Calumet County,﻿Chilton,﻿Chilton,﻿WI,,44.0289359,-88.1662237,,,,,﻿a_andolshek_001,﻿Rev.,﻿A. Andolshek,,,,,,,1870.0,GreenBay
﻿gre.wi.0009,﻿church,﻿St. Francis Xavier's,English,,,,﻿Brown County,﻿Brown County,﻿De Pere,﻿De Pere,﻿WI,,44.4474937,-88.0586503,,,,,﻿w_a_verboort_001,﻿Rev.,﻿W. A. Verboort,,,,,,,1870.0,GreenBay
