instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8193105,-71.41658309999998,,,,,﻿fp_mcfarland_001,﻿Rt. Rev.,﻿F.P. McFarland,﻿D.D.,,,,,,1870.0,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8193105,-71.41658309999998,,,,,﻿mic_tierney_001,﻿Rev.,﻿Michael Tierney,,,,,,,1870.0,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8193105,-71.41658309999998,,,,,﻿mic_fitzgerald_001,﻿Rev.,﻿Michael Fitzgerald,,,,,,,1870.0,Hartford
﻿har.ct.0001,﻿cathedral,﻿Cathedral of SS. Peter and Paul,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8193105,-71.41658309999998,,,,,﻿jos_b_reid_001,﻿Rev.,﻿Joseph B. Reid,,,,,,,1870.0,Hartford
﻿har.ct.0002,﻿church,﻿St. Patrick's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8325998,-71.41956379999999,,,,,﻿chr_hughes_001,﻿Rev.,﻿Christopher Hughes,,﻿pastor,,,,,1870.0,Hartford
﻿har.ct.0002,﻿church,﻿St. Patrick's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8325998,-71.41956379999999,,,,,﻿ste_p_sheffrey_001,﻿Rev.,﻿Stephen P. Sheffrey,,,,,,,1870.0,Hartford
﻿har.ct.0003,﻿church,﻿St. Joseph's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.821391399999996,-71.3966247,,,,,﻿dan_kelly_001,﻿Rev.,﻿Daniel Kelly,,﻿pastor,,,,,1870.0,Hartford
﻿har.ct.0003,﻿church,﻿St. Joseph's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.821391399999996,-71.3966247,,,,,﻿wm_halligan_001,﻿Rev.,﻿Wm. Halligan,,,,,,,1870.0,Hartford
﻿har.ct.0004,﻿church,﻿St. Mary's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8239891,-71.4128343,,,,,﻿joh_quinn_001,﻿Rev.,﻿John Quinn,﻿D.D.,﻿pastor,,,,,1870.0,Hartford
﻿har.ct.0004,﻿church,﻿St. Mary's,English,,,,,,﻿Providence,﻿Providence,﻿RI,,41.8239891,-71.4128343,,,,,﻿joh_s_flynn_001,﻿Rev.,﻿John S. Flynn,,,,,,,1870.0,Hartford
