instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿lou.kt.0001,﻿cathedral,﻿Cathedral of the Assumption,English,,,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25190594,-85.75880387,,,"﻿There are three regular Masses on Sundays and Holydays at half-past six, eight and ten A.M. in summer, and at seven, half-past eight, and half-past ten A.M. in the winter; sermons at eight and ten A.M. Masses; Vespers at half-past three A.M. in summer, and three P.M. in winter",,﻿wil_mccloskey_002,﻿Rt. Rev.,﻿William McCloskey,﻿D.D.,﻿Bishop,,,,,1870.0,Louisville
﻿lou.kt.0001,﻿cathedral,﻿Cathedral of the Assumption,English,,,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25190594,-85.75880387,,,,,﻿dav_russell_001,﻿Very Rev.,﻿David Russell,,"﻿V.G., Pastor",,,,,1870.0,Louisville
﻿lou.kt.0001,﻿cathedral,﻿Cathedral of the Assumption,English,,,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25190594,-85.75880387,,,,,﻿m_bouchet_001,﻿Rev.,﻿M. Bouchet,,,,,,,1870.0,Louisville
﻿lou.kt.0001,﻿cathedral,﻿Cathedral of the Assumption,English,,,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25190594,-85.75880387,,,,,﻿jl_spalding_001,﻿Rev.,﻿J.L. Spalding,,,,,,,1870.0,Louisville
﻿lou.kt.0001,﻿cathedral,﻿Cathedral of the Assumption,English,,,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25190594,-85.75880387,,,,,﻿vd_hagen_001,﻿Rev.,﻿V.D. Hagen,,,,,,,1870.0,Louisville
﻿lou.kt.0002,﻿church,﻿St. Boniface,﻿German,﻿residence adjoining,﻿Green street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25117395,-85.74396093,,,"﻿Three regular Masses on Sundays and Holydays, with sermon at the second and third; High Mass at ten A.M. and half-past ten A.M.; Vespers at two and half-past two P.M.",,﻿ans_koch_001,﻿Rev.,﻿Anselm Koch,﻿O.S.F.,,,,,,1870.0,Louisville
﻿lou.kt.0002,﻿church,﻿St. Boniface,﻿German,﻿residence adjoining,﻿Green street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25117395,-85.74396093,,,,,﻿wil_gansepohl_001,﻿Rev.,﻿William Gansepohl,﻿O.S.F.,,,,,,1870.0,Louisville
﻿lou.kt.0002,﻿church,﻿St. Boniface,﻿German,﻿residence adjoining,﻿Green street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.25117395,-85.74396093,,,,,﻿jos_m_roesl_001,﻿Rev.,﻿Joseph M. Roesl,﻿O.S.F.,,,,,,1870.0,Louisville
﻿lou.kt.0003,﻿church,﻿Immaculate Conception,﻿German,﻿residence adjoining,﻿corner of Eighth and Grayson streets,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2931614,-85.63987840000001,,,﻿High Mass at ten and half-past ten A.M.; Vespers at half-past two and three P.M.,,﻿fx_van-deutekom_001,﻿Rev.,﻿F.X. Van Deutekom,,,,,,,1870.0,Louisville
﻿lou.kt.0003,﻿church,﻿Immaculate Conception,﻿German,﻿residence adjoining,﻿corner of Eighth and Grayson streets,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2931614,-85.63987840000001,,,,,﻿volk_001,﻿Rev.,﻿— Volk,,,,,,,1870.0,Louisville
﻿lou.kt.0004,﻿church,﻿St. Martin's,﻿German,﻿residence adjoining,﻿Shelby street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2455346,-85.73924891,,,﻿High Mass at ten and half-past ten A.M.; Vespers at three and half-past three P.M.,,﻿lea_streber_001,﻿Rev.,﻿Leander Streber,﻿O.S.F.,,,,,,1870.0,Louisville
﻿lou.kt.0004,﻿church,﻿St. Martin's,﻿German,﻿residence adjoining,﻿Shelby street,,﻿Jefferson,,﻿Louisville,,﻿KY,,38.2455346,-85.73924891,,,,,﻿mar_beyhurst_001,﻿Rev.,﻿Martin Beyhurst,,,,,,,1870.0,Louisville
