instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿mob.al.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.690120299999997,-88.0458984,,,,,﻿joh_quinlan_001,﻿Rt. Rev.,﻿John Quinlan,﻿D.D.,﻿Bishop,,,,,1869.0,Mobile
﻿mob.al.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.690120299999997,-88.0458984,,,,,﻿ad_pellicer_001,﻿Very Rev.,﻿A.D. Pellicer,,,,,,,1869.0,Mobile
﻿mob.al.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.690120299999997,-88.0458984,,,,,﻿edw_lorigan_001,﻿Rev.,﻿Edward Lorigan,,,,,,,1869.0,Mobile
﻿mob.al.0002,﻿church,﻿St. Vincent de Paul's,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.586271999999997,-88.1955931,,,,,﻿ct_ocallaghan_001,﻿Rev.,﻿C.T. O'Callaghan,,,,,,,1869.0,Mobile
﻿mob.al.0002,﻿church,﻿St. Vincent de Paul's,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.586271999999997,-88.1955931,,,,,﻿wm_lane_002,﻿Rev.,﻿Wm. Lane,,,,,,,1869.0,Mobile
﻿mob.al.0003,﻿church,﻿St. Joseph's,﻿German and English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.737853,-88.05547299999999,,,,,﻿p_ismand_001,﻿Rev.,﻿P. Ismand,﻿S.J.,,,,,,1869.0,Mobile
﻿mob.al.0003,﻿church,﻿St. Joseph's,﻿German and English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.737853,-88.05547299999999,,,,,﻿j_roduit_001,﻿Rev.,﻿J. Roduit,﻿S.J.,,,,,,1869.0,Mobile
﻿mob.al.0004,﻿church,﻿St. Patrick's,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,31.0885804,-88.2287915,,,,,﻿jj_browne_001,﻿Rev.,﻿J.J. Browne,,,,,,,1869.0,Mobile
﻿mob.al.0005,﻿church,﻿St. Mary's,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.6942469,-88.0804887,,,,,﻿d_omeara_001,﻿Rev.,﻿D. O'Meara,,,,,,,1869.0,Mobile
﻿mob.al.0006,﻿church,not recorded,English,,﻿North Alabama,,,﻿Limestone County,﻿Athens,﻿Athens,﻿AL,,34.7991039,-86.9870663,﻿mob.al.0018,﻿Attended from Huntsville,,,,,,,,,,,,1869.0,Mobile
﻿mob.al.0007,﻿church,not recorded,English,,,,﻿Mobile County,﻿Mobile County,﻿Bayou le Batre and Belle Fontaine,﻿Bayou le Batre,﻿AL,,30.4069515,-88.26071879999999,,,,,﻿l_bissey_001,﻿Rev.,﻿L. Bissey,,,,,,,1869.0,Mobile
﻿mob.al.0007,﻿church,not recorded,English,,,,﻿Mobile County,﻿Mobile County,﻿Bayou le Batre and Belle Fontaine,﻿Bellefontaine,﻿AL,,30.4069515,-88.26071879999999,,,,,﻿l_bissey_001,﻿Rev.,﻿L. Bissey,,,,,,,1869.0,Mobile
﻿mob.al.0008,﻿church,not recorded,English,,,,﻿Wilcox County,﻿Wilcox County,﻿Camden,﻿Camden,﻿AL,,31.9909813,-87.29054559999999,﻿mob.al.0024,﻿Attended from Selma,,,,,,,,,,,,1869.0,Mobile
﻿mob.al.0009,﻿church,not recorded,English,,﻿North Alabama,,,﻿Morgan County,﻿Decatur,﻿Decatur,﻿AL,,34.5876239,-86.9707805,﻿mob.al.0018,﻿Attended from Huntsville,,,,,,,,,,,,1869.0,Mobile
﻿mob.al.0010,﻿church,not recorded,English,,,,﻿Marengo County,﻿Marengo County,﻿Demopolis,﻿Demopolis,﻿AL,,32.517636100000004,-87.836402,﻿mob.al.0024,﻿Attended from Selma,,,,,,,,,,,,1869.0,Mobile
﻿mob.al.0011,﻿church,﻿Holy Redeemer,English,,,,﻿Barbour County,﻿Barbour County,﻿Eufaula,﻿Eufaula,﻿AL,,31.8924841,-85.1516041,,,,,﻿edw_j_taylor_001,﻿Rev.,﻿Edward J. Taylor,,,,,,,1869.0,Mobile
﻿mob.al.0012,﻿church,not recorded,English,,,,,﻿Greene County,﻿Eutaw,﻿Eutaw,﻿AL,,32.8406848,-87.88751450000001,﻿mob.al.0028,﻿Attended from Tuscaloosa,,,,,,,,,,,,1869.0,Mobile
﻿mob.al.0013,﻿church,not recorded,English,,﻿North Alabama,,,﻿Lauderdale County,﻿Florence,﻿Florence,﻿AL,,34.807836,-87.6804676,﻿mob.al.0018,﻿Attended from Huntsville,,,,,,,,,,,,1869.0,Mobile
﻿mob.al.0014,﻿church,﻿St. Philip's,English,,,,﻿Baldwin County,,﻿Fish River,,﻿AL,,30.62016148,-87.80583054,,,,,﻿l_bissey_001,﻿Rev.,﻿L. Bissey,,,,,,,1869.0,Mobile
﻿mob.al.0015,﻿church,not recorded,English,,,,,﻿Sumter County,﻿Gainesville,﻿Gainesville,﻿AL,,32.820963899999995,-88.158914,﻿mob.al.0028,﻿Attended from Tuscaloosa,,,,,,,,,,,,1869.0,Mobile
﻿mob.al.0016,﻿church,not recorded,English,,,,﻿Green County,﻿Hale County,﻿Greensboro,﻿Greensboro,﻿AL,,32.69836865,-87.59551404,﻿mob.al.0028,﻿Attended from Tuscaloosa,,,,,,,,,,,,1869.0,Mobile
﻿mob.al.0017,﻿church,not recorded,English,,,,,﻿Butler County,﻿Greenville,﻿Greenville,﻿AL,,31.829597200000002,-86.6177517,﻿mob.al.0022,﻿Attended from Montgomery,,,,,,,,,,,,1869.0,Mobile
﻿mob.al.0018,﻿church,﻿Our Lady of the Visitation,English,,﻿North Alabama,,,﻿Madison County,﻿Huntsville,﻿Huntsville,﻿AL,,34.7411725,-86.6849899,,,,,﻿jf_trecy_001,﻿Rev.,﻿J.F. Trecy,,,,,,,1869.0,Mobile
﻿mob.al.0018,﻿church,﻿Our Lady of the Visitation,English,,﻿North Alabama,,,﻿Madison County,﻿Huntsville,﻿Huntsville,﻿AL,,34.7411725,-86.6849899,,,,,﻿joh_b_baasen_001,﻿Rev.,﻿John B. Baasen,,,,,,,1869.0,Mobile
﻿mob.al.0020,﻿church,﻿St. Paul's,English,,,,﻿Mobile County,﻿Mobile County,﻿Mount Vernon,﻿Mount Vernon,﻿AL,,31.085177500000004,-88.01333249999999,﻿mob.al.0001,﻿Attended from Mobile,,,,,,,,,,,,1869.0,Mobile
﻿mob.al.0021,﻿church,not recorded,English,,,,﻿Mobile County,,﻿Mont Louis,﻿Mon Louis,﻿AL,,30.4404749,-88.1058323,,,,,﻿l_bissey_001,﻿Rev.,﻿L. Bissey,,,,,,,1869.0,Mobile
