instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.24499479999999,,,,,﻿tha_amat_001,﻿Rt. Rev.,﻿Thaddeus Amat,﻿D.D.,,,,,,1866.0,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.24499479999999,,,,,﻿fra_mora_001,﻿Very Rev.,﻿Francis Mora,,﻿Rector,,,,,1866.0,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.24499479999999,,,,,﻿jos_mut_001,﻿Rev.,﻿Joseph Mut,,,,,,,1866.0,Monterey
﻿mon.ca.0001,﻿church,﻿Na. Sa. de los Angeles (Our Lady of Angels),English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Los Angeles,﻿Los Angeles,﻿CA,,34.0577215,-118.24499479999999,,,,,﻿ant_ubach_001,﻿Rev.,﻿Anth. Ubac.,,,,,,,1866.0,Monterey
﻿mon.ca.0002,﻿church,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿San Gabriel,﻿San Gabriel,﻿CA,,34.0961111,-118.10583329999999,,,,,﻿joh_basso_001,﻿Rev.,﻿John Basso,,﻿Rector,,,,,1866.0,Monterey
﻿mon.ca.0003,﻿church,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿San Fernando,﻿San Fernando,﻿CA,,34.2819461,-118.4389719,﻿mon.ca.0001,﻿Attended from Los Angeles,﻿Monthly,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0004,﻿church,﻿St. Peter's,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Wilmington,﻿Los Angeles,﻿CA,,33.7371045,-118.31357870000001,﻿mon.ca.0001,﻿Attended from Los Angeles,﻿Weekly,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0007,﻿chapel,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿San José,﻿Pomona,﻿CA,,34.055103,-117.7499909,﻿mon.ca.0002,﻿Attended from San Gabriel,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0061,﻿chapel,not recorded,English,,,,﻿Los Angeles County,,﻿San Nicolas,,﻿CA,,33.7787317,-118.39583130000001,﻿mon.ca.0002,﻿Attended from San Gabriel,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0008,﻿church,﻿San Antonia de Padua,English,,,,﻿Los Angeles County,﻿Orange County,﻿Santa Ana,﻿Santa Ana,﻿CA,,33.7454725,-117.867653,,,,,﻿jam_burgata_001,﻿Rev.,﻿Anthony Borgatta,,﻿Pastor,,,,,1866.0,Monterey
﻿mon.ca.0010,﻿church,not recorded,English,,,,﻿Los Angeles County,﻿Orange County,﻿San Juan Capistrano,﻿San Juan Capistrano,﻿CA,,33.5019027,-117.6627655,,,,,﻿mic_duran_001,﻿Rev.,﻿Michael Duran,,﻿Pastor,,,,,1866.0,Monterey
﻿mon.ca.0014,﻿church,﻿Immaculate Conception,English,﻿vacant,,,﻿San Diego County,﻿San Diego County,﻿San Diego,﻿San Diego,,,32.7534306,-117.19542779999999,﻿mon.ca.0010,﻿Attended from San Juan Capistrano,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0011,﻿church,not recorded,English,,,,﻿San Diego County,﻿San Diego County,﻿San Luis Rey,﻿Oceanside,﻿CA,,33.1958696,-117.3794834,﻿mon.ca.0010,﻿Attended from San Juan Capistrano,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0012,﻿church,﻿San Antonio de Padua,English,,﻿Indian Settlement,,﻿San Diego County,﻿San Diego County,﻿Pala,﻿Pala,﻿CA,,33.365216600000004,-117.07647390000001,﻿mon.ca.0010,﻿Attended from San Juan Capistrano,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0015,﻿church,﻿San Salvador,English,,,,﻿San Bernardino County,﻿Riverside County,﻿Turupa,﻿Jurupa Valley,﻿CA,,33.9942737,-117.49716059999999,,,,,﻿pet_verdaguer_001,﻿Rev.,﻿Peter Verdaguer,,﻿Pastor,,,,,1866.0,Monterey
﻿mon.ca.0017,﻿church,﻿San Bernardino of Sienna,English,,,,﻿San Bernardino County,﻿San Bernardino County,﻿San Berardino,﻿San Berardino,﻿CA,,34.087512200000006,-117.31076340000001,﻿mon.ca.0015,﻿Attended from Turupa,,,﻿mic_mahony_001,﻿Rev.,﻿Michael Mahony,,﻿Pastor,,,,,1866.0,Monterey
﻿mon.ca.0020,﻿chapel,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Tulare County,﻿Tulare County,﻿Visalia,﻿Visalia,﻿CA,,36.330132899999995,-119.29663670000001,,,,,﻿dan_dade_001,﻿Rev.,﻿Daniel Dade,,﻿Pastor,,,,,1866.0,Monterey
﻿mon.ca.0020,﻿station,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Clear Creek,﻿La Cañada Flintridge,﻿CA,,34.2068182,-118.2000277,﻿mon.ca.0020,﻿Attended from Visalia,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0021,﻿station,not recorded,English,,,,﻿Tulare County,﻿Tulare County,﻿King's River,﻿Dinuba,﻿CA,,36.5432837,-119.3870656,﻿mon.ca.0020,﻿Attended from Visalia,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0023,﻿station,not recorded,English,,,,﻿Los Angeles County,﻿Los Angeles County,﻿Fort Trejon,﻿Lebec,﻿CA,,34.3871821,-118.1122679,﻿mon.ca.0020,﻿Attended from Visalia,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0022,﻿station,not recorded,English,,,,﻿Fresno County,﻿Fresno County,﻿Millerton,﻿Millerton,﻿CA,,36.9809172,-119.66068870000001,﻿mon.ca.0020,﻿Attended from Visalia,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0024,﻿church,﻿Na. Sa. de los Dolores,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Santa Barbara,﻿Santa Barbara,﻿CA,,34.4208305,-119.69819009999999,,,,,﻿jam_vila_001,﻿Rev.,﻿James Vila,,﻿Pastor,,,,,1866.0,Monterey
﻿mon.ca.0025,﻿church,﻿St. Francis Xavier's,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Cieneguita,﻿Santa Barbara,﻿CA,,34.4208305,-119.69819009999999,﻿mon.ca.0024,﻿Attended from Santa Barbara,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0026,﻿church,﻿Our Lady of Mount Carmel,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Montecito,﻿Montecito,﻿CA,,34.436372999999996,-119.641228,﻿mon.ca.0024,﻿Attended from Santa Barbara,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0027,﻿convent,﻿Convent of the Rev. Franciscan Fathers,English,,﻿Mission of Santa Barbara,,,﻿Santa Barbara County,﻿Santa Barbara,﻿Santa Barbara,﻿CA,,34.438326200000006,-119.71406780000001,,,,,﻿jos_m_gonzalez_001,﻿Very Rev.,﻿José Maria de Jesus Gonzalez,,﻿Superior,,,,,1866.0,Monterey
﻿mon.ca.0028,﻿church,not recorded,English,,,,﻿Santa Barbara County,﻿Ventura County,﻿San Buenaventura,﻿Ventura,﻿CA,,34.2808409,-119.2931259,,,,,﻿joh_comapla_001,﻿Rev.,﻿John Comapla,,﻿Pastor,,,,,1866.0,Monterey
﻿mon.ca.0029,﻿station,not recorded,English,,,,﻿Santa Barbara County,﻿Ventura County,﻿Camulos,﻿Piru,﻿CA,,34.41527429999999,-118.7939824,﻿mon.ca.0028,﻿Attended from San Buenaventura,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0030,﻿church,not recorded,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Santa Ynés,﻿Santa Ynez,﻿CA,,34.6144313,-120.07986799999999,,,,,﻿joa_bot_001,﻿Rev.,﻿Joachim Bot,,﻿Pastor,,,,,1866.0,Monterey
﻿mon.ca.0031,﻿church,not recorded,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿La Purissima,﻿Lompoc,﻿CA,,34.6391501,-120.4579409,﻿mon.ca.0030,﻿Attended from Santa Ynés,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0032,﻿station,not recorded,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿El Refugio,﻿Capitan,﻿CA,,34.46332460000001,-120.04319790000001,﻿mon.ca.0030,﻿Attended from Santa Ynés,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0033,﻿station,not recorded,English,,,,﻿Santa Barbara County,﻿Santa Barbara County,﻿Santa Maria,﻿Santa Maria,﻿CA,,34.953033700000006,-120.43571909999999,﻿mon.ca.0030,﻿Attended from Santa Ynés,,,,,,,,,,,,1866.0,Monterey
﻿mon.ca.0034,﻿church,not recorded,English,,,,﻿San Luis Obispo County,﻿San Luis Obispo County,﻿San Luis Obispo,﻿San Luis Obispo,﻿CA,,35.2827524,-120.6596156,,,,,﻿pet_sastre_001,﻿Rev.,﻿Peter Sastre,,﻿Pastor,,,,,1866.0,Monterey
