instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,"﻿Residence on Summer street, adjoining the Cathedral","﻿Cathedral, corner of Cedar and Summer streets",,,,﻿Nashville,﻿Nashville,﻿TN,,36.1596597,-86.783051,,,,,﻿p_a_feehan_001,﻿Right Rev.,﻿P. A. Feehan,,,,,,,1867.0,Nashville
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,"﻿St. Vincent de Paul Society, Society for Holy Childhood, Catholic Benevolent Association","﻿Cathedral, corner of Cedar and Summer streets",,,,﻿Nashville,﻿Nashville,﻿TN,,36.1596597,-86.783051,,,,,,﻿Rev.,﻿M. Walsh,,,,,,,1867.0,Nashville
﻿nash.tn.0001,﻿cathedral,﻿Cathedral of Seven Dolors,English,"﻿St. Vincent de Paul Society, Society for Holy Childhood, Catholic Benevolent Association","﻿Cathedral, corner of Cedar and Summer streets",,,,﻿Nashville,﻿Nashville,﻿TN,,36.1596597,-86.783051,,,,,,﻿Rev.,﻿I. A. Bergrath,,,,,,,1867.0,Nashville
﻿nash.tn.0003,﻿church,﻿Church of the Assumption,﻿German,,﻿Corner of Vine and Monroe streets,,,,﻿North-Nashville,﻿Nashville,﻿TN,,36.175432,-86.7915037,,,,,,,,,,,,,,1867.0,Nashville
﻿nash.tn.0002,﻿church,﻿St. John's,English,,﻿Edgefield,,,,﻿Edgefield,﻿Nashville,﻿TN,,36.178443200000004,-86.6791636,,,,,,﻿Rev.,﻿J. F. Jarboe,﻿O.S.D.,,,,,,1867.0,Nashville
﻿nash.tn.0019,﻿station,not recorded,English,﻿with school,,﻿Nashville and North-western Railroad,,﻿Davidson County,﻿Newsom's Station,﻿Nashville,﻿TN,,36.07985142,-86.99603359,,"﻿Attended once a month from Nashville by Rev. Louis Orengo, O.S.D",,,,,,,,,,,,1867.0,Nashville
﻿nash.tn.0054,﻿station,not recorded,English,﻿with school,,﻿Nashville and North-western Railroad,,,﻿Pegram's Station,,﻿TN,,36.100615000000005,-87.05111509999999,,"﻿Attended once a month from Nashville by Rev. Louis Orengo, O.S.D",,,,,,,,,,,,1867.0,Nashville
﻿nash.tn.0055,﻿station,not recorded,English,,,﻿Nashville and North-western Railroad,,,﻿Smeedville,,﻿TN,,36.5298107,-83.21739709999999,,"﻿Attended once a month from Nashville by Rev. Louis Orengo, O.S.D",,,,,,,,,,,,1867.0,Nashville
﻿nash.tn.0056,﻿station,not recorded,English,,,﻿Nashville and North-western Railroad,,,﻿Gilem's,,﻿TN,,36.1626638,-86.78160159999999,,"﻿Attended once a month from Nashville by Rev. Louis Orengo, O.S.D",,,,,,,,,,,,1867.0,Nashville
﻿nash.tn.0018,﻿church,﻿St. Patrick's,English,﻿Society for Holy Childhood,,﻿Nashville and North-western Railroad,﻿Humphries County,﻿Humphreys County,﻿McEwen's,﻿McEwen,﻿TN,,36.1078375,-87.6330745,,"﻿Attended once a month from Nashville by Rev. Louis Orengo, O.S.D",,,,,,,,,,,,1867.0,Nashville
