instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7420973,-74.172314,,,,,﻿jam_r_bayley_001,,﻿James Roosevelt Bayley,﻿D.D.,,,,,,1870.0,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7420973,-74.172314,,,,,﻿geo_h_doane_001,,﻿George H. Doane,,,,,,,1870.0,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7420973,-74.172314,,,,,﻿cha_a_reilly_001,,﻿Charles A. Reilly,,,,,,,1870.0,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7420973,-74.172314,,,,,﻿p_j_garvey_001,,﻿P. J. Garvey,﻿D.D.,,,,,,1870.0,Newark
﻿new.nj.0002,﻿chapel,﻿New Cathedral Chapel of Our Lady and St. Patrick,English,,﻿St. Patrick's Cathedral,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.735657,-74.1723667,,,,,,,,,,,,,,1870.0,Newark
﻿new.nj.0003,﻿church,﻿St. John's,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.738052200000006,-74.16590699999999,,,,,﻿tho_m_killeen_001,,﻿Thomas M. Killeen,,,,,,,1870.0,Newark
﻿new.nj.0003,﻿church,﻿St. John's,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.738052200000006,-74.16590699999999,,,,,﻿p_f_kivelitz_001,,﻿P. F. H. Kivelitz,,,,,,,1870.0,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7470654,-74.2329737,,,,,﻿rom_hill_001,,﻿Romanus Hill,﻿O.S.B.,,,,,,1870.0,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7470654,-74.2329737,,,,,﻿val_lobmeyer_001,,﻿Valentine Lobmeyer,﻿O.S.B.,,,,,,1870.0,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7470654,-74.2329737,,,,,﻿wil_walter_001,,﻿William Walter,﻿O.S.B.,,,,,,1870.0,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7470654,-74.2329737,,,,,﻿ber_dolweck_001,,﻿Bernardine Dolweck,﻿O.S.B.,,,,,,1870.0,Newark
﻿new.nj.0005,﻿church,﻿St. James',English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7285209,-74.1621778,,,,,﻿j_m_gervais_001,,﻿J. M. Gervais,,,,,,,1870.0,Newark
﻿new.nj.0006,﻿church,﻿St. Peter's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.739736900000004,-74.2017412,,,,,﻿god_preith_001,,﻿Godfried Preith,,,,,,,1870.0,Newark
﻿new.nj.0007,﻿church,﻿St. Joseph's,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.735657,-74.1723667,,,,,﻿jam_f_dalton_001,,﻿James F. Dalton,,,,,,,1870.0,Newark
﻿new.nj.0008,﻿church,﻿St. Benedict's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7355148,-74.1789385,﻿new.nj.0004,﻿Served by the Benedictines from St. Mary's,,,,,,,,,,,,1870.0,Newark
﻿new.nj.0009,﻿school,﻿St. Pius' School-house,English,,﻿East Newark,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,40.7497019,-74.16363129999999,,,,,,,,,,,,,,1870.0,Newark
﻿new.nj.0010,﻿church,﻿St. Nicholas of Tolentino,English,,,,﻿Atlantic County,,﻿Absecom,﻿Absecom,﻿NJ,,39.428450299999994,-74.49570759999999,﻿phi.pa.0007,﻿Attended by the Augustinians from Philadelphia,,"﻿no church id found for St. Peters, Philadelphia aa",,,,,,,,,,1870.0,Newark
﻿new.nj.0011,﻿church,not recorded,English,,,,﻿Sussex County,,﻿Andover,﻿Andover,﻿NJ,,40.9859311,-74.7421089,﻿new.nj.0070,﻿Attended from Newton,,,,,,,,,,,,1870.0,Newark
﻿new.nj.0012,﻿church,﻿St. James',English,,,,﻿Somerset County,,﻿Baskingridge,﻿Basking Ridge,﻿NJ,,40.7066174,-74.54932840000001,﻿new.nj.0063,﻿Attended from Morristown,,,,,,,,,,,,1870.0,Newark
