instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿por.me.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Portland,﻿Portland,﻿ME,,44.8147712,-71.8803728,,,,,﻿d_w_bacon_001,﻿Rt. Rev.,﻿D. W. Bacon,﻿D.D.,,,,,,1867,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Portland,﻿Portland,﻿ME,,44.8147712,-71.8803728,,,,,﻿eug_müller_001,﻿Very Rev.,﻿Eugene Müller,﻿V.G.,,,,,,1867,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Portland,﻿Portland,﻿ME,,44.8147712,-71.8803728,,,,,﻿joh_de-rose_001,﻿Rev.,﻿John De Rose,,,,,,,1867,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Portland,﻿Portland,﻿ME,,44.8147712,-71.8803728,,,,,﻿mic_obrien_003,﻿Rev.,﻿Michae O'Brien,,,,,,,1867,Portland
﻿por.me.0002,﻿church,﻿St. Dominic's Church,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.6503141,-70.26267292,,,,﻿.,﻿eug_müller_001,﻿Very Rev.,﻿Eugene Müller,﻿V.G.,﻿pastor,,,,,1867,Portland
﻿por.me.0002,﻿church,﻿St. Dominic's Church,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.6503141,-70.26267292,,,,,,﻿Rev.,﻿L. Michaud,,﻿assistant,,,,,1867,Portland
﻿por.me.0004,﻿chapel,﻿St. Aloysius' Chapel,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.660720399999995,-70.2580778,,,,,﻿mic_obrien_003,﻿Rev.,﻿Michae O'Brien,,,,,,,1867,Portland
﻿por.me.0003,﻿chapel,﻿Calvary Chapel,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.660720399999995,-70.2580778,﻿por.me.0002,﻿attended from St. Dominic's Church,,,,,,,,,,,,1867,Portland
﻿por.me.0006,﻿church,﻿St. Mary's,English,,,,,,﻿Augusta,﻿Augusta,﻿ME,,44.30914944,-69.78025576,,,,,﻿cha_egan_001,﻿Rev.,﻿Charles Egan,,,,,,,1867,Portland
﻿por.me.0007,﻿church,﻿St. John's,English,,,,,,﻿Bangor,﻿Bangor,﻿ME,,44.80387965,-68.76104988,,,,,﻿hen_gillen_001,﻿Rev.,﻿Henry Gillen,,,,,,,1867,Portland
﻿por.me.0007,﻿church,﻿St. John's,English,,,,,,﻿Bangor,﻿Bangor,﻿ME,,44.80387965,-68.76104988,,,,,,﻿Rev.,﻿J. Murphy,,,,,,,1867,Portland
﻿por.me.0008,﻿church,﻿St. Mary's,English,,,,,,﻿Bath,﻿Bath,﻿ME,,43.9159483,-69.82482519999999,,,,,﻿luk_f_bartley_001,﻿Rev.,﻿Luke F. Bartley,,,,,,,1867,Portland
﻿por.me.0009,﻿church,﻿St. Benedict's,English,,,,,,﻿Benedicta,﻿Benedicta,﻿ME,,45.80328179999999,-68.4120628,,,,,﻿joh_brady_003,﻿Rev.,﻿John Brady,,,,,,,1867,Portland
﻿por.me.0010,﻿church,not recorded,English,,,,,,﻿Belfast,﻿Belfast,﻿ME,,44.4259092,-69.0064234,,,,,,﻿Rev.,﻿---,,,,,,,1867,Portland
﻿por.me.0012,﻿church,﻿Immaculate Conception,English,,,,,,﻿Biddeford,﻿Biddeford,﻿ME,,43.4925843,-70.4533844,,,,,﻿eug_vetromile_001,﻿Rev.,﻿Eugene Vetromile,,,,,,,1867,Portland
﻿por.me.0013,﻿church,not recorded,English,,,,,,﻿Brunswick,﻿Brunswick,﻿ME,,43.9140162,-69.96699609999999,,,,,﻿l_f_bartley_001,﻿Rev.,﻿L. F. Bartley,,,,,,,1867,Portland
﻿por.me.0014,﻿church,﻿Immaculate Conception,English,,,,,,﻿Calais,﻿Calais,﻿ME,,45.18657876,-67.27700870000001,,,,,﻿mat_w_murphy_001,﻿Rev.,﻿Matthew W. Murphy,,,,,,,1867,Portland
﻿por.me.0015,﻿church,﻿St. Ann's,English,﻿(Indian),,,,,﻿Calais,﻿Calais,﻿ME,,45.187368,-67.278382,,,,,﻿e_vetromile_001,﻿Rev.,﻿E. Vetromile,,,,,,,1867,Portland
﻿por.me.0016,﻿church,not recorded,English,,,,,,﻿Cherryfield,﻿Cherryfield,﻿ME,,44.607299100000006,-67.9258366,,,,,,﻿Rev.,﻿I.A.T. Durin,,,,,,,1867,Portland
﻿por.me.0017,﻿church,﻿St. Patrick's,English,,,,,,﻿Damariscotta,﻿Damariscotta,﻿ME,,44.0328765,-69.51888840000001,,,,,﻿jam_peterson_001,﻿Rev.,﻿James Peterson,,,,,,,1867,Portland
﻿por.me.0018,﻿church,﻿St. Joseph's,English,,,,,,﻿Eastport,﻿Eastport,﻿ME,,44.9061906,-66.9899785,,,,,﻿f_imasso_001,﻿Rev.,﻿F. Imasso,,,,,,,1867,Portland
﻿por.me.0019,﻿church,not recorded,English,,,,,,﻿Ellsworth,﻿Ellsworth,﻿ME,,44.543409499999996,-68.4194641,,,,,,﻿Rev.,﻿I.A.T. Durin,,,,,,,1867,Portland
﻿por.me.0020,﻿church,not recorded,English,,,,,,﻿Frankfort,﻿Frankfort,﻿ME,,44.60867329999999,-68.8744635,,,,,,﻿Rev.,﻿I.A.T. Durin,,,,,,,1867,Portland
﻿por.me.0021,﻿church,﻿St. Mary's,English,,,,,,﻿Gardiner,﻿Gardiner,﻿ME,,44.230069799999995,-69.7753222,,,,,﻿cha_egan_001,﻿Rev.,﻿Charles Egan,,,,,,,1867,Portland
﻿por.me.0022,﻿church,﻿St. Mary's,English,,,,,,﻿Houlton,﻿Houlton,﻿ME,,46.1252722,-67.8264926,,,,,﻿joh_brady_003,﻿Rev.,﻿John Brady,,,,,,,1867,Portland
﻿por.me.0023,﻿church,﻿St. Ann's,English,,,,,,﻿Indiantown,﻿Indian Island,﻿ME,,44.94271968,-68.65226797,,,,,﻿e_vetromile_001,﻿Rev.,﻿E. Vetromile,,,,,,,1867,Portland
﻿por.me.0024,﻿church,not recorded,English,,,,,,﻿Kennebunk,﻿Kennebunk,﻿ME,,43.384530600000005,-70.54399000000001,,,,,﻿e_vetromile_001,﻿Rev.,﻿E. Vetromile,,,,,,,1867,Portland
