instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,,"﻿Church and residence, corner 8th and Grace streets",,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.540472799999996,-77.43521870000001,,,,,﻿joh_mcgill_001,﻿Rt. Rev.,﻿John McGill,﻿D.D.,,,,,,1865.0,Richmond
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,,"﻿Church and residence, corner 8th and Grace streets",,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.540472799999996,-77.43521870000001,,,,,﻿r_h_andrews_001,﻿Rev.,﻿R. H. Andrews,,,,,,,1865.0,Richmond
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,,"﻿Church and residence, corner 8th and Grace streets",,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.540472799999996,-77.43521870000001,,,,,﻿mcmullen_001,﻿Rev. Fr.,﻿McMullen,,,,,,,1865.0,Richmond
﻿ric.va.0001,﻿cathedral,﻿St. Peter's,English,,"﻿Church and residence, corner 8th and Grace streets",,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,,37.540472799999996,-77.43521870000001,,,,,﻿joh_p_hagan_001,﻿Rev.,﻿John Hagan,,,,,,,1865.0,Richmond
﻿ric.va.0002,﻿church,﻿St. Mary's,﻿German,,﻿4th and Marshall street,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.557013,-77.4588057,,,,,﻿leo_meyer_001,﻿Rev.,﻿Leonard Mayer,﻿O.S.B.,,,,,,1865.0,Richmond
﻿ric.va.0003,﻿church,﻿St. Patrick's,English,,﻿25th street,,﻿Henrico County,,﻿Richmond,﻿Richmond,﻿VA,﻿VA,37.5311148,-77.4188862,,,,,﻿j_teeling_001,﻿Rev.,﻿J. Teeling,﻿D.D.,﻿Pastor,,,,,1865.0,Richmond
﻿ric.va.0006,﻿church,﻿St. Mary's of the Immaculate Conception,English,,,,﻿Spottsylvania County,,﻿Fredericksburgh,﻿Fredericksburgh,﻿VA,﻿VA,38.297029200000004,-77.47647109999998,﻿ric.va.0001,﻿Visited from Richmond,,"﻿Didn't know which church in Richmond, went with the largest one",,,,,,,,,,1865.0,Richmond
﻿ric.va.0005,﻿church,﻿St. Mary's,English,,,,,,﻿Alexandria,﻿Alexandria,﻿VA,﻿VA,38.801902500000004,-77.0438982,,,,,,,,,,,,,,1865.0,Richmond
﻿ric.va.0008,﻿church,﻿St. Mary's,English,,,,﻿Fairfax County,,﻿Fairfax Station,﻿Fairfax Station,﻿VA,﻿VA,38.8025901,-77.32719540000001,,,,,,,,,,,,,,1865.0,Richmond
﻿ric.va.0009,﻿church,﻿St. Joseph's,English,,,,﻿Berkeley County,,﻿Martinsburgh,﻿Martinsburgh,﻿VA,﻿VA,39.4554011,-77.9644569,﻿ric.va.0011,﻿Visited from Harper's Ferry,,,,,,,,,,,,1865.0,Richmond
﻿ric.va.0010,﻿church,﻿St. Vincent de Paul,English,,,,﻿Morgan County,,﻿Bath,﻿Bath,﻿VA,﻿VA,39.6261622,-78.2277954,﻿ric.va.0011,﻿Visited from Harper's Ferry,,,,,,,,,,,,1865.0,Richmond
﻿ric.va.0011,﻿church,﻿St. Peter's,English,,,,﻿Jefferson County,,﻿Harper's Ferry,﻿Harper's Ferry,﻿VA,﻿VA,39.323547399999995,-77.7324501,,,,,﻿m_costello_001,﻿Rev.,﻿M. Costello,﻿D.D.,,,,,,1865.0,Richmond
﻿ric.va.0012,﻿church,﻿St. Patrick's,English,,,,﻿Frederick County,,﻿Winchester,﻿Winchester,﻿VA,﻿VA,39.1856597,-78.16333409999999,﻿ric.va.0011,﻿Visited by Rev. Dr. Costello,﻿monthly,,,,,,,,,,,1865.0,Richmond
﻿ric.va.0013,﻿church,﻿St. Francis Xavier's,English,,,,﻿Campbell County,,﻿Lynchburgh,﻿Lynchburgh,﻿VA,﻿VA,37.7941268,-122.40807099999999,,,,,﻿o_a_sears_001,﻿Rev.,﻿O. A. Sears,,,,,,,1865.0,Richmond
﻿ric.va.0015,﻿church,﻿St. Mary's of the Immaculate Conception,English,,,,﻿Norfolk County,,﻿Norfolk,﻿Norfolk,﻿VA,﻿VA,36.8471276,-76.28244129999999,,,,,﻿m_okeefe_001,﻿Rev.,﻿M. O'Keefe,,,,,,,1865.0,Richmond
