instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16128324,-77.62136044,,,,,﻿ber_j_mcquaid_001,﻿Rt. Rev.,﻿Bernard J. McQuaid,﻿D.D.,,,,,,1870.0,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16128324,-77.62136044,,,,,﻿jam_m_early_001,﻿Very Rev.,﻿James M. Early,﻿V.G.,,,,,,1870.0,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16128324,-77.62136044,,,,,﻿jam_f_ohare_001,﻿Rev.,﻿James F. O'Hare,,,,,,,1870.0,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16128324,-77.62136044,,,,,﻿jos_mckenna_001,﻿Rev.,﻿Joseph McKenna,,,,,,,1870.0,Rochester
﻿roc.ny.0001,﻿cathedral,﻿St. Patrick's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.16128324,-77.62136044,,,,,﻿h_de-regge_001,﻿Rev.,﻿H. De Regge,,﻿Chancellor,,,,,1870.0,Rochester
﻿roc.ny.0002,﻿church,﻿St. Joseph's,﻿German,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.1594407,-77.6064884,,,,,﻿geo_roland_001,﻿Rev.,﻿Geo Roland,﻿C.SS.R.,,,,,,1870.0,Rochester
﻿roc.ny.0003,﻿church,﻿St. Mary's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.1484359,-77.637175,,,,,﻿pet_barker_001,﻿Rev.,﻿Peter Barker,﻿D.D.,,,,,,1870.0,Rochester
﻿roc.ny.0004,﻿church,﻿Immaculate Conception,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.1621325,-77.6230577,,,,,﻿pat_byrnes_002,﻿Rev.,﻿Patrick Byrnes,,,,,,,1870.0,Rochester
﻿roc.ny.0005,﻿church,﻿St. Bridget's,English,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.166207899999996,-77.6123066,,,,,﻿nic_byrne_001,﻿Rev.,﻿Nicholas Byrne,,,,,,,1870.0,Rochester
﻿roc.ny.0006,﻿church,﻿St. Peter's,﻿German,,,,﻿Monroe County,﻿Monroe County,﻿Rochester,﻿Rochester,﻿NY,,43.1521729,-77.6329615,,,,,﻿f_sinclair_001,﻿Rev.,﻿F. Sinclair,﻿D.D.,,,,,,1870.0,Rochester
