instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686975200000006,-105.937799,,,,,﻿#REF!,﻿Rt. Rev.,﻿J. B. Lamy,﻿D.D.,,,,,,1866.0,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686975200000006,-105.937799,,,,,﻿#REF!,﻿Very. Rev.,﻿Peter Eguillon,,﻿Rector,,,,,1866.0,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686975200000006,-105.937799,,,,,﻿#REF!,﻿Rev.,﻿J. B. Courbon,,﻿Assistant,,,,,1866.0,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686975200000006,-105.937799,,,,,﻿#REF!,﻿Rev.,﻿Mr. Valezy,,﻿Assistant,,,,,1866.0,SantaFe
﻿san.nm.0002,﻿chapel,﻿Chapel of N. Sen. del Rosario,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686975200000006,-105.937799,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0003,﻿chapel,﻿Chapel of Na. Senora de Guadelupe,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686975200000006,-105.937799,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0004,﻿chapel,﻿Chapel of San Miguel,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.6835081,-105.93769840000002,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0005,﻿chapel,﻿Chapel of Na. Señora de la Luz,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.67480870000001,-105.91549690000001,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0006,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Aguafria,﻿Aguafria,﻿NM,,35.6643582,-106.01657900000001,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0007,﻿chapel,﻿Chapel of San José,English,,,﻿Santa Fé,,,﻿Cienega,﻿Cienega,﻿NM,,35.5650493,-106.1155773,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0008,﻿chapel,﻿Chapel of N. Sen. de los Remedios,English,,,﻿Santa Fé,,,﻿Galisteo,﻿Galisteo,﻿NM,,35.3955945,-105.94640929999998,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0009,﻿chapel,﻿Chapel of N. Sen. de los Angeles,English,,,﻿Santa Fé,,,﻿Pecos,﻿Pecos,﻿NM,,35.5742031,-105.67501599999999,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0009,﻿chapel,﻿Chapel of N. Sen. de los Angeles,English,,,﻿Peña Blanca,,,﻿Placer de Dolores,﻿Pecos,﻿NM,,35.5742031,-105.67501599999999,,﻿Attended from San Domingo,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0124,﻿chapel,﻿Chapel of San Buenaventura,English,,,﻿Peña Blanca,,,﻿Placer de San Francisco,,﻿NM,,35.82501023,-105.9784144,,﻿Attended from San Domingo,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0010,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Rio Tesuque,﻿Tesuque,﻿NM,,36.207240999999996,-106.3186397,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0011,﻿chapel,﻿Chapel of San Diego,English,﻿Pueblo Indians,,﻿Santa Fé,,,﻿Tesque,﻿Tesuque,﻿NM,,36.207240999999996,-106.3186397,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0013,﻿church,﻿Santa Rosa's Chapel,English,,,﻿Abiquiu,,,﻿Abiquiu,﻿Abiquiu,﻿NM,,34.93867,-104.6824892,,,,,﻿#REF!,﻿Rev.,﻿Peter Bernal,,,,,,,1866.0,SantaFe
﻿san.nm.0013,﻿church,﻿Santa Rosa's Chapel,English,,,﻿Abiquiu,,,﻿Abiquiu,﻿Abiquiu,﻿NM,,34.93867,-104.6824892,,,,,﻿#REF!,﻿Rev.,﻿M. Rolly,,﻿Assistant,,,,,1866.0,SantaFe
﻿san.nm.0014,﻿chapel,not recorded,English,,,﻿Abiquiu,,,﻿El Rito,,﻿NM,,34.93867,-104.6824892,﻿san.nm.0012,﻿Attended from Abiquiu,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0015,﻿chapel,not recorded,English,,,﻿Abiquiu,,,﻿Los Ancones,﻿Ancones,﻿NM,,36.55330238,-105.9355489,﻿san.nm.0012,﻿Attended from Abiquiu,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0016,﻿chapel,not recorded,English,,,﻿Abiquiu,,,﻿Servieta,,﻿NM,,36.302122499999996,-106.0452736,﻿san.nm.0012,﻿Attended from Abiquiu,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0022,﻿church,﻿Parish Church of San Felipe de Neri,English,,,﻿Albuquerque,,,﻿Albuquerque,﻿Albuquerque,﻿NM,,36.495017700000005,-106.1166881,,,,,﻿#REF!,﻿Very Rev.,﻿John Augustine Truchard,,,,,,,1866.0,SantaFe
﻿san.nm.0022,﻿church,﻿Parish Church of San Felipe de Neri,English,,,﻿Albuquerque,,,﻿Albuquerque,﻿Albuquerque,﻿NM,,36.495017700000005,-106.1166881,,,,,﻿#REF!,﻿Rev.,﻿A. Mathoust,,,,,,,1866.0,SantaFe
﻿san.nm.0023,﻿chapel,﻿Chapel of San José,English,,,﻿Albuquerque,,,﻿Ranchos de Albuq.,﻿Los Ranchos de Albuquerque,﻿NM,,36.698669,-106.5518824,﻿san.nm.0022,﻿Attended from Albuquerque,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0024,﻿chapel,﻿Chapel of Na. Sen. de Carmel,English,,,﻿Albuquerque,,,﻿El Rancho,﻿Albuquerque,﻿NM,,34.9727305,-105.0323635,﻿san.nm.0022,﻿Attended from Albuquerque,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
﻿san.nm.0025,﻿chapel,﻿Chapel of La Natividad,English,,,﻿Albuquerque,,,﻿Lalameda,﻿Alameda,﻿NM,,35.096779,-106.67008490000002,﻿san.nm.0022,﻿Attended from Albuquerque,,,﻿#REF!,,,,,,,,,1866.0,SantaFe
