instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿aug_vérot_001,﻿Rt. Rev.,﻿Augustin Vérot,﻿D.D.,,,,,,1869.0,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿j_f_oneill_001,﻿Very Rev.,﻿J. F. O'Neill,,,,,,,1869.0,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿p_whelan_001,﻿Rev.,﻿P. Whelan,,,,,,,1869.0,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿w_j_hamilton_001,﻿Rev.,﻿W. J. Hamilton,,,,,,,1869.0,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿a_tanquerai_001,﻿Rev.,﻿A. Tanquerai,,,,,,,1869.0,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0733565,-81.0909827,,,,,﻿joh_bertazzi_001,﻿Rev.,﻿John Bertazzi,,,,,,,1869.0,Savannah
﻿sav.ga.0002,﻿church,﻿St. Patrick's,English,﻿Residence of the Pastor,﻿corner of Liberty and West Broad streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0745249,-81.09391070000001,,,,,﻿pet_dufau_001,﻿Very Rev.,﻿Peter Dufau,,,,,,,1869.0,Savannah
﻿sav.ga.0002,﻿church,﻿St. Patrick's,English,﻿Residence of the Pastor,﻿corner of Liberty and West Broad streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.0745249,-81.09391070000001,,,,,﻿c_c_prendergast_001,﻿Rev.,﻿C. C. Prendergast,,,,,,,1869.0,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿the largest and finest in the State, finished and consecrated during the war, April 12, 1863",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.4715171,-81.96679350000001,,,,,﻿g_duggan_001,﻿Rev.,﻿G. Duggan,,,,,,,1869.0,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿the largest and finest in the State, finished and consecrated during the war, April 12, 1863",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.4715171,-81.96679350000001,,,,,﻿joh_kirby_001,﻿Rev.,﻿John Kirby,,,,,,,1869.0,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿the largest and finest in the State, finished and consecrated during the war, April 12, 1863",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.4715171,-81.96679350000001,,,,,﻿jam_ohara_002,﻿Rev.,﻿James O'Hara,,,,,,,1869.0,Savannah
