instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿scr.pa.0001,﻿church,﻿Church of St. Vincent de Paul,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.66241219999999,,,,,﻿wm_ohara_001,﻿Rt. Rev.,﻿Wm. O'Hara,﻿D.D.,﻿Bishop,,,,,1870.0,Scranton
﻿scr.pa.0001,﻿church,﻿Church of St. Vincent de Paul,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.66241219999999,,,,,﻿mos_whitty_001,﻿Rev.,﻿Moses Whitty,,,,,,,1870.0,Scranton
﻿scr.pa.0001,﻿church,﻿Church of St. Vincent de Paul,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.66241219999999,,,,,﻿ric_hennesy_001,﻿Rev.,﻿Richard Hennesy,,,,,,,1870.0,Scranton
﻿scr.pa.0001,﻿church,﻿Church of St. Vincent de Paul,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.66241219999999,,,,,﻿mic_obrien_002,﻿Rev.,﻿Michael O'Brien,,,,,,,1870.0,Scranton
﻿scr.pa.0002,﻿church,﻿St. Simon,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.66241219999999,,,,,﻿ew_fitzmaurice_001,﻿Rev.,﻿E.W. Fitzmaurice,,,,,,,1870.0,Scranton
﻿scr.pa.0002,﻿church,﻿St. Simon,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.66241219999999,,,,,﻿nj_mcmanus_001,﻿Rev.,﻿N.J. McManus,,,,,,,1870.0,Scranton
﻿scr.pa.0003,﻿church,﻿St. Thaddeus',English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.66241219999999,﻿scr.pa.0010,﻿Attended from St. Vincent's,,,,,,,,,,,,1870.0,Scranton
﻿scr.pa.0004,﻿church,﻿St. Patrick's,English,,,,﻿Luzerne County,﻿Lackawanna County,﻿Scranton,﻿Scranton,﻿PA,,41.408969,-75.66241219999999,﻿scr.pa.0010,﻿Attended from St. Vincent's,,,,,,,,,,,,1870.0,Scranton
﻿scr.pa.0005,﻿church,﻿St. Bonaventure's,﻿German,,,,﻿Luzerne County,﻿Luzerne County,﻿Pittston,﻿Pittston,﻿PA,,41.3259134,-75.7893604,,,,,﻿j_schelle_001,﻿Rev.,﻿J. Schelle,,,,,,,1870.0,Scranton
﻿scr.pa.0006,﻿church,﻿St. John Evangelist,English,,,,﻿Luzerne County,﻿Luzerne County,﻿Pittston,﻿Pittston,﻿PA,,41.3227315,-75.7889432,,,,,﻿j_finnan_001,﻿Rev.,﻿J. Finnan,,,,,,,1870.0,Scranton
