instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿tho_l_grace_001,﻿Right Rev.,﻿Thomas L. Grace,,,,,,,1868.0,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿a_ravoux_001,﻿Very Rev.,﻿A. Ravoux,,,,,,,1868.0,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿joh_ireland_001,﻿Rev.,﻿John Ireland,,﻿Pastor of the Parish,,,,,1868.0,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿pro_maurer_001,﻿Rev.,﻿Prosper Maurer,,,,,,,1868.0,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.94695,-93.109143,,,,,﻿jam_mcgolrick_001,﻿Rev.,﻿James McGolrick,,,,,,,1868.0,StPaul
﻿stp.mn.0002,﻿church,﻿Assumption Church,﻿German,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.947550299999996,-93.09947290000001,,,,,﻿cle_staub_001,﻿Rev.,﻿Clement Staub,﻿O.S.B.,,,,,,1868.0,StPaul
﻿stp.mn.0002,﻿church,﻿Assumption Church,﻿German,,,,﻿,﻿,﻿St. Paul,﻿St. Paul,﻿MN,,44.947550299999996,-93.09947290000001,,,,,﻿oth_wirz_001,﻿Rev.,﻿Othman Wirz,﻿O.S.B.,,,,,,1868.0,StPaul
﻿stp.mn.0003,﻿church,﻿St. Mary's Church,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.9523479,-93.0885005,,,,,﻿l_caillet_001,﻿Rev.,﻿L. Caillet,,,,,,,1868.0,StPaul
﻿stp.mn.0006,﻿church,﻿St. Michael's Church,English,,﻿West St. Paul,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,﻿St. Paul,﻿MN,,44.9160768,-93.1016074,﻿stp.mn.0001,﻿Attended from the Cathedral,,,﻿pro_maurer_001,﻿Rev.,﻿Prosper Maurer,,,,,,,1868.0,StPaul
﻿stp.mn.0007,﻿church,﻿St. John's Church,English,,,,﻿Ramsey County,﻿Ramsey County,﻿New-Canada,﻿Little Canada,﻿MN,,45.0274537,-93.08980179999999,,﻿,,,﻿j_goiffon_001,﻿Rev.,﻿J. Goiffon,,,,,,,1868.0,StPaul
