instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿sta.fl.0001,﻿church,﻿Church of St. Augustine,English,,,,﻿St. John's County,,﻿St. Augustine,﻿Saint Augustine,﻿FL,,29.8921835,-81.3139313,,,,,﻿dem_marogna_002,﻿Rev.,﻿Demetrius Marogna,﻿O.S.B.,,,,,,1868.0,VAFlorida
﻿sta.fl.0001,﻿church,﻿Church of St. Augustine,English,,,,﻿St. John's County,,﻿St. Augustine,﻿Saint Augustine,﻿FL,,29.8921835,-81.3139313,,,,,﻿a_sardi_001,﻿Rev.,﻿A. Sardi,﻿O.S.F.,,,,,,1868.0,VAFlorida
﻿sta.fl.0002,﻿church,﻿Church of the Immaculate Conception,English,"﻿The church of Jacksonville, together with the parochial residence, which was a large and comfortable building, was destroyed by fire during the war. The officers of the Government, regretting this sad occurence, have given boards to put up a temporary shelter to assemble the Catholics of the place. They are unable to rebuild the church and the house; it is therefore intended, as soon as circumstances will allow, to call on the sympathy and liberality of the Catholics of the North to remove, as soon as possible, these sad vestiges of the late troubles in the country",,,﻿Duval County,,﻿Jacksonville,﻿Jacksonville,﻿FL,,30.3292125,-81.65551359999999,,,,,﻿j_f_chambon_001,﻿Rev.,﻿J. F. B. Chambon,,,,,,,1868.0,VAFlorida
﻿sta.fl.0005,﻿church,﻿Church of Mater Dolorosa,English,,﻿capital of Florida,,,,﻿Tallahassee,﻿Tallahassee,﻿FL,,30.438132799999998,-84.2825836,,,,,﻿jb_allard_001,﻿Rev.,﻿J. B. Ollard,,,,,,,1868.0,VAFlorida
﻿sta.fl.0006,﻿church,not recorded,English,,﻿Amelia Island,,﻿Nassau County,,﻿Fernandina,﻿Fernandina Beach,﻿FL,,30.6669432,-81.4362671,,,,,﻿hen_clavreul_001,﻿Rev.,﻿Henry Clavreul,,,,,,,1868.0,VAFlorida
﻿sta.fl.0007,﻿church,not recorded,English,,,,,,﻿Pilatka,﻿Palatka,﻿FL,,29.648580100000004,-81.6375819,﻿sta.fl.0001,﻿Attended from St. Augustine,,,,,,,,,,,,1868.0,VAFlorida
﻿sta.fl.0008,﻿church,not recorded,English,,,,,,﻿Moccasin Branch,﻿Armstrong,﻿FL,,29.7621914,-81.4478542,﻿sta.fl.0001,﻿Attended from St. Augustine,,,,,,,,,,,,1868.0,VAFlorida
﻿sta.fl.0009,﻿church,not recorded,English,,,,,,﻿Sampson Rogero's Settlement,,﻿FL,,27.664827399999997,-81.5157535,﻿sta.fl.0001,﻿Attended from St. Augustine,,,,,,,,,,,,1868.0,VAFlorida
﻿sta.fl.0010,﻿church,not recorded,English,,,,,,﻿Pellicer's Creek,﻿Saint Augustine,﻿FL,,29.6528,-81.32,﻿sta.fl.0001,﻿Attended from St. Augustine,,,,,,,,,,,,1868.0,VAFlorida
﻿sta.fl.0011,﻿church,not recorded,English,,,,,,﻿Mandarin,﻿Mandarin,﻿FL,,30.1494918,-81.6409217,﻿sta.fl.0001,﻿Attended from Jacksonvile,,,,,,,,,,,,1868.0,VAFlorida
