instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿vic.ks.0001,﻿cathedral,﻿Church of the Immaculate Conception,English,,,,,﻿Leavenworth County,﻿Leavenworth,﻿Leavenworth,﻿KS,,39.3247304,-94.9170115,,,,,﻿jb_miege_001,﻿Rt. Rev.,﻿J.B. Miege,"﻿S.J., D.D.",,,,,,1870.0,VAKansas
﻿vic.ks.0001,﻿cathedral,﻿Church of the Immaculate Conception,English,,,,,﻿Leavenworth County,﻿Leavenworth,﻿Leavenworth,﻿KS,,39.3247304,-94.9170115,,,,,﻿mic_corbett_001,﻿Rev.,﻿Michael Corbett,﻿S.J.,,,,,,1870.0,VAKansas
﻿vic.ks.0001,﻿cathedral,﻿Church of the Immaculate Conception,English,,,,,﻿Leavenworth County,﻿Leavenworth,﻿Leavenworth,﻿KS,,39.3247304,-94.9170115,,,,,﻿alo_laigneil_001,﻿Rev.,﻿Aloysius Laigneil,﻿S.J.,,,,,,1870.0,VAKansas
﻿vic.ks.0001,﻿cathedral,﻿Church of the Immaculate Conception,English,,,,,﻿Leavenworth County,﻿Leavenworth,﻿Leavenworth,﻿KS,,39.3247304,-94.9170115,,,,,﻿tho_a_butler_001,﻿Rev.,﻿Thos. Ambrose Butler,,,,,,,1870.0,VAKansas
﻿vic.ks.0002,﻿church,﻿Saint Joseph's Church,﻿German,,,,,﻿Leavenworth County,﻿Leavenworth,﻿Leavenworth,﻿KS,,39.3205684,-94.92158409999999,,,,,﻿alb_heimann_001,﻿Rev.,﻿Albertus Heimann,﻿O.C.C.,,,,,,1870.0,VAKansas
﻿vic.ks.0002,﻿church,﻿Saint Joseph's Church,﻿German,,,,,﻿Leavenworth County,﻿Leavenworth,﻿Leavenworth,﻿KS,,39.3205684,-94.92158409999999,,,,,﻿xav_hubert_001,﻿Rev.,﻿Xavier Hubert,﻿O.C.C.,,,,,,1870.0,VAKansas
﻿vic.ks.0003,﻿church,not recorded,English,,,,,﻿Leavenworth County,﻿Fort Leavenworth,﻿Leavenworth,﻿KS,,39.310352200000004,-94.9279371,,"﻿Attended from the Cathedral by Rev. Aloysius Laigneil, S.J.",,,,,,,,,,,,1870.0,VAKansas
﻿vic.ks.0004,﻿church,"﻿""St. Joseph's-of-the-Valley""",English,,,,,,,,﻿KS,,39.011902,-98.4842465,,﻿Attended from the Cathedral by Rev. Thos. Ambrose Butler,,,,,,,,,,,,1870.0,VAKansas
﻿vic.ks.0005,﻿church,﻿St. Benedict,English,,,,﻿Atchison County,﻿Atchison County,﻿Atchison,﻿Atchison,﻿KS,,39.5722848,-95.114936,,,,,﻿lew_m_fink_001,﻿Very Rev.,﻿Lewis M. Fink,﻿O.S.B.,﻿Prior,,,,,1870.0,VAKansas
﻿vic.ks.0005,﻿church,﻿St. Benedict,English,,,,﻿Atchison County,﻿Atchison County,﻿Atchison,﻿Atchison,﻿KS,,39.5722848,-95.114936,,,,,﻿pla_mckeever_001,﻿Rev.,﻿Placidus McKeever,﻿O.S.B.,﻿Assistant,,,,,1870.0,VAKansas
