instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿vic.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.3182651,-77.7743338,,,,,﻿jam_gibbons_001,﻿Rt. Rev.,﻿James Gibbons,﻿D.D.,,,,,,1870.0,VANorthCarolina
﻿vic.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.3182651,-77.7743338,,,,,﻿jam_a_corcoran_001,﻿Very Rev.,﻿James A. Corcoran,﻿D.D.,,"﻿is absent, in Rome having been appointed by the Prelates of the United States to represent them, as Theologian, at the General Council",,,,1870.0,VANorthCarolina
﻿vic.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.3182651,-77.7743338,,,,,﻿mar_s_gross_001,﻿Rev.,﻿Mark S. Gross,,,,,,,1870.0,VANorthCarolina
﻿vic.nc.0002,﻿church,not recorded,English,,,,﻿Cumberland County,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,,35.05236729999999,-78.8783774,﻿vic.nc.0001,﻿Visited from Wilmington,﻿once a month,,,,,,,,,,,1870.0,VANorthCarolina
﻿vic.nc.0003,﻿church,not recorded,English,,,,﻿New Hanover County,﻿Harnett County,﻿Lillington,﻿Lillington,﻿NC,,35.399327,-78.81585279999999,﻿vic.nc.0001,﻿Visited from Wilmington,﻿at stated intervals,,,,,,,,,,,1870.0,VANorthCarolina
﻿vic.nc.0004,﻿church,﻿St. Paul's,English,,,,﻿Craven County,﻿Craven County,﻿New Berne,﻿New Bern,﻿NC,,35.0845617,-77.0680216,,,,,﻿har_p_northrop_001,﻿Rev.,﻿Harry P. Northrop,,﻿Pastor,,,,,1870.0,VANorthCarolina
﻿vic.nc.0005,﻿church,﻿St. Anne's,English,,,,﻿Chowan County,﻿Chowan County,﻿Edenton,﻿Edenton,﻿NC,,36.0627866,-76.60803409999998,﻿vic.nc.0004,﻿Attended from New Berne,﻿occasionally,,,,,,,,,,,1870.0,VANorthCarolina
﻿vic.nc.0006,﻿church,﻿Station,English,,,,﻿Wayne County,﻿Wayne County,﻿Goldsboro,﻿Goldsboro,﻿NC,,35.3848841,-77.9927651,﻿vic.nc.0004,﻿Attended from New Berne,﻿occasionally,,,,,,,,,,,1870.0,VANorthCarolina
﻿vic.nc.0007,﻿church,not recorded,English,,,,﻿Wilson County,﻿Wilson County,﻿Wilson,﻿Wilson,﻿NC,,35.7258286,-77.9111237,﻿vic.nc.0004,﻿Attended from New Berne,﻿occasionally,,,,,,,,,,,1870.0,VANorthCarolina
﻿vic.nc.0008,﻿church,not recorded,English,,,,﻿Combe County,﻿Edgecombe County,﻿Tarboro,﻿Tarboro,﻿NC,,35.896823600000005,-77.53580490000002,﻿vic.nc.0004,﻿Attended from New Berne,﻿occasionally,,,,,,,,,,,1870.0,VANorthCarolina
