instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿vinc.in.0001,﻿cathedral,﻿St. Francis Xavier's Cathedral,English,,,,﻿Knox County,,﻿Vincennes,﻿Vincennes,﻿IN,,38.6789484,-87.5340134,,,,,﻿mau_d_palais_001,﻿Rt. Rev.,﻿Maurice de St. Palais,﻿D.D.,,,,,,1870.0,Vincennes
﻿vinc.in.0001,﻿cathedral,﻿St. Francis Xavier's Cathedral,English,,,,﻿,,﻿Vincennes,﻿Vincennes,﻿IN,,38.6789484,-87.5340134,,,,,﻿p_b_oconnor_001,﻿Very Rev.,﻿P. Bede O'Connor,﻿O.S.B.,﻿Vicar-General and Chancellor,,,,,1870.0,Vincennes
﻿vinc.in.0001,﻿cathedral,﻿St. Francis Xavier's Cathedral,English,,,,﻿,,﻿Vincennes,﻿Vincennes,﻿IN,,38.6789484,-87.5340134,,,,,﻿joh_contin_001,﻿Rev.,﻿John Contin,,,,,,,1870.0,Vincennes
﻿vinc.in.0002,﻿church,﻿St. John the Baptist,﻿German,,,,﻿Knox County,,﻿Vincennes,﻿Vincennes,﻿IN,,38.677269,-87.5286325,,,,,﻿aeg_merz_001,﻿Rev.,﻿Aegidius Merz,,,,,,,1870.0,Vincennes
﻿vinc.in.0003,﻿church,not recorded,English,,,,﻿Shelby County,﻿Marion County,﻿Acton,﻿Acton,﻿IN,,39.6553738,-85.96843929999999,﻿vinc.in.0127,﻿Attended from Shelbyville,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0004,﻿church,not recorded,English,,,,﻿Marion County,,﻿Augusta,﻿Pike Township,﻿IN,,39.8817723,-86.2598229,﻿vinc.in.0064,﻿Attended from Indianapolis,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0005,﻿church,﻿Immaculate Conception,English,,,,﻿Dearborn County,,﻿Aurora,﻿Aurora,﻿IN,,39.0570022,-84.9013402,,,,,﻿fr_i_klein_001,﻿Rev.,﻿Fr. Ign. Klein,,,,,,,1870.0,Vincennes
﻿vinc.in.0006,﻿church,not recorded,English,,,,﻿Scott County,,﻿Austin,﻿Austin,﻿IN,,38.7415038,-85.8059582,﻿vinc.in.0126,﻿Attended from Seymour,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0007,﻿church,﻿St. Stephen's,English,,,,﻿Putnam County,,﻿Bainbridge,﻿Bainbridge,﻿IN,,39.761157,-86.81195229999999,﻿vinc.in.0050,﻿Attended from Greencastle,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0008,﻿church,﻿St. Louis',English,,,,﻿Franklin County,,﻿Batesville,﻿Batesville,﻿IN,,39.2964876,-85.22468640000001,﻿vinc.in.0108,﻿Attended from Oldenburg,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0009,﻿church,﻿St. Vincent of Paul,English,,,,﻿Lawrence County,,﻿Bedford,﻿Bedford,﻿IN,,38.8518863,-86.4996546,﻿vinc.in.0010,﻿Attended from Bloomington,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0010,﻿church,﻿St. Charles Borromeo,English,,,,﻿Monroe County,,﻿Bloomington,﻿Bloomington,﻿IN,,39.1636091,-86.5075991,,,,,﻿hh_kessing_001,﻿Rev.,﻿H.H. Kessing,,,,,,,1870.0,Vincennes
﻿vinc.in.0011,﻿church,﻿St. Patrick's,English,,,,﻿Vanderburg County,,﻿Blue Grass,﻿Evansville,﻿IN,,37.9524318,-87.4936936,﻿vinc.in.0036,﻿Attended from Evansville,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0012,﻿church,not recorded,English,,,,﻿Harrison County,,﻿Bradford,﻿Bradford,﻿IN,,38.3678417,-86.06191690000001,,"﻿Attended from St. John's, Clark Co.",,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0013,﻿church,﻿St. Benedict's,English,,,,﻿Warwick County,,﻿Booneyville,﻿Boonville,﻿IN,,38.0492131,-87.2741723,﻿vinc.in.0166,﻿Attended from Troy,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0014,﻿church,﻿Annunciation of B.V.,English,,,,﻿Clay County,,﻿Brazil,﻿Brazil,﻿IN,,39.523652,-87.12501540000001,﻿vinc.in.0148,﻿Attended from St. Mary's of the Woods,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0015,﻿church,not recorded,English,,,,﻿Marion County,,﻿Bridgeport,﻿Bridgeport,﻿IN,,39.732267,-86.31721359999999,﻿vinc.in.0064,﻿Attended from Indianapolis,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0016,﻿church,﻿St. Michael's,English,,,,﻿Franklin County,,﻿Brookville,﻿Brookville,﻿IN,,39.4168087,-85.01307290000001,,,,,﻿mei_fleischmann_001,﻿Rev.,﻿Meinrad Fleischmann,,,,,,,1870.0,Vincennes
﻿vinc.in.0017,﻿church,﻿St. Malachy's,English,,,,﻿Marion County,,﻿Brownsburgh,﻿Brownsburg,﻿IN,,39.8433769,-86.3977735,﻿vinc.in.0064,﻿Attended from Indianapolis,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0018,﻿church,﻿St. James,English,,﻿(Six-miles P.O.),,﻿Jennings County,,﻿Buena Vista,﻿Four Corners,﻿IN,,38.9914998,-85.684578,,,,,﻿j_stolz_001,﻿Rev.,﻿J. Stolz,,,,,,,1870.0,Vincennes
﻿vinc.in.0019,﻿church,not recorded,English,,,,﻿Rush County,﻿Rush County,﻿Burlington,﻿Arlington,﻿IN,,39.6481768,-85.52002399999999,﻿vinc.in.0123,﻿Attended from Rushville,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0020,﻿church,﻿St. Elizabeth's,English,,,,﻿Wayne County,,﻿Cambridge City,﻿Cambridge City,﻿IN,,39.8125465,-85.17163149999999,,,,,﻿vin_de-vilas_001,﻿Rev.,﻿Vincent de Vilas,,,,,,,1870.0,Vincennes
﻿vinc.in.0021,﻿church,﻿St. Patrick's,English,,,,﻿Perry County,,﻿Cannelton,﻿Cannelton,﻿IN,,37.9114446,-86.7444321,,,,,﻿m_marendt_001,﻿Rev.,﻿M. Marendt,,,,,,,1870.0,Vincennes
﻿vinc.in.0022,﻿church,﻿St. Michael's,﻿German,,,,﻿Perry County,,﻿Cannelton,﻿Cannelton,﻿IN,,37.913264,-86.7411809,,,,,﻿m_marendt_001,﻿Rev.,﻿M. Marendt,,,,,,,1870.0,Vincennes
﻿vinc.in.0023,﻿church,not recorded,English,,,,﻿Putnam County,,﻿Carpentersville,﻿Carpentersville,﻿IN,,39.805601,-86.8055632,﻿vinc.in.0050,﻿Attended from Greencastle,,,,,,,,,,,,1870.0,Vincennes
﻿vinc.in.0024,﻿church,﻿St. John Baptist,English,,,,﻿Perry County,,﻿Cassidy's Settlement,﻿Leopold,﻿IN,,38.1095739,-86.61071059999999,﻿vinc.in.0076,﻿Attended from Leopold,,,,,,,,,,,,1870.0,Vincennes
