instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, Hampden street, in rear of cathedral",﻿Fifth street,,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.078050299999994,-80.7270944,,,,,﻿ric_v_whelan_001,﻿Rt. Rev.,﻿Richard V. Whelan,,,,,,,1870.0,Wheeling
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, Hampden street, in rear of cathedral",﻿Fifth street,,,,﻿Wheeling,﻿Wheeling,﻿VA,,40.078050299999994,-80.7270944,,,,,﻿joh_sullivan_002,﻿Rev.,﻿John Sullivan,,,,,,,1870.0,Wheeling
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, Hampden street, in rear of cathedral",﻿Fifth street,,,,﻿Wheeling,﻿Wheeling,﻿VA,,40.078050299999994,-80.7270944,,,,,﻿tho_j_ackley_001,﻿Rev.,﻿Thos. J. Ackley,,,,,,,1870.0,Wheeling
﻿whe.va.0001,﻿cathedral,﻿St. James' Cathedral,English,"﻿Residence, Hampden street, in rear of cathedral",﻿Fifth street,,,,﻿Wheeling,﻿Wheeling,﻿VA,,40.078050299999994,-80.7270944,,,,,﻿mic_fitzpatrick_001,﻿Rev.,﻿Michael Fitzpatrick,,,,,,,1870.0,Wheeling
﻿whe.va.0002,﻿church,﻿St. Alphonsus',﻿German,"﻿Residence, in the rear of the church","﻿Market Street, Centre Wheeling",,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.061026700000006,-80.7237172,,,,,﻿pet_kreusch_001,﻿Rev.,﻿Peter Kreusch,,,,,,,1870.0,Wheeling
﻿whe.va.0003,﻿chapel,﻿Chapel of St. Joseph,English,,﻿Wheeling Hospital,,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.066536,-80.719592,﻿whe.va.0086,﻿Attended from the College,﻿Daily,,﻿rob_keleher_001,﻿Rev.,﻿Robert Keleher,,,,,,,1870.0,Wheeling
﻿whe.va.0004,﻿chapel,﻿Chapel of St. Joseph's Academy,English,,﻿St. Joseph's Academy,,,,﻿Wheeling,﻿Wheeling,﻿VA,﻿WV,40.063961600000006,-80.72091490000001,﻿whe.va.0085,﻿Attended from the Seminary,,,﻿aug_p_louage_001,﻿Rev.,﻿Aug. P. Louage,,,,,,,1870.0,Wheeling
﻿whe.va.0005,﻿church,not recorded,English,﻿Residence at present of Rev. Michael Duggan,,,,﻿Washington County,﻿Abingdon,﻿Abingdon,,﻿VA,36.7098335,-81.97734820000001,,,,,﻿mic_duggan_001,﻿Rev.,﻿Michael Duggan,,,,,,,1870.0,Wheeling
﻿whe.va.0006,﻿church,﻿St. John's,English,,,,,,﻿Benwood,﻿Benwood,﻿VA,﻿WV,40.016370200000004,-80.7346505,﻿whe.va.0001,﻿Visited from Wheeling,﻿monthly,,,,,,,,,,,1870.0,Wheeling
﻿whe.va.0007,﻿church,not recorded,English,,,,,﻿Brooke County,﻿Bethany,﻿Bethany,﻿VA,﻿WV,40.205627,-80.55673840000001,﻿whe.va.0070,﻿Attended from Wellsburgh,﻿monthly,,,,,,,,,,,1870.0,Wheeling
