instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿alb.ny.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Albany City,﻿Albany,﻿NY,,42.647478,-73.759623,,,,﻿joh_j_conroy_001,﻿Rt. Rev.,﻿John J. Conroy,﻿D.D.,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Albany City,﻿Albany,﻿NY,,42.647478,-73.759623,,,,﻿e_p_wadhams_001,﻿Very Rev.,﻿E. P. Wadhams,,"﻿Vicar-General, Rector",,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Albany City,﻿Albany,﻿NY,,42.647478,-73.759623,,,,﻿amb_m_oneil_001,﻿Rev.,﻿Ambrose M. O'Neil,,﻿Assistant,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Albany City,﻿Albany,﻿NY,,42.647478,-73.759623,,,,﻿p_ludden_001,﻿Rev.,﻿P. Ludden,,﻿Chancellor and Secretary,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,,﻿Albany City,﻿Albany,﻿NY,,42.647478,-73.759623,,,,﻿hug_shields_001,﻿Rev. Mr.,﻿Shields,,,﻿now at Louvain University,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0002,﻿church,﻿St. Joseph's Church,English,,,,,,﻿Albany City,﻿Albany,﻿NY,,42.6569339,-73.7514357,﻿alb.ny.0001,﻿under the direct pastoral care of the Rt. Rev. Bishop,,,,,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0002,﻿church,﻿St. Joseph's Church,English,,,,,,﻿Albany City,﻿Albany,﻿NY,,42.6569339,-73.7514357,,,,﻿tho_m_burke_001,﻿Rev.,﻿Thomas M.A. Burke,,,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0002,﻿church,﻿St. Joseph's Church,English,,,,,,﻿Albany City,﻿Albany,﻿NY,,42.6569339,-73.7514357,,,,﻿joh_lowry_001,﻿Rev.,﻿John Lowry,,﻿Assistant,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0002,﻿church,﻿St. Joseph's Church,English,,,,,,﻿Albany City,﻿Albany,﻿NY,,42.6569339,-73.7514357,,,,﻿ber_mcmanus_001,﻿Rev.,﻿Bernard McManus,,﻿Assistant,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
﻿alb.ny.0003,﻿church,﻿St. Mary's,English,"﻿new church, under roof",,,,,﻿Albany City,﻿Albany,﻿NY,,42.6518641,-73.7528084,,,,﻿c_walworth_001,﻿Rev.,﻿C. Walworth,,﻿Pastor,,,,,,1868,,,,,,,,,,,,,,,,,,,,,,,,﻿,﻿,﻿Albany,Albany
