instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.81071,-85.471369,,,,﻿ben_j_flaget_901,﻿Right Rev.,﻿Ben J. Flaget,﻿D.D.,,,,,,,1835,﻿https://stjosephbasilica.org/history,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,﻿guy_i_chabrat_901,﻿Right Rev.,﻿G. J. Chabrat,﻿D.D.,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,﻿ign_a_reynolds_901,﻿Rev.,﻿Ig. A. Reynolds,,﻿Codaj.,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,﻿joh_b_david_901,﻿Right Rev.,﻿John B. David,﻿D.D.,,﻿who has resigned the Coadjutorship,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,﻿l_picot_901,﻿Rev. Messr.,﻿L. Picot,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,﻿wil_f_clarke_001,﻿Rev. Messr.,﻿Wm. E. Clark,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,﻿ant_ganhil_901,﻿Rev. Messr.,﻿Anthony Ganhil,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,﻿geo_a_elder_901,﻿Rev. Messr.,﻿George A. M. Elder,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81071,-85.471369,,,,,﻿Rev. Messr.,﻿H. De Lyunes,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9000,﻿cathedral,not recorded,English,,,,﻿Breckinridge County,,,,﻿KY,,,,,,,﻿jos_rogers_901,﻿Rev.,﻿Joseph Rogers,,,,,,,,1835,,,,﻿,﻿,﻿Bardstown,Bardstown
