instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.8107095,-85.47136896,,,,﻿ben_j_flaget_901,﻿Right Rev.,﻿Benedict J. Flaget,﻿D.D.,,,,,,,1836,﻿https://stjosephbasilica.org/history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿guy_i_chabrat_901,﻿Right Rev.,﻿Guy Ignatius Chabrat,﻿D.D.,﻿Coadjutor,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿joh_b_david_901,﻿Right Rev.,﻿John B. M. David,﻿D.D.,,﻿who has resigned the Coadjutorship,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿mar_j_spalding_001,﻿Rev.,﻿Martin I. Spalding,,﻿Pastor,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0020,﻿cathedral,﻿Cathedral of St. Joseph,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.8107095,-85.47136896,,,,﻿jos_haseltine_901,﻿Rev.,﻿Joseph Haseltine,,﻿Assistant,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9000,﻿cathedral,not recorded,English,,,,﻿Breckinridge County,,,,﻿KY,,,,,,,﻿jos_rogers_901,﻿Rev.,﻿Joseph Rogers,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0083,﻿cathedral,not recorded,English,,,,﻿Bullet County,﻿Bullitt County,,,﻿KY,,,,,,,﻿jam_elliott_001,﻿Rev.,﻿James Elliot,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0031,﻿cathedral,not recorded,English,,﻿Clear Creek,,,,,,﻿KY,,,,,,,﻿fra_chambige_001,﻿Rev.,﻿F. Chambige,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0001,﻿church,﻿St. Mary's,English,﻿3d and 4th Sundays,,,,,﻿Covington,,﻿KY,,38.5731349,-82.8301677,,,﻿attended from the Cathedral of Cincinnati,,,,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9024,﻿convent,﻿Convent of Bethlehem,English,,,,,,﻿Bethlehem,,﻿KY,,,,,,,,﻿Rev.,﻿F. Chambige,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
