instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bos.ma.0001,﻿church,﻿Cathedral of the Holy Cross,English,"﻿The hours of regular Divine Service are, in the Summer season, 6, 7, and 10 A.M., and 3 P.M. In the Winter season, 7, 8 and 10, A.M., and at 2 P.M. At each of the above hours, both morning and evening, there is always a Sermon. The last Mass is always a High Mass. Under the Cathedral there is a neat and spacious Chapel recently constructed exclusively for the Children, in which they assemble for Divine Service at 10, A.M. and at 3 P.M. The Mass celebrated for them is always a High Mass. They also have a discourse both in the forenoon and afternoon. The number of Children at the above hours, varies from 400 to 500. The Chapel is called St. Aloysius'.",,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.34077868,-71.06950954,,,,﻿ben_j_fenwick_901,﻿Right Rev.,﻿Benedict Fenwick,﻿D. D.,,,,,,,1833,﻿https://bostoncathedral.com/history,,﻿,﻿,Boston,Boston
﻿bos.ma.0012,﻿church,﻿St. Augustine's Church,English,,﻿South Boston,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.334167,-71.049444,,,,﻿#REF!,,,,,﻿Vacant,,,,,1833,﻿https://en.wikipedia.org/wiki/Saint_Augustine_Chapel_and_Cemetery ; https://www.gateofheavenstbrigid.org/st-augustine-cemetery-chapel,,﻿,﻿,Boston,Boston
﻿bos.ma.0055,﻿church,﻿St. Mary's Church,English,"﻿The hours of divine service are, in the summer at 10 A.M. and 3 P.M.; in winter at 10 A.M., and 2, P.M Sermon morning and evening",,,,﻿Suffolk County,﻿Charlestown,﻿Charlestown,﻿MA,﻿MA,42.3734029,-71.06445851,,,,﻿pat_byrne_901,﻿Rev.,﻿Patrick Byrne,,,,,,,,1833,﻿https://en.wikipedia.org/wiki/St._Mary_%E2%80%93_St._Catherine_of_Siena_Parish,,﻿,﻿,Boston,Boston
﻿bos.ma.0109,﻿church,﻿St. Patrick's Church,English,"﻿The hours of divine service are, in the summer at 10 A.M. and 3 P.M.; in winter at 10 A.M., and 2, P.M Sermon morning and evening",,,,﻿Middlesex County,﻿Lowel,﻿Lowell,﻿MA,﻿MA,42.64523751,-71.31771974,,,,﻿joh_mahony_901,﻿Rev.,﻿John Mahoney,,,,,,,,1833,﻿https://www.stpatricklowell.org/our-history-2/,,﻿,﻿,Boston,Boston
﻿bos.ma.0129,﻿church,not recorded,English,﻿Church not yet dedicated,,,,﻿Bristol County,﻿New Bedford,﻿New Bedford,﻿MA,﻿MA,41.63779641,-70.95973713,,,,﻿pat_canavan_901,﻿Rev.,﻿Patrick Canavan,,,﻿Dw. at Sandwich,,,,,1833,﻿https://www.fallriverdiocese.org/about/about-history/,,﻿,﻿,Boston,Boston
﻿bos.ma.0152,﻿church,﻿St. Mary's Church,English,"﻿The hours of divine service are, in the summer at 10 A.M. and 3 P.M.; in winter at 10 A.M., and 2, P.M Sermon morning and evening",,,,﻿Essex County,﻿Salem,﻿Salem,﻿MA,﻿MA,42.52128369,-70.88989474,,,,﻿wil_wiley_901,﻿Rev.,﻿William Wiley,,,,,,,,1833,﻿https://salempl.org/wiki/index.php?title=Immaculate_Conception_Church ;  https://www.mqoa.org/,,﻿,﻿,Boston,Boston
﻿bos.ma.0154,﻿church,﻿St. Peter's Church,English,﻿The churches of Sandwich and New Bedford are alternately attended,,,,﻿Barnstable County,﻿Sandwich,﻿Sandwich,﻿MA,﻿MA,41.76140694,-70.49310983,,,,﻿pat_canavan_901,﻿Rev.,﻿Patrick Canavan,,,,,,,,1833,﻿https://www.fostasandwich.com/firstcatholicchurch,,﻿,﻿,Boston,Boston
﻿bos.ma.0170,﻿church,not recorded,English,,,,,﻿Bristol County,﻿Taunton,﻿Taunton,﻿MA,﻿MA,41.90730595,-71.09254201,,,,﻿joh_corry_901,﻿Rev.,﻿John Corry,,,,,,,,1833,﻿https://www.cntaunton.org/parish-history.html,,﻿,﻿,Boston,Boston
﻿bos.ma.0179,﻿church,not recorded,English,﻿Church not yet finished. Service occasionally.,,,,﻿Middlesex County,﻿Waltham,﻿Waltham,﻿MA,﻿MA,42.37844568,-71.23706222,,,,﻿#REF!,,,,,,,,,,1833,﻿https://www.stmarywaltham.org/parish-history,,﻿,﻿,Boston,Boston
﻿bos.ma.9000,﻿community,﻿Ursuline Community,English,,,,,﻿Suffolk County,﻿Charlestown,﻿Charlestown,﻿MA,﻿MA,42.38777424,-71.08335499,,,,﻿#REF!,,,,,,,,,,1833,"﻿This place no longer exists because it was burned down by a 1830s attack by Protestants: https://en.wikipedia.org/wiki/Ursuline_Convent_riots , https://historicipswich.net/2025/03/06/boston-irish-long-remembered-the-1834-charlestown-convent-fire/","﻿Reading, Writing, Grammar, Arithmetic, Georgraphy, History (ancient and modern), Orthography, plain and fancy needle-work, ornamental writing, prose and poetry composition, ancient and modern history, chronology, mythology, use of Globes, astronomy, rhetoric, logic, natural and moral philosophy, chemistry, arithmetic, geometry, botany, japanning, drawing, painting in oil colours and on velvet satin and wood mezzotinto and poonah, music",﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,﻿https://www.thebostonpilot.com/article.php?ID=181782,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
﻿bos.ma.0211,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35563841,-71.05389095,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,,,﻿,﻿,Boston,Boston
