instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.35606338,-71.05825821,,,,﻿ben_j_fenwick_901,﻿Rt Rev.,﻿Benedict Fenwick,﻿D. D.,,,,,,,1838,﻿https://bostoncathedral.com/history,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35606338,-71.05825821,,,,﻿wil_tyler_901,﻿Very Rev.,﻿Wm. Tyler,,,,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001,﻿cathedral,﻿Cathedral of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35606338,-71.05825821,,,,﻿mic_healy_901,﻿Very Rev.,﻿Michael Healy,,,,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0001_02,﻿chapel,﻿Chapel of the Holy Cross,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,42.35606338,-71.05825821,,,,﻿jam_conway_901,﻿Rev.,﻿James Conway,,,,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0002,﻿church,﻿St. Mary's Church,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,,,,,,﻿jam_mcdermott_001,﻿Rev.,﻿James McDermott,,,,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0002,﻿church,﻿St. Mary's Church,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,,,,,,﻿pat_obeirne_001,﻿Rev.,﻿Patrick O'Beirne,,,,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0003,﻿church,﻿St. Prtrick's Church,English,,,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,,,,,,,﻿tho_lynch_001,﻿Rev.,﻿Thomas Lynch,,,,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0012,﻿church,﻿St. Augustin's,English,,﻿South Boston,,,﻿Suffolk County,﻿Boston,﻿Boston,﻿MA,﻿MA,42.334167,-71.049444,,,,﻿joh_mahony_901,﻿Rev.,﻿John Mahoney,,,,,,,,1838,﻿https://en.wikipedia.org/wiki/Saint_Augustine_Chapel_and_Cemetery ; https://www.gateofheavenstbrigid.org/st-augustine-cemetery-chapel,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0055,﻿church,﻿St. Mary's,English,,,,,﻿Suffolk County,﻿Charlestown,﻿Charlestown,﻿MA,﻿MA,42.37391065,-71.06582063,,,,﻿pat_byrne_901,﻿Rev.,﻿Patrick Byrne,,,,,,,,1838,﻿https://en.wikipedia.org/wiki/St._Mary_%E2%80%93_St._Catherine_of_Siena_Parish,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0074,﻿church,not recorded,English,﻿church not dedicated,,,,﻿Bristol County,﻿Fall River,﻿Fall River,﻿MA,﻿MA,41.6989912,-71.1575452,,﻿attended occassionally by Rev. John Corry,﻿occasionally,﻿joh_corry_901,﻿Rev.,﻿John Corry,,,﻿Vacant,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0109,﻿church,﻿St. Patrick's,English,,,,,﻿Middlesex County,﻿Lowell,﻿Lowell,﻿MA,﻿MA,42.64521758,-71.31773031,,,,﻿edw_j_mccool_901,﻿Rev.,﻿Edward J. McCool,,,,,,,,1838,﻿https://www.stpatricklowell.org/our-history-2/,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0129,﻿church,not recorded,English,"﻿church not dedicated, This mission embraces Wareham",,,,﻿Bristol County,﻿New Bedford,﻿New Bedford,﻿MA,﻿MA,41.66459998,-70.92578734,,,,﻿joh_brady_901,﻿Rev.,﻿John Brady,,,,,,,,1838,﻿https://www.fallriverdiocese.org/about/about-history/ ; for st patrick : https://stpatrickswareham.org/about-us/history/,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0181,﻿mission,not recorded,English,,,,,,﻿Wareham,,﻿MA,,42.52128369,-70.88989474,﻿bos.ma.0129,﻿embraced by New Bedford,,,,,,,,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0152,﻿church,﻿St. Mary's,English,"﻿The missions attached to this church are Lynn, Glocester, and Ipswich",,,,﻿Essex County,﻿Salem,﻿Salem,﻿MA,﻿MA,41.75025,-70.50793,,,,﻿joh_d_brady_901,﻿Rev.,﻿John D. Brady,,,,,,,,1838,﻿https://salempl.org/wiki/index.php?title=Immaculate_Conception_Church ;  https://www.mqoa.org/,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0113,﻿mission,not recorded,English,,,,,,﻿Lynn,﻿Lynn,,﻿MA,,,﻿bos.ma.0152,﻿attached to St. Mary's,,,,,,,,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0113,﻿mission,not recorded,English,,,,,,﻿Glocester,﻿Gloucester,,﻿MA,,,﻿bos.ma.0152,﻿attached to St. Mary's,,,,,,,,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0099,﻿mission,not recorded,English,,,,,,﻿Ipswich,﻿Ipswich,,﻿MA,,,﻿bos.ma.0152,﻿attached to St. Mary's,,,,,,,,,,,,1838,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0154,﻿church,﻿St. Peter's,English,,,,,﻿Barnstable County,﻿Sandwich,﻿Sandwich,﻿MA,﻿MA,41.81925647,-71.41659419,,﻿attended occasionally by Rev. John D. Brady,﻿occasionally,﻿joh_d_brady_901,﻿Rev.,﻿John D. Brady,,,﻿Vacant,,,,,1838,﻿https://www.fostasandwich.com/firstcatholicchurch,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0170,﻿church,﻿St. Mary's,English,,,,,﻿Bristol County,﻿Taunton,﻿Taunton,﻿MA,﻿MA,41.88325633,-71.38365071,,,,﻿joh_corry_901,﻿Rev.,﻿John Corry,,,,,,,,1838,﻿https://www.cntaunton.org/parish-history.html,﻿,﻿,﻿Boston,Boston
﻿bos.ma.0179,﻿church,not recorded,English,"﻿church not dedicated, This mission comprises Watertown, Canton, and Randolph",,,,﻿Middlesex County,﻿Waltham,﻿Waltham,﻿MA,﻿MA,41.47280463,-71.29979908,,,﻿once a month,﻿jam_smyth_001,﻿Rev.,﻿James Smyth,,,,,,,,1838,﻿https://www.stmarywaltham.org/parish-history,﻿,﻿,﻿Boston,Boston
