instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿bur.vt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Burlington,,﻿VT,,44.475883,-73.212072,,,,﻿jer_m_cloarec_001,﻿Rev.,﻿Jerome M. Cloarec,,﻿Pastor,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Burlington,,﻿VT,,44.475883,-73.212072,,,,﻿den_a_ryan_001,﻿Rev.,﻿Denis A. Ryan,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,,,,,﻿Burlington,,﻿VT,,44.475883,-73.212072,,,,﻿pat_ocarroll_001,﻿Rev.,﻿P. O'Carroll,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0002,﻿church,﻿St. Joseph's,English,,,,,,﻿Burlington,,﻿VT,,44.483516,-73.214615,,,,﻿her_cardinal_001,﻿Rev.,﻿Hervé Cardinal,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0004,﻿church,not recorded,English,,,,,,﻿Albany,,﻿VT,,44.730941,-72.379808,﻿bur.vt.0050,﻿Attended from St. Johnsbury,,,,,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0008,﻿church,﻿St. Charles',English,,,,﻿Windham County,,﻿Bellows' Falls,,﻿VT,,43.136091,-72.449482,﻿bur.vt.0012,﻿Attended from Brattleboro,,,,,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0010,﻿church,﻿St. Francis of Sales,English,,,,﻿Bennington County,,﻿Bennington (East),,﻿VT,,42.878135,-73.196774,,,,﻿w_fitzgerald_002,﻿Rev.,﻿W. Fitzgerald,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0011,﻿church,﻿Our Lady of Good Help,English,,,,﻿Addison County,,﻿Brandon,,﻿VT,,43.794726,-73.082193,﻿bur.vt.0045,﻿Attended from East-Rutland,,,,,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0012,﻿church,﻿St. Michael's,English,,,,﻿Windham County,,﻿Brattleboro,,﻿VT,,42.856008,-72.558031,,,,﻿cha_oreilly_001,﻿Rev.,﻿Charles O'Reilly,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0014,﻿church,not recorded,English,,,,﻿Rutland County,,﻿Castleton,,﻿VT,,43.610622,-73.179832,﻿bur.vt.0047,﻿Attended from West-Rutland,,,,,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0015,﻿church,﻿Our Lady of Mount Carmel,English,,,,﻿Chittenden County,,﻿Charlotte,,﻿VT,,44.317348,-73.188774,﻿bur.vt.0001,﻿Attended from Burlington,,,,,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0070,﻿church,not recorded,English,,,,﻿Bennington County,,﻿Dorset,,﻿VT,,,,﻿bur.vt.0010,﻿Attended from East-Bennington,,,,,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0018,﻿church,not recorded,English,,,,﻿Lamoille County,,﻿Eden,,﻿VT,,44.707272,-72.545669,﻿bur.vt.0021,﻿Attended from Fairfield,,,,,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
﻿bur.vt.0020,﻿church,not recorded,English,,,,﻿Franklin County,,﻿Fairfax,,﻿VT,,44.665496,-73.01032,﻿bur.vt.0021,﻿Attended from Fairfield,,,,,,,,,,,,1865,﻿,﻿,﻿Burlington,Burlington
