instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ral.nc.0002,﻿church,not recorded,English,,,,,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,﻿NC,35.05259752,-78.87660777,,,,﻿joh_maginnis_901,﻿Rev.,﻿John Maginnis,,,,,,,,1833,﻿https://www.stpatnc.org/history,﻿,﻿,Charleston,Charleston
﻿ral.nc.0004,﻿church,not recorded,English,,,,,﻿Craven County,﻿Newbern,﻿New Bern,﻿NC,﻿NC,35.08457487,-77.0684293,,,,﻿pet_whelan_901,﻿Rev.,﻿Peter Whelan,,,,,,,,1833,"﻿While this church would not be built until 1840, the historical research others have done appears to make a clear connection between this early group of Catholics in 1833 and the formation of a congregation, then a church, in a few years. Because it is a precursor, I feel like it is worth giving it the ID: https://newbernhistorical.org/this-month-in-new-bern-history-january-2022/",﻿,﻿,Charleston,Charleston
﻿ral.nc.9000,﻿church,not recorded,English,,,,﻿Beaufort County,﻿Beaufort County,﻿Washington,﻿Washington,﻿NC,﻿NC,35.55017389,-77.05105976,,,﻿occasionally visited,﻿#REF!,,,,,,,,,,1833,﻿https://www.motherofmercync.com/about-us ; missing during the Civil War years because it was burned down,﻿,﻿,Charleston,Charleston
﻿ral.nc.0001,﻿church,not recorded,English,,,,,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,﻿NC,34.3182651,-77.7743338,,,﻿occasionally visited,﻿#REF!,,,,,,,,,,1833,﻿https://digital.lib.ecu.edu/17100,﻿,﻿,Charleston,Charleston
﻿cha.sc.0001,﻿church,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.77642653,-79.93453937,,,,﻿joh_england_901,﻿Right Rev.,﻿John England,﻿D. D.,,,,,,,1833,﻿https://en.wikipedia.org/wiki/Cathedral_of_Saint_John_and_Saint_Finbar ; https://charlestoncathedral.com/history/,﻿,﻿,Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,﻿Hassel street,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78189079,-79.93286629,,,,﻿#REF!,,,,,,,,,,1833,﻿https://www.sma.church/our-history.html,﻿,﻿,Charleston,Charleston
﻿cha.sc.0025,﻿church,not recorded,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,﻿SC,34.00550865,-81.03810855,,,,﻿jer_f_oneil_001,﻿Rev.,﻿J. F. O'Neill,,,,,,,,1833,﻿https://www.visitstpeters.org/our-history,﻿,﻿,Charleston,Charleston
﻿cha.sc.0070,﻿seminary,﻿Seminary of Charleston,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78424666,-79.93682791,,,,﻿joh_england_901,﻿Right Rev. Dr.,﻿England,,,,,,,,1833,﻿https://en.wikipedia.org/wiki/Charleston_Female_Seminary ; https://discovering.charleston.edu/files/show/107,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,﻿https://olmsisters.wpengine.com/our-history/,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77973012,-79.93818113,,,,﻿#REF!,,,,,,,,﻿under the Sisters of Mercy,,1833,,﻿,﻿,Charleston,Charleston
