instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0001,﻿cathedral,"﻿Cathedral Chapel, St. John the Baptist",English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.776496,-79.934468,,,,﻿p_n_lynch_001,﻿Rt. Rev.,﻿P. N. Lynch,﻿D.D.,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,"﻿Cathedral Chapel, St. John the Baptist",English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.776496,-79.934468,,,,﻿tim_bermingham_001,﻿Very Rev.,﻿T. Birmingham,﻿D.D.,﻿Vicar-General,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,"﻿Cathedral Chapel, St. John the Baptist",English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.776496,-79.934468,,,,﻿dan_j_quigley_001,﻿Rev.,﻿Daniel J. Quigley,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,﻿Hasell street,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7818,-79.932825,,,,﻿ric_s_baker_001,﻿Very Rev.,﻿R. S. Baker,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,﻿Hasell street,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7818,-79.932825,,,,﻿p_ryan_001,﻿Rev.,﻿P. Ryan,﻿D.D.,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,﻿Hasell street,,,,﻿Charleston,﻿Charleston,﻿SC,,32.7818,-79.932825,,,,﻿cla_b_northrop_001,﻿Rev.,﻿Claudian B. Northrop,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.788225,-79.940392,,,,﻿joh_moore_001,﻿Rev.,﻿John Moore,﻿D.D.,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.788225,-79.940392,,,,﻿joh_o_schachte_001,﻿Rev.,﻿John Schachte,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0004,﻿church,﻿St. Joseph's,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.784352,-79.946823,,,,﻿cha_j_croghan_001,﻿Rev.,﻿Charles J. Croghan,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0005,﻿church,﻿St. Paul's,﻿German,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.928229,-79.855916,,,,﻿fra_j_shadler_001,﻿Rev.,﻿Francis J. Shadler,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0006,﻿church,not recorded,﻿African,"﻿""African Church""",,,,,﻿Charleston,﻿Charleston,﻿SC,,32.81442,-80.048753,,,,﻿alo_folchi_001,﻿Rev.,﻿A. Folchi,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0043,﻿chapel,﻿Chapel Sisters of Mercy,English,,,,,,﻿Charleston,﻿Charleston,﻿SC,,32.79562193,-79.93511444,,,,,,﻿----- ------,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0023,﻿church,﻿St. Peter's,English,,,,,,﻿Beaufort,﻿Beaufort,﻿SC,,32.439429,-80.670543,,,,﻿j_p_oconnell_001,﻿Rev.,﻿Joseph P. O'Connell,﻿D.D.,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0024,﻿church,not recorded,English,,,,,,﻿Hilton Head,﻿Hilton Head,﻿SC,,32.22412,-80.713623,,,,﻿j_p_oconnell_001,﻿Rev.,﻿Joseph P. O'Connell,﻿D.D.,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,,﻿Columbia,﻿Columbia,﻿SC,,34.005607,-81.038007,,,,﻿j_j_oconnell_001,﻿Rev.,﻿Jeremiah J. O'Connell,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0035,﻿church,﻿St. Peter's,English,,,,,,﻿Cheraw,﻿Cheraw,﻿SC,,34.693371,-79.89188,,,,﻿joh_cullinane_001,﻿Rev.,﻿J. Cullinane,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0034,﻿church,not recorded,English,,,,,,﻿Sumter,﻿Sumter,﻿SC,,33.934609,-80.336688,,,,﻿aug_f_mcneal_001,﻿Rev.,﻿Augustin F. McNeal,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0021,﻿church,﻿St. Mary's,English,﻿name changes in 1870,,,,,﻿Edgefield,﻿Edgefield,﻿SC,,33.790431,-81.930357,,,,﻿wm_a_merriwether_001,﻿Rev.,﻿William A. Meriwether,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0022,﻿church,not recorded,English,,,,,,﻿Walterboro,﻿Walterboro,﻿SC,,32.90517,-80.666769,﻿cha.sc.0001,﻿Attended from Charleston,,,,,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0044,﻿church,﻿St. Andrew's,English,,,,,,﻿Barnwell,﻿Barnwell,﻿SC,,33.23984907,-81.35997588,﻿cha.sc.0001,﻿Attended from Charleston,,,,,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0007,﻿church,﻿St. John's,English,"﻿""and adjourning stations""",,,,,﻿Sullivan's Island,﻿Sullivan's Island,﻿SC,,32.760733,-79.858492,﻿cha.sc.0001,﻿Attended from Charleston,,,,,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0045,﻿church,not recorded,English,"﻿""and adjourning stations""",,,,,﻿Newberry,﻿Newberry,﻿SC,,34.27912665,-81.61912703,﻿cha.sc.0025,﻿Attended from Columbia,,,,,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0046,﻿church,not recorded,English,"﻿""and adjourning stations""",,,,,﻿Greenville,﻿Greenville,﻿SC,,34.85659376,-82.40193592,﻿cha.sc.0025,﻿Attended from Columbia,,,,,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0047,﻿church,not recorded,English,"﻿""and adjourning stations""",,,,,﻿Spartanburgh,﻿Spartanburgh,﻿SC,,34.94755781,-81.9350873,﻿cha.sc.0025,﻿Attended from Columbia,,,,,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New-Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.318265,-77.774334,,,,﻿jam_a_corcoran_001,﻿Very Rev.,﻿James A. Corcoran,﻿D.D.,﻿V.G.,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0001,﻿church,﻿St. Thomas',English,,,,﻿New-Hanover County,﻿New Hanover County,﻿Wilmington,﻿Wilmington,﻿NC,,34.318265,-77.774334,,,,﻿har_p_northrop_001,﻿Rev.,﻿H. P. Northrop,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0018,﻿church,﻿St. John the Baptist,English,,,,﻿Wake County,﻿Wake County,﻿Raleigh,﻿Raleigh,﻿NC,,35.590716,-78.600607,,,,﻿har_p_northrop_001,﻿Rev.,﻿H. P. Northrop,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0002,﻿church,﻿St. Patrick's,English,,,,﻿Cumberland County,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,,35.052367,-78.878377,,,,﻿har_p_northrop_001,﻿Rev.,﻿H. P. Northrop,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0009,﻿church,﻿St. Patrick's,English,,,,﻿Halifax County,﻿Halifax County,﻿Halifax,﻿Halifax,﻿NC,,36.328486,-77.58942,,,,﻿har_p_northrop_001,﻿Rev.,﻿H. P. Northrop,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0008,﻿church,﻿St. Patrick's,English,,,,﻿Combe County,﻿Edgecombe County,﻿Tarboro,﻿Tarboro,﻿NC,,35.896824,-77.535805,,,,﻿har_p_northrop_001,﻿Rev.,﻿H. P. Northrop,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0005,﻿church,﻿St. Patrick's,English,,,,﻿Chowan County,﻿Chowan County,﻿Edenton,﻿Edenton,﻿NC,,36.062787,-76.608034,,,,﻿har_p_northrop_001,﻿Rev.,﻿H. P. Northrop,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0004,﻿church,﻿St. Paul's,English,,,,﻿Craven County,﻿Craven County,﻿Newbern,﻿New Bern,﻿NC,,35.084562,-77.068022,,,,﻿har_p_northrop_001,﻿Rev.,﻿H. P. Northrop,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0011,﻿church,﻿St. Peter's,English,,,,﻿Mecklenburg County,﻿Mecklenburg County,﻿Charlotte,﻿Charlotte,﻿NC,,35.167851,-80.728246,,,,﻿law_p_oconnell_001,﻿Rev.,﻿Lawrence P. O'Connell,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0019,﻿church,﻿St. Joseph's,English,,,,﻿Gaston County,﻿Gaston County,,,﻿NC,,35.24554822,-81.1787702,,,,﻿law_p_oconnell_001,﻿Rev.,﻿Lawrence P. O'Connell,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0036,﻿church,not recorded,English,,"﻿New Providence, Bahama Islands",,,,﻿Nassau,﻿Nassau,,,25.055171,-77.352388,,,,﻿w_h_neligan_001,﻿Very Rev.,﻿W. H. Neligan,﻿V.G.,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0037,﻿convent,﻿Ursuline Convent and Academy of the Immaculate Conception,English,,﻿near Columbia SC,,,,﻿Valle Crucis,﻿Valle Crucis,﻿NC,,34.005267,-81.037633,,,,﻿wm_a_merriwether_001,﻿Rev.,﻿Wm. A. Merriwether,,,,,,,,1868,﻿,﻿,﻿Charleston,Charleston
