instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿chi.il.0001,﻿cathedral,﻿Cathedral of the Holy Name,English,﻿Residence at 148 Cass street,﻿Corner of N. State and Superior streets,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.89600177,-87.62763549,,,,﻿jos_p_roles_001,﻿Rev.,﻿Joseph P. Roles,,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0001,﻿cathedral,﻿Cathedral of the Holy Name,English,﻿Residence at 148 Cass street,﻿Corner of N. State and Superior streets,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.89600177,-87.62763549,,,,﻿and_oneil_001,﻿Rev.,﻿O'Neil,,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0001,﻿cathedral,﻿Cathedral of the Holy Name,English,﻿Residence at 148 Cass street,﻿Corner of N. State and Superior streets,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.89600177,-87.62763549,,,,﻿p_flanagan_001,﻿Rev.,﻿P. Flanagan,,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence, Bishop's house",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.8819264,-87.62655323,,,,﻿tho_halligan_001,﻿Rev.,﻿Thomas Halligan,,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence, Bishop's house",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.8819264,-87.62655323,,,,﻿p_butler_001,﻿Rev.,﻿Patrick T. Butler,,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0002,﻿church,﻿St. Mary's,English,"﻿Residence, Bishop's house",﻿Corner of Madison street and Wabash avenue,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.8819264,-87.62655323,,,,﻿j_fanning_001,﻿Rev.,﻿John Fanning,﻿B.D.,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0003,﻿church,﻿St. Patrick's,English,"﻿Residence, adjoining church","﻿Desplain street, corner of Adams",,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.87951815,-87.64453189,,,,﻿den_dunn_001,﻿Very Rev.,﻿Dennis Dunn,﻿D.D.,﻿V.G.,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0003,﻿church,﻿St. Patrick's,English,"﻿Residence, adjoining church","﻿Desplain street, corner of Adams",,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.87951815,-87.64453189,,,,﻿p_moloney_001,﻿Rev.,﻿P. Moloney,,﻿Ass. Pr.,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0003,﻿church,﻿St. Patrick's,English,"﻿Residence, adjoining church","﻿Desplain street, corner of Adams",,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.87951815,-87.64453189,,,,﻿s_barrett_001,﻿Rev.,﻿Stephen Barrett,,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0004,﻿church,﻿Church of the Holy Family,English,"﻿Residence, adjoining church",﻿Corner of Twelfth and May streets,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.86719614,-87.65472456,,,,﻿arn_damen_001,﻿Very Rev.,﻿Arnold Damen,﻿S.J.,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0004,﻿church,﻿Church of the Holy Family,English,"﻿Residence, adjoining church",﻿Corner of Twelfth and May streets,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.86719614,-87.65472456,,,,﻿c_f_smarius_001,﻿Rev.,﻿C. F. Smarius,﻿S.J.,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0004,﻿church,﻿Church of the Holy Family,English,"﻿Residence, adjoining church",﻿Corner of Twelfth and May streets,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.86719614,-87.65472456,,,,﻿j_van-goch_001,﻿Rev.,﻿J. Van Goch,﻿S.J.,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0004,﻿church,﻿Church of the Holy Family,English,"﻿Residence, adjoining church",﻿Corner of Twelfth and May streets,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.86719614,-87.65472456,,,,﻿dom_niederkorn_001,﻿Rev.,﻿Dom. Niederkorn,﻿S.J.,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
﻿chi.il.0004,﻿church,﻿Church of the Holy Family,English,"﻿Residence, adjoining church",﻿Corner of Twelfth and May streets,,,,﻿Chicago,﻿Chicago,﻿IL,,﻿41.86719614,-87.65472456,,,,﻿j_s_oneil_001,,﻿J. O'Neil,﻿S.J.,,,,,,,1868,﻿,﻿,﻿Chicago,Chicago
