instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,﻿39.103623,﻿-84.509143,,,,﻿joh_b_purcell_001,﻿Right Rev.,﻿John B. Purcell,﻿D.D.,,,,,,,1836,﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._Peter_in_Chains,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.103623,﻿-84.509143,,,,﻿s_h_montgomery_901,﻿Rev.,﻿S. H. Montgomery,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿39.103623,﻿-84.509143,,,,﻿edw_t_collins_901,﻿Rev.,﻿E. T. Collins,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,﻿#REF!,﻿#REF!,,,,﻿hen_d_juncker_001,﻿Rev.,﻿Henry D. Juncker,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿mat_wuertz_901,﻿Rev.,﻿Matthias Wurtz,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,,﻿Cincinnati,﻿Cincinnati,﻿OH,,﻿#REF!,﻿#REF!,,,,﻿joh_m_henni_001,﻿Rev.,﻿John M. Henni,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9009,﻿church,not recorded,English,,﻿Au-Glaize,,,,,,﻿OH,,,,,,,﻿j_w_hortsman_901,﻿Rev.,﻿J. W. Hortsman,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9021,﻿church,not recorded,English,,﻿Blanchard's River Settlement,,,,,,﻿OH,,,,,,,﻿j_w_hortsman_901,﻿Rev.,﻿J. W. Hortsman,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.9003,﻿church,not recorded,English,,,,,,﻿Beechland,,﻿OH,,,,,,,,,,,,﻿no resident clergyman at present,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.0038,﻿church,not recorded,English,,,,,,﻿Canton,,﻿OH,,﻿40.803291,﻿-81.377341,,,,,,,,,﻿no resident clergyman at present,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9016,﻿church,﻿St. Fidelis,English,,,,﻿Carroll County,,﻿Morges,,﻿OH,,,,,,,,,,,,﻿no resident clergyman at present,,,,,1836,﻿https://rosetownshipohio.com/wp-content/uploads/2019/03/Rose-Township-History.pdf,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.0001,﻿church,not recorded,English,﻿no Ch. yet erected,,,,,﻿Cleveland,,﻿OH,,,,,,,﻿joh_dillon_901,﻿Rev.,﻿John Dillon,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.9004,﻿church,not recorded,English,﻿Ch. not yet built,,,,,﻿Dayton,,﻿OH,,,,,,,﻿ema_thienpont_901,﻿Rev.,﻿Em. Thierpont,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9017,﻿church,not recorded,English,,,,﻿Darke County,,﻿Greenville,,﻿OH,,,,,,,﻿j_w_hortsman_901,﻿Rev.,﻿J. W. Hortsman,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0094,﻿church,not recorded,English,,,,﻿Butler County,﻿Butler County,﻿Hamilton,﻿Hamilton,﻿OH,﻿OH,﻿39.401817,﻿-84.560244,,﻿attended from Cincinnati,,,,,,,,,,,,1836,﻿https://en.wikipedia.org/wiki/St._Stephen_Church_and_Rectory,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0040,﻿church,﻿St. Mary's,English,,,,,﻿Fairfield County,﻿Lancaster,﻿Lancaster,﻿OH,﻿OH,﻿39.712793,﻿-82.598978,,,,﻿tho_martin_902,﻿Rev.,﻿Thomas Martin,,,,,,,,1836,﻿https://stmarylancaster.org/2018/our-parish/,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.9005,﻿church,not recorded,English,,,,﻿Crawford County,,﻿McKutchinsville,,﻿OH,,,,,,,﻿edm_quinn_901,﻿Rev.,﻿Ed. Quinn,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.0122,﻿church,not recorded,﻿German,"﻿Here are several Catholic stations, chiefly German.",,,﻿Huron County,﻿Huron County,﻿Norwalk,﻿Norwalk,﻿OH,﻿OH,﻿41.239444,﻿-82.62,,,,,,,,,,,,,,1836,"﻿https://en.wikipedia.org/wiki/St._Peter_Catholic_Church_(Norwalk,_Ohio)",,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.9000,﻿church,﻿St. Louis Bertrand,English,,,,﻿Perry County,﻿Perry County,﻿Rehoboth,﻿Rehoboth,﻿OH,﻿OH,﻿39.742956,﻿-82.191607,﻿col.oh.0066,﻿attended from St. Joseph's,,,,,,,,,,,,1836,﻿https://columbuscatholic.org/system/resources/W1siZiIsIjIwMjQvMDYvMDQvNmpxNXd4dW55Z19DUlNfMjAxMl8xMC5wZGYiXV0/CRS_2012_10.pdf,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0063,﻿church,﻿Trinity Church,English,,,,,﻿Perry County,﻿Somerset,﻿Somerset,﻿OH,﻿OH,﻿39.804422,﻿-82.296296,﻿col.oh.0066,﻿attended from St. Joseph's,,,,,,,,,,,,1836,﻿https://holytrinitycatholicparish.com/about-us,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.9001,﻿church,﻿St. Dominick,English,,,,﻿Guernsey County,,,,﻿OH,,﻿39.987843,﻿-81.181479,,,,﻿jam_reid_001,﻿Rev.,﻿J. Reid,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0064,﻿church,﻿St. Pius,English,,,,,﻿Jefferson County,﻿Steubenville,﻿Steubenville,﻿OH,﻿OH,﻿40.3654,﻿-80.612963,,,,﻿jam_v_conlan_001,﻿Rev.,﻿J. Conlan,,,,,,,,1836,﻿https://www.stpetersteub.com/history/,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.9000,﻿church,﻿St. Paul's,English,,,,,﻿Columbiana County,﻿New Lisbon,﻿Lisbon,﻿OH,﻿OH,﻿40.773562,﻿-80.772569,,,,﻿jam_v_conlan_001,﻿Rev.,﻿J. Conlan,,,,,,,,1836,"﻿hard to say where this church was exactly, but this site claims it was near the present day catholic church in the town: https://www.lisbonvillage.org/history",,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.9013,﻿church,not recorded,English,,,,,,﻿Sugar Creek,,﻿OH,,,,,,,,,,,,﻿No resident Clergyman,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9018,﻿church,﻿St. Martin's,English,,,,﻿Brown County,,,,﻿OH,,,,,﻿attended from Cincinnati,,,,,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.9005,﻿church,not recorded,English,,,﻿borders of Shelby and Mercer Counties,,,﻿Stallos-Town,,﻿OH,,,,,,,﻿j_w_hortsman_901,﻿Rev.,﻿J. W. Hortsman,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0066,﻿church,﻿St. Joseph's,English,,,,﻿Perry County,﻿Perry County,﻿Somerset,﻿Somerset,﻿OH,﻿OH,﻿39.777349,﻿-82.276733,,,,﻿nic_d_young_001,﻿Very Rev.,﻿N. D. Young,,,,,,,,1836,﻿https://stjosephsomerset.org/history,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.0066,﻿church,﻿St. Joseph's,English,,,,﻿Perry County,﻿Perry County,﻿Somerset,﻿Somerset,﻿OH,,﻿39.777349,﻿-82.276733,,,,﻿ant_d_fahy_901,﻿Rev.,﻿Anthony Fahy,,,,,,,,1836,,,,﻿,﻿,﻿Cincinnati,Cincinnati
