instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,39.103623,-84.509143,,,,﻿joh_b_purcell_001,﻿Right Rev.,﻿John B. Purcell,﻿D.D.,,,,,,,1838,﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._Peter_in_Chains,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.103623,-84.509143,,,,﻿ste_t_badin_901,﻿Very Rev.,﻿Stephen T. Badin,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.103623,-84.509143,,,,﻿edw_t_collins_901,﻿Rev.,﻿Edward J. Collins,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0001,﻿cathedral,﻿Cathedral of St. Peter,English,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.103623,-84.509143,,,,﻿fer_kühr_001,﻿Rev.,﻿Ferdinand Kühr,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,﻿OH,39.09989682,-84.52362173,,,,﻿joh_m_henni_001,﻿Rev.,﻿John M. Henni,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.0005,﻿church,﻿Holy Trinity,﻿German,,,,,﻿Hamilton County,﻿Cincinnati,﻿Cincinnati,﻿OH,,39.09989682,-84.52362173,,,,﻿mat_wuertz_901,﻿Rev.,﻿Matthias Wurtz,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cin.oh.9009,﻿church,not recorded,English,,﻿Au-Glaize and Blanchard's River Settlement,,,,,,﻿OH,,,,,,,﻿j_w_hortsman_901,﻿Rev.,﻿J. M. Horstman,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.9003,﻿church,﻿St. Louis,English,,,,,,﻿Beechland,,﻿OH,,,,,,,﻿f_d_hoffman_901,﻿Rev.,﻿F. de Sales Hoffman,﻿D. D.,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿col.oh.9003,﻿church,﻿St. Louis,English,,,,,,﻿Beechland,,﻿OH,,,,,,,﻿bas_a_shorb_001,﻿Rev.,﻿Basil Shorb,,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
﻿cle.oh.0038,﻿church,﻿St. John's,English,,,,,﻿Stark County,﻿Canton,,﻿OH,,40.803291,-81.377341,,,,﻿f_d_hoffman_901,﻿Rev.,﻿F. de Sales Hoffman,﻿D. D.,,,,,,,1838,,,,﻿,﻿,﻿Cincinnati,Cincinnati
