instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿col.oh.0001,﻿church,﻿St. Patrick's,English,,,,,,﻿Columbus,,﻿OH,,39.968885,-82.991711,,,,﻿s_h_rosecrans_001,﻿Rt. Ref.,﻿S. H. Rosecrans,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0001,﻿church,﻿St. Patrick's,English,,,,,,﻿Columbus,,﻿OH,,39.968885,-82.991711,,,,﻿fra_gonesse_001,﻿Rev.,﻿Francis Gonesse,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0001,﻿church,﻿St. Patrick's,English,,,,,,﻿Columbus,,﻿OH,,39.968885,-82.991711,,,,﻿p_j_daly_001,﻿Rev.,﻿P. J. Daly,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0001,﻿church,﻿St. Patrick's,English,,,,,,﻿Columbus,,﻿OH,,39.968885,-82.991711,,,,﻿g_h_ahrens_001,﻿Rev.,﻿G. H. Ahrens,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0002,﻿church,﻿Holy Cross,﻿German,,,,,,﻿Columbus,,﻿OH,,39.958679,-82.993266,,,,﻿j_b_hemsteger_001,﻿Very Rev.,﻿J. B. Hemsteger,﻿V.G.,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0002,﻿church,﻿Holy Cross,﻿German,,,,,,﻿Columbus,,﻿OH,,39.958679,-82.993266,,,,,,﻿—,,﻿Assistant,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0003,﻿church,﻿St. Mary's,﻿German,,,,,,﻿Columbus,,﻿OH,,39.948684,-82.994742,,,,﻿f_x_specht_001,﻿Rev.,﻿F. X. Specht,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0089_02,﻿chapel,﻿Chapel of St. Francis' Hospital,English,,,,,,﻿Columbus,,﻿OH,,39.961176,-82.998794,,,,﻿b_hillebrand_001,﻿Rev.,﻿B. Hillebrand,,﻿Chaplain,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0088_02,﻿chapel,﻿Chapel at the Convent of the Good Shepard,English,,,,,,﻿Columbus,,﻿OH,,39.961176,-82.998794,﻿col.oh.0001,﻿Attended from St. Patrick's,,,,,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0087_02,﻿chapel,﻿Chapel at the Academy of St. Mary's of the Springs,English,,,,,,﻿Columbus,,﻿OH,,39.961176,-82.998794,,,,﻿o_m_clarkson_001,﻿Rev.,﻿O. M. Clarkson,﻿O.P.,﻿Chaplain,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0007,﻿chapel,﻿Chapel of the Sisters of Notre Dame,English,,,,,,﻿Columbus,,﻿OH,,39.961176,-82.998794,﻿col.oh.0002,﻿Attended from Holy Cross,,,﻿Sister,﻿Mary Ligouri,,﻿Superior of the sisters of Notre Dame,,﻿religious,﻿9 sisters,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0008,﻿settlement,not recorded,English,,﻿Archres Settlement,,﻿Munroe County,,,,﻿OH,,39.76785,-81.400674,﻿col.oh.0028,﻿Attended from Enoch,,,,,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0009,﻿church,not recorded,English,,,,﻿Athens County,,﻿Athens,,﻿OH,,39.32924,-82.101255,,,,﻿j_e_mcswiny_001,﻿Rev.,﻿J. E. McSwiny,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0011,﻿church,﻿St. John's,English,,,,﻿Belmont County,,﻿Belair,,﻿OH,,40.016184,-80.742305,,﻿Attended by Rev. J. M. Jacquet,,﻿j_m_jacquet_001,﻿Rev.,﻿J. M. Jacquet,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0012,﻿church,﻿St. Martin's,English,,,,﻿Tuscarawas County,,﻿Bolivar,,﻿OH,,40.397897,-81.427898,,﻿Attended from Canal Dover,,,,,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0013,﻿church,﻿Church of the Sacred Heart,English,,,,﻿Fairfield County,,﻿Bremen,,﻿OH,,39.701733,-82.426822,,,,﻿j_w_brummer_001,﻿Rev.,﻿J. W. Brummer,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0015,﻿church,﻿St. Joseph's,English,,,,﻿Tuscarawas County,,﻿Canal Dover,,﻿OH,,40.523695,-81.483313,,,,﻿b_wismann_001,﻿Rev.,﻿B. Wismann,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0016,﻿church,﻿St. Francis',English,,,,﻿Perry County,,﻿Chapel Hill,,﻿OH,,39.764135,-82.25833,,,,﻿jos_n_brogard_001,﻿Rev.,﻿Joseph N. Brogard,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0017,﻿church,not recorded,English,﻿Church being built,,,﻿Morrow County,,﻿Cardington,,﻿OH,,40.500616,-82.893515,,﻿Attended from Delaware,,,,,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0018,﻿church,﻿Seven Dolors,English,,,,﻿Athens County,,﻿Chauncey,,﻿OH,,39.397849,-82.129312,,﻿Attended from Logan,,,,,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0019,﻿church,﻿St. Joseph's,English,,,,﻿Pickaway County,,﻿Circleville,,﻿OH,,39.600471,-82.947452,,,,﻿c_l_pindar_001,﻿Rev.,﻿C. L. Pindar,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0020,﻿church,not recorded,English,,﻿Dominico,,﻿Perry County,,﻿Clayton,,﻿OH,,39.764135,-82.25833,,,,﻿lev_adams_001,﻿Rev.,﻿Lev. Adams,﻿O.P.,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
﻿col.oh.0021,﻿church,﻿St. George's,English,,,,﻿Coshocton County,,﻿Coshocton,,﻿OH,,40.273582,-81.953481,,,,﻿j_g_nordmeier_001,﻿Rev.,﻿J. G. Nordmeier,,,,,,,,1869,﻿,﻿,﻿Columbus,Columbus
