instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,,,,,,﻿Dubuque,﻿Dubuque,﻿IA,,42.495195,-90.666832,,,,﻿cle_smyth_001,﻿Rt. Rev.,﻿Clement Smyth,﻿D.D.,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,,,,,,﻿Dubuque,﻿Dubuque,﻿IA,,42.495195,-90.666832,,,,﻿mau_flavin_001,﻿Rev.,﻿M. Flavin,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0001,﻿cathedral,﻿St. Raphael's,English,,,,,,﻿Dubuque,﻿Dubuque,﻿IA,,42.495195,-90.666832,,,,﻿dan_molony_001,﻿Rev.,﻿Daniel Molony,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0002,﻿church,﻿St. Patrick's,English,,,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.506691,-90.669298,,,,﻿fra_walsh_001,﻿Rev.,﻿Francis Walsh,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0003,﻿church,﻿Holy Trinity,﻿German,,,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.50768,-90.667007,,,,﻿joh_fendricks_001,﻿Rev.,﻿John Fendrick,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0003,﻿church,﻿Holy Trinity,﻿German,,,,,,﻿Dubuque City,﻿Dubuque,﻿IA,,42.50768,-90.667007,,,,﻿a_cortenkamp_001,﻿Rev.,﻿A. Cortenkamp,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0004,﻿church,﻿St. Joseph's Church,English,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.583198,-90.88363,,,,﻿t_j_donaghoe_001,﻿Very Rev.,﻿T. J. Donaghoe,,﻿V.G.,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0005,﻿church,﻿St. Catherine's,English,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.405909,-90.591945,﻿dub.ia.0006,﻿attended from St. Donatus,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0006,﻿church,﻿St. Donatus',﻿German,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.360843,-90.539295,,,,﻿mic_flammang_001,﻿Rev.,﻿Michael Flammang,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0237,﻿church,﻿St. Theresa's,English,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.49755,-90.693358,,,,﻿den_brennan_001,﻿Rev.,﻿Denis Brennan,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0262,﻿church,﻿St. Joseph Calasanctius',English,,,,﻿Dubuque County,﻿Dubuque County,,,﻿IA,,42.4793918,-90.70523288,﻿dub.ia.0001,﻿attended from Dubuque,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0269,﻿church,﻿St. Williams,English,,,,,﻿Dubuque County,,,﻿IA,,42.51840507,-90.79333875,,,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0263,﻿church,﻿St. Eugenie,English,,,,﻿Dallas County,﻿Dallas County,﻿Adel,﻿Adel,﻿IA,,41.6156865,-94.01713603,﻿dub.ia.0048,﻿attended from Des Moines,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0270,﻿church,﻿St. Agatha,English,,,,﻿Monoe County,﻿Monoe County,﻿Albia,﻿Albia,﻿IA,,41.02788758,-92.8113166,,,,﻿tim_clifford_001,﻿Rev.,﻿T. Clifford,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0238,﻿church,﻿St. Louis,English,,,,﻿Des Moines County,﻿Des Moines County,﻿Augusta,﻿Augusta,﻿IA,,40.756322,-91.2761,﻿dub.ia.0012,﻿attended from Burlington,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0067,﻿church,not recorded,English,,,,﻿Dubuque County,﻿Dubuque County,﻿Banxton Settlement,﻿Bankston,﻿IA,,42.518622,-90.961902,,,,﻿and_bennett_001,﻿Rev.,﻿A.Bennett,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0009,﻿church,﻿St. Andrew,English,,,,﻿Jackson County,﻿Jackson County,﻿Belleview,﻿Bellevue,﻿IA,,42.259488,-90.428288,,,,﻿dev_brennan_001,﻿Rev.,﻿D. Brennan,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0012,﻿church,﻿St. Paul's,English,,,,﻿Des Moines County,﻿Des Moines County,﻿Burlington,﻿Burlington,﻿IA,,40.812059,-91.103049,,,,﻿jam_b_donelan_001,﻿Rev.,﻿James B. Donelan,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0013,﻿church,﻿German Church,﻿German,,,,﻿Des Moines County,﻿Des Moines County,﻿Burlington,﻿Burlington,﻿IA,,40.811914,-91.10664,,,,﻿ber_herderer_001,﻿Rev.,﻿Bernard Herderer,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0016,﻿church,﻿St. Martin's,English,,,,﻿Dubuque County,﻿Dubuque County,﻿Cascade,﻿Cascade,﻿IA,,42.299374,-91.018442,,,,﻿jam_cunningham_001,﻿Rev.,﻿James Cunningham,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0192,﻿church,﻿St. Aloysius,English,,,,﻿Delaware County,﻿Jones County,﻿Castle Grove,﻿Castle Grove,﻿IA,,42.261791,-91.316324,﻿dub.ia.0016,﻿attended from Cascade,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0019,﻿church,﻿St. Helena,English,,,,﻿Black Hawk County,﻿Black Hawk County,﻿Cedar Falls,﻿Cedar Falls,﻿IA,,42.532807,-92.447204,,,,﻿joh_shields_001,﻿Rev.,﻿John Shields,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0193,﻿church,﻿St. Francis de Sales,English,,,,﻿Clinton County,﻿Dickinson County,﻿Centre Grove,﻿Center Grove,﻿IA,,42.491681,-90.715877,﻿dub.ia.0053,﻿attended from De Witt,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0025,﻿church,not recorded,English,,,,﻿Linn County,,﻿Cedar Rapids,﻿Cedar Rapids,﻿IA,,41.966214,-91.727935,,,,﻿ber_cannon_001,﻿Rev.,﻿Herman Uhlenbrook,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0271,﻿church,﻿St. Anne,English,,,,﻿Lucas County,,﻿Chariton,,﻿IA,,41.02029938,-93.31412063,,,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0135,﻿church,﻿St. Pius,English,,,,﻿Alamakee County,﻿Allamakee County,﻿Cherry Mount,,﻿IA,,43.167243,-91.280461,﻿dub.ia.0105,﻿attended from McGregor,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0194,﻿church,﻿St. Lambert's,English,,,,﻿Warren County,﻿Warren County,﻿Churchville,﻿Churchville,﻿IA,,41.397428,-93.751398,﻿dub.ia.0088,﻿attended from Iowa City,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0071,﻿church,not recorded,English,,,,﻿Delaware County,﻿Delaware County,﻿Colesburgh,﻿Colesburg,﻿IA,,42.637297,-91.203734,﻿dub.ia.0069,﻿attended from Holy Cross,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0039,﻿church,not recorded,English,,,,﻿Potawatamie County,,﻿Council Bluffs,﻿Council Bluffs,﻿IA,,41.258149,-95.850746,﻿oma.ne.0040,"﻿attended from St. John's, Nebraska",,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0041,﻿church,﻿St. Anthony's,English,,,,﻿Scott County,﻿Scott County,﻿Davenport,﻿Davenport,﻿IA,,41.524,-90.575291,,,,﻿a_m_pelamourgues_001,﻿Rev.,﻿A. M. Pelamourgues,﻿V.G.,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0043,﻿church,﻿St. Margaret's,English,,,,﻿Scott County,﻿Scott County,﻿Davenport,﻿Davenport,﻿IA,,41.530199,-90.569048,,,,,﻿Rev.,﻿A. Trevis,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0043,﻿church,﻿St. Margaret's,English,,,,﻿Scott County,﻿Scott County,﻿Davenport,﻿Davenport,﻿IA,,41.530199,-90.569048,,,,﻿h_cosgrove_001,﻿Rev.,﻿H. Cosgrove,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0044,﻿church,﻿St. Germanus,﻿German,,,,﻿Scott County,﻿Scott County,﻿Davenport,﻿Davenport,﻿IA,,41.525835,-90.590532,,,,﻿ant_nierman_001,﻿Rev.,﻿Anthony Nierman,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0046,﻿church,﻿St. Benedict's,English,,,,﻿Winneshiek County,﻿Winneshiek County,﻿Decorah,﻿Decorah,﻿IA,,43.302482,-91.780002,,,,﻿cle_lowry_001,﻿Rev.,﻿Clement Lowry,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0196,﻿church,﻿St. Mathew's,English,,,,﻿Des Moines County,﻿Des Moines County,﻿Dodgeville,﻿Dodgeville,﻿IA,,40.944386,-91.180833,﻿dub.ia.0012,﻿attended from Burlington,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0053,﻿church,﻿St. Simon's,English,,,,﻿Clinton County,﻿Clinton County,﻿De Witt,﻿DeWitt,﻿IA,,41.823995,-90.538966,,,,﻿jam_scallon_001,﻿Rev.,﻿James Scallon,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0055,﻿church,not recorded,English,,,,﻿Dubuque County,﻿Dubuque County,﻿Dyersville,﻿Dyersville,﻿IA,,42.484093,-91.126176,﻿dub.ia.0111,﻿attended from New Vienna,,,,,﻿Jr.,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0118,﻿station,﻿St. Gregory,English,,,,﻿Wapello County,﻿Mahaska County,﻿Eddyville,﻿Eddyville,﻿IA,,41.160565,-92.631303,﻿dub.ia.0119,﻿attended from Ottumwa,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0057,﻿church,﻿Nativity of the B.V.M.,English,,,,﻿Clayton County,﻿Clayton County,﻿El Kader,﻿Elkader,﻿IA,,42.851498,-91.403721,,,,﻿mic_o_beirne_001,﻿Rev.,﻿Michael O' Beirne,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0272,﻿church,﻿St. Frederick's,English,,﻿Erin,,﻿Buchanan County,﻿Buchanan County,,,﻿IA,,42.52186522,-91.81641186,﻿dub.ia.0085,﻿attended from Independence,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0240,﻿church,﻿St. Elizabeth,English,,,,﻿Jefferson County,﻿Jefferson County,﻿Fairfield,﻿Fairfield,﻿IA,,41.009504,-91.966081,﻿dub.ia.0119,﻿attended from Ottumwa,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0241,﻿church,﻿St. Cavan,English,,,,﻿Alamakee County,﻿Alamakee County,﻿Ferns,,﻿IA,,43.274301,-91.136473,﻿dub.ia.0134,﻿attended from Wexford,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0242,﻿church,﻿St. Clement's,English,,,,﻿Winnesheik County,﻿Winnesheik County,﻿Fort Atkinson,﻿Fort Atkinson,﻿IA,,43.14332,-91.93259,﻿dub.ia.0113,﻿attended from Old Indian Mission,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0048,﻿church,﻿St. Ambrose,English,,,,﻿Polk County,﻿Polk County,﻿Fort Desmoines,﻿Des Moines,﻿IA,,41.588815,-93.625884,,,,﻿joh_brazill_001,﻿Very Rev.,﻿John Brazil,,﻿V.G.,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0243,﻿church,﻿St. Joseph's,﻿German,,,,﻿Lee County,﻿Lee County,﻿Fort Madison,﻿Fort Madison,﻿IA,,40.6319,-91.316453,,,,﻿h_hattenbergher_001,﻿Rev.,﻿A. Hattenberger,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0243,﻿church,﻿St. Joseph's,﻿German,,,,﻿Lee County,﻿Lee County,﻿Fort Madison,﻿Fort Madison,﻿IA,,40.6319,-91.316453,,,,,﻿Rev.,﻿---- Michels,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0244,﻿church,﻿Corpus Christi,English,,,,﻿Webster County,﻿Webster County,﻿Fort Dodge,﻿Fort Dodge,﻿IA,,42.500293,-94.173002,,,,﻿joh_marsh_001,﻿Rev.,﻿John Marsh,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0245,﻿church,﻿St. Bridget's,English,,,,﻿Clayton County,﻿Clayton County,﻿Garnovilla,﻿Garnavillo,﻿IA,,42.868822,-91.237409,﻿dub.ia.0057,﻿attended from Elkader,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0068,﻿church,﻿St. Patrick's,English,,,,﻿Jackson County,﻿Jackson County,﻿Garryowen,﻿Garry Owen,﻿IA,,42.284671,-90.846469,,,,﻿mic_kinsella_001,﻿Rev.,﻿Michael Kinsella,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0199,﻿station,not recorded,English,,,,﻿Black Hawk County,﻿Black Hawk County,﻿Gilbertsville,﻿Gilbertsville,﻿IA,,42.41617,-92.214768,﻿dub.ia.0019,﻿attended from Cedar Falls,,,,,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0069,﻿church,﻿Holy Cross,English,,,,﻿Dubuque County,﻿Dubuque County,﻿Glassnevin,﻿Holy Cross,﻿IA,,42.601085,-90.997088,,,,,﻿Rev.,﻿Michael Lynch,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0072,﻿church,not recorded,English,,,,﻿Monroe County,﻿Monroe County,﻿Georgetown,﻿Georgetown,﻿IA,,41.013811,-92.955685,,,,﻿tim_clifford_001,﻿Rev.,﻿Timothy Clifford,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0084,﻿church,﻿St. Bridget's,﻿German,,,,﻿Clayton County,﻿Clayton County,﻿Guttenberg,﻿Guttenberg,﻿IA,,42.78999,-91.102907,,,,﻿con_schultz_001,﻿Rev.,﻿Conrad Schulte,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
﻿dub.ia.0085,﻿church,﻿Holy Name,English,,,,﻿Buchanan County,﻿Buchanan County,﻿Independence,﻿Independence,﻿IA,,42.470063,-91.890097,,,,﻿joh_gosker_001,﻿Rev.,﻿John Gosker,,,,,,,,1864,﻿,﻿,﻿Dubuque,Dubuque
