instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,,﻿Fourth street,,﻿Erie County,,﻿Erie city,﻿Erie,﻿PA,,,,,,,,﻿The Bishop,,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001,﻿cathedral,﻿St. Patrick's,English,,﻿Fourth street,,﻿Erie County,,﻿Erie city,﻿Erie,﻿PA,,,,,,,﻿joh_d_coady_001,﻿Very Rev.,﻿John D. Coady,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿9th street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,,,,,,﻿cas_seitz_001,﻿Rev.,﻿Casimir Seitz,﻿O.S.B.,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿9th street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,,,,,,﻿mei_jeggle_001,﻿Rev.,﻿Meinrad Jeggle,﻿O.S.B.,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0002,﻿church,﻿St. Mary's,English,,﻿9th street,,﻿Erie County,,﻿Erie,﻿Erie,﻿PA,,,,,,,﻿erh_vanino_002,﻿Rev.,﻿Erhard Vanino,﻿O.S.B.,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0046,﻿church,﻿St. Francis,English,,"﻿Erie, P. O.",,﻿Erie County,,﻿McKean Township,﻿McKean,﻿PA,,,,,,,﻿f_j_oberhofer_001,﻿Rev.,﻿F. J. Oberhofer,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0010,﻿church,﻿St. Boniface,English,,"﻿Erie, P. O.",,﻿Erie County,,﻿Green Township,,﻿PA,,42.0666555,-79.9704256,,,,﻿f_j_oberhofer_001,﻿Rev.,﻿F. J. Oberhofer,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0036,﻿church,﻿St. John's,English,,,,﻿Erie County,,﻿Girard Village,﻿Girard,﻿PA,,,,,﻿attended from Erie,﻿3d Sunday,,,,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0020,﻿church,﻿St. Thomas,English,,,,﻿Erie County,,﻿Corry,﻿Corry,﻿PA,,,,﻿erie.pa.0080,"﻿Rev. Thomas Lonergan, of Warren, Warren Co.",,,,,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0132,﻿church,﻿St. Bridget's,English,,,,﻿Erie County,,﻿Union Mills,,﻿PA,,,,﻿erie.pa.0080,"﻿Rev. Thomas Lonergan, of Warren, Warren Co.",,﻿tho_lonnergan_001,﻿Rev.,﻿T. Lonergan,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0048,﻿church,﻿St. Agatha's,﻿German,,,,﻿Crawford County,,﻿Meadville,﻿Meadville,﻿PA,,,,,,,﻿a_reck_002,﻿Rev.,﻿A. Reek,,,,,,,,1864,﻿,﻿,﻿Erie,Erie
