instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075714,-85.138157,,,,﻿joh_h_luers_001,﻿Rt. Rev.,﻿John H. Luers,﻿D.D.,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075714,-85.138157,,,,﻿jul_benoit_001,﻿Very Rev.,﻿Julian Benoit,,"﻿Pastor, V.G.",,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.075714,-85.138157,,,,,﻿Rev.,﻿P.J. Madden,﻿D.D.,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0002,﻿church,﻿Mother of God,﻿German,,,,﻿Allen County,﻿Allen County,﻿Fort Wayne,﻿Fort Wayne,﻿IN,,41.079273,-85.139351,,,,﻿jos_weutz_001,﻿Rev.,﻿Joseph Weutz,,﻿Pastor,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0005,﻿church,not recorded,English,﻿church building,,,﻿Allen County,﻿Allen County,﻿Arcola,﻿Arcola,﻿IN,,41.103659,-85.294141,﻿for.in.0001,﻿Attended from Fort Wayne,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0006,﻿church,﻿St. Francis',English,,,,﻿Fountain County,﻿Fountain County,﻿Attica,﻿Attica,﻿IN,,40.294204,-87.248899,,,,﻿jos_rademacher_001,﻿Rev.,﻿Joseph Rademacher,,﻿Pastor,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0007,﻿church,﻿St. Mary's,English,,,,﻿Noble County,﻿Noble County,﻿Avilla,﻿Avilla,﻿IN,,41.365882,-85.238863,,,,﻿joh_wemhoff_001,﻿Rev.,﻿John Wernhoff,,﻿Pastor,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0009,﻿church,﻿St. Mary's,English,,,,﻿Madison County,﻿Madison County,﻿Anderson,﻿Anderson,﻿IN,,40.10532,-85.680254,,,,﻿joh_mcmahon_001,﻿Rev.,﻿John McMahon,,﻿Pastor,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0010,﻿church,﻿St. Aloysius',English,,,,﻿Allen County,﻿Allen County,﻿Besançon,﻿New Haven,﻿IN,,41.070604,-85.014412,,,,﻿lou_grevin_001,﻿Rev.,﻿Louis Grevin,,﻿Pastor,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0013,﻿church,not recorded,English,,,,﻿White County,﻿White County,﻿Brookston,﻿Brookston,﻿IN,,40.602814,-86.867234,﻿for.in.0030,﻿attended from Crawfordsville,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0014,﻿church,not recorded,English,,,,﻿Wells County,﻿Wells County,﻿Blufton,﻿Bluffton,﻿IN,,40.738658,-85.171637,﻿for.in.0034,﻿atteneded from Decatur,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0185,﻿church,not recorded,English,,,,﻿Noble County,﻿Noble County,﻿Blue River,﻿Blue River,﻿IN,,,,﻿for.in.0007,﻿attended from Avilla,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0016,﻿church,not recorded,English,,,,﻿Marshall County,﻿Marshall County,﻿Bourbon,﻿Bourbon,﻿IN,,41.2956,-86.116389,﻿for.in.0111,﻿attended from Plymouth,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0017,﻿church,not recorded,English,,,,﻿Elkhart County,﻿Elkhart County,﻿Bristol,﻿Bristol,﻿IN,,41.716739,-85.817372,﻿for.in.0045,﻿attended from Goshen,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0020,﻿church,﻿St. Patrick's,English,,,,﻿Porter County,﻿Porter County,﻿Calumet,﻿Chesterton,﻿IN,,41.567713,-87.023684,﻿for.in.0069,﻿attended from Laporte,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0186,﻿church,not recorded,English,,,,﻿Lake County,﻿Lake County,﻿Calumet Station,﻿Calumet Station,﻿IN,,,,﻿for.in.0139,﻿attended from Turkey Creek,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0021,﻿church,not recorded,English,,,,﻿Jay County,﻿Jay County,﻿Camden,﻿Pennville,﻿IN,,40.493934,-85.148304,﻿for.in.0034,﻿attended from Decatur,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0022,﻿church,not recorded,English,,,,﻿St. Joseph's County,﻿St. Joseph's County,﻿Carlisle,﻿Carlisle,﻿IN,,38.962951,-87.399738,﻿for.in.0069,﻿attended from Laporte,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0023,﻿church,﻿St. Mary's,English,,,,﻿Whitley County,﻿Whitley County,﻿Columbia City,﻿Columbia City,﻿IN,,41.151888,-85.48549,﻿for.in.0103,﻿attended from New Haven,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0187,﻿church,not recorded,English,,,,﻿Newton County,﻿Newton County,﻿Carpenter's Station,﻿Carpenter's Station,﻿IN,,,,﻿for.in.0081,﻿attended from Logansport,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0188,﻿church,not recorded,English,,,,﻿Hamilton County,﻿Hamilton County,﻿Cicero,﻿Cicero,﻿IN,,,,﻿for.in.0109,﻿attended from Peru,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0189,﻿church,not recorded,English,,,,﻿White County,﻿White County,﻿Chalmers,﻿Chalmers,﻿IN,,,,﻿for.in.0030,﻿attended from Crawfordsville,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0031,﻿church,not recorded,English,,,,﻿Lake County,﻿Lake County,﻿Crown Point,﻿Crown Point,﻿IN,,41.416981,-87.365313,﻿for.in.0139,﻿attended from Turkey Creek,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0028,﻿church,not recorded,English,﻿church building,,,﻿Fountain County,﻿Fountain County,﻿Covington,﻿Covington,﻿IN,,40.141705,-87.394736,﻿for.in.0006,﻿attended from Attica,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0029,﻿church,not recorded,English,,,,﻿Lake County,﻿Lake County,﻿Cedar Lake,﻿Cedar Lake,﻿IN,,41.364758,-87.441147,﻿for.in.0150,﻿attended from West-Creek,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0030,﻿church,﻿St. Bernard's,English,,,,﻿Montgomery County,﻿Montgomery County,﻿Crawfordsville,﻿Crawfordsville,﻿IN,,40.041154,-86.874452,,,,﻿cha_maugin_001,﻿Rev.,﻿Charles Maugin,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0034,﻿church,﻿St. Mary's,English,﻿vacant,,,﻿Adams County,﻿Adams County,﻿Decatur,﻿Decatur,﻿IN,,40.830603,-84.929133,,,,﻿jul_becks_001,﻿Rev.,﻿Julius Becks,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0035,﻿church,﻿St. Joseph's,English,,,,﻿Carroll County,﻿Carroll County,﻿Delphi,﻿Delphi,﻿IN,,40.587537,-86.675006,,,,﻿aug_oechtering_001,﻿Rev.,﻿August Oechtering,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0037,﻿church,not recorded,English,,,,﻿Elkhart County,﻿Elkhart County,﻿Elkhart,﻿Elkhart,﻿IN,,41.67789,-85.965179,﻿for.in.0085,﻿attended from Mishawaka,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0039,﻿church,not recorded,English,,,,﻿Clinton County,﻿Clinton County,﻿Frankfort,﻿Frankfort,﻿IN,,40.279481,-86.510835,﻿for.in.0035,﻿attended from Delphi,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
﻿for.in.0041,﻿church,not recorded,English,﻿church building,,,﻿White County,,﻿Francisville,﻿Francesville,﻿IN,,40.985317,-86.879461,﻿for.in.0086,﻿attended from Michigan City,,,,,,,,,,,,1864,﻿,﻿,﻿Fort Wayne,FortWayne
