instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lit.ar.0001,﻿cathedral,﻿St. Andrew's Cathedral,English,,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,34.747599,-92.272597,,,,﻿p_reilly_001,﻿Very Rev.,﻿Patrick Reilly,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0001,﻿cathedral,﻿St. Andrew's Cathedral,English,,,,,﻿Pulaski County,﻿Little Rock,﻿Little Rock,﻿AR,,34.747599,-92.272597,,,,﻿fra_laughran_001,﻿Rev.,﻿Francis Laughran,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0001_02,﻿convent,﻿Convent of Mercy,English,﻿St. Andrew's Cathedral,,,,,,,,,34.747599,-92.272597,,,,﻿p_reilly_001,﻿Very Rev.,﻿Patrick Reilly,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0046,﻿church,not recorded,English,,﻿seven miles from Little Rock,,,,﻿Irish Settlement,,,,34.78315884,-92.16092955,﻿lit.ar.0001,﻿attended from the Cathedral,,,,,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0008,﻿church,not recorded,English,,,,,﻿Garland County,﻿Hot Spring,﻿Hot Springs,﻿AR,,34.507762,-93.0546,﻿lit.ar.0001,﻿attended from Little Rock,,,,,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0006,﻿church,not recorded,English,,,,,﻿Prairie County,﻿Duvall's Bluff,﻿DeValls Bluff,﻿AR,,34.785122,-91.458386,﻿lit.ar.0001,﻿attended from Little Rock,,,,,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0015,﻿church,not recorded,English,,,,,﻿Sebastian County,﻿Fort Smith,﻿Fort Smith,﻿AR,,35.384372,-94.420965,,,,﻿law_smyth_001,﻿Rev.,﻿Lawrence Smyth,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0015_02,﻿convent,﻿Convent of Mercy,English,,,,,﻿Sebastian County,﻿Fort Smith,﻿Fort Smith,﻿AR,,35.384372,-94.420965,,,,﻿law_smyth_001,﻿Rev.,﻿Lawrence Smyth,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0019,﻿church,not recorded,English,"﻿Van Buren, Fayetteville, and other missions on the western border of the diocese, attended from Fort Smith.",,,,﻿Crawford County,﻿Van Buren,﻿Van Buren,﻿AR,,35.458906,-94.356558,﻿lit.ar.0015,﻿attended from Fort Smith,,,,,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0016,﻿church,not recorded,English,"﻿Van Buren, Fayetteville, and other missions on the western border of the diocese, attended from Fort Smith.",,,,﻿Washington County,﻿Fayetteville,﻿Fayetteville,﻿AR,,36.062658,-94.160584,﻿lit.ar.0015,﻿attended from Fort Smith,,,,,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0020,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿New Gascony,﻿New Gascony,﻿AR,,34.226487,-91.77652,,,,﻿pat_mcgowan_001,﻿Rev.,﻿Patrick McGowan,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0021,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Noble's Lake,﻿Noble Lake,﻿AR,,34.173154,-91.854301,,,,﻿pat_mcgowan_001,﻿Rev.,﻿Patrick McGowan,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0022,﻿church,not recorded,English,,,,,﻿Jefferson County,﻿Swan Lake,﻿Altheimer,﻿AR,,34.222222,-91.696667,,,,﻿pat_mcgowan_001,﻿Rev.,﻿Patrick McGowan,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0023,﻿church,not recorded,English,,,,,﻿Phillips County,﻿Helena,﻿Helena,﻿AR,,34.529189,-90.5912,,,,﻿d_j_cogan_001,﻿Rev.,﻿D. J. Cogan,,,﻿who also attends several stations on the lower Arkansas River,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0023_02,﻿convent,﻿Convent of Mercy,English,,,,,﻿Phillips County,﻿Helena,﻿Helena,﻿AR,,34.529189,-90.5912,,,,﻿d_j_cogan_001,﻿Rev.,﻿D. J. Cogan,,,﻿who also attends several stations on the lower Arkansas River,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0039,﻿mission,﻿missions in Phillip's County,English,﻿multiple instituitons,,,﻿Phillips County,﻿Phillips County,,,﻿AR,,35.013175,-90.722456,﻿lit.ar.0023,﻿visited from Helena,,,,,,,﻿who also attends several stations on the lower Arkansas River,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0040,﻿station,not recorded,English,"﻿Catholics in Crittenden, Mississsippi, and St. Francis Counties, attended from Memphis.",,,﻿Crittenden County,﻿Crittenden County,,,﻿AR,,35.253816,-90.276624,﻿nash.tn.0004,﻿attended from Memphis,,,,,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0041,﻿station,not recorded,English,"﻿Catholics in Crittenden, Mississsippi, and St. Francis Counties, attended from Memphis.",,,﻿Mississippi County,﻿Mississippi County,,,﻿AR,,35.768935,-90.048148,﻿nash.tn.0004,﻿attended from Memphis,,,,,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
﻿lit.ar.0042,﻿station,not recorded,English,"﻿Catholics in Crittenden, Mississsippi, and St. Francis Counties, attended from Memphis.",,,﻿St. Francis County,﻿St. Francis County,,,﻿AR,,35.049742,-90.732502,﻿nash.tn.0004,﻿attended from Memphis,,,,,,,,,,,,1867,﻿,﻿,﻿Little Rock,LittleRock
