instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿mar.mi.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,,,﻿Marquette County,﻿Marquette County,﻿Marquette,﻿Marquette,﻿MI,,46.541311,-87.398755,,,,,﻿Rt. Rev.,﻿——,,,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0001,﻿cathedral,﻿St. Peter's Cathedral,English,,,,﻿Marquette County,﻿Marquette County,﻿Marquette,﻿Marquette,﻿MI,,46.541311,-87.398755,,,,﻿e_jacker_001,﻿Very Rev.,﻿Edward Jacker,,﻿V.G.,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0002,﻿church,﻿St. Mary's Church,English,,,,﻿Chippewa County,﻿Chippewa County,﻿Saut-Sainte-Marie,﻿Sault Ste. Marie,﻿MI,,46.490214,-84.317847,,,,﻿joh_b_menet_001,﻿Rev.,﻿John B. Menet,﻿S.J.,,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0042,﻿church,﻿Church of the Holy Cross,English,,"﻿on Beaver Island, in Lake Michigan",,,,﻿Beaver Harbor,,,,,,,,,﻿pet_gallagher_001,﻿Rev.,﻿Peter Gallagher,,,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0018,﻿church,not recorded,English,,"﻿Beaver Island, Southern End",,,﻿Charlevoix County,,﻿Beaver Island,﻿MI,,45.646763,-85.552073,﻿mar.mi.0042,"﻿occasionally visited by Rev. P. Gallagher, from Beaver Harbor",,,,,,,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0003,﻿church,﻿Church of the Assumption of the B.V. Mary,English,,"﻿Clifton, or Cliff Mine",,﻿Keweenaw County,﻿Keweenaw County,"﻿Clifton, or Cliff Mine",﻿Phoenix,﻿MI,,47.388983,-88.276564,﻿mar.mi.0004,﻿Attended every second Sunday from Eagle Harbor,,,,,,,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0026,﻿station,not recorded,English,,,,﻿Keweenaw County,﻿Keweenaw County,﻿Copper Harbor,﻿Copper Harbor,﻿MI,,47.468311,-87.89032,﻿mar.mi.0004,﻿Attended occasionally from Eagle Harbor,,,,,,,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0004,﻿church,﻿Church of the Most Holy Redeemer,English,,,,﻿Keweenaw County,﻿Keweenaw County,﻿Eagle Harbor,﻿Eagle Harbor,﻿MI,,47.456377,-88.165351,,,,﻿joh_burns_001,﻿Rev.,﻿John Burns,,,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0043,﻿church,not recorded,English,,﻿Bay De Noc,,﻿Schoolcraft County,,﻿Escanaba,,,,,,,,,﻿seb_duroc_001,﻿Rev.,﻿S. Duroc,,,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0006,﻿church,﻿Church of the Immaculate Conception of the B.V. Mary,English,﻿Indian church,﻿in Lake Michigan,,,﻿Charlevoix County,﻿Garden Island,﻿Garden Island,﻿MI,,45.800935,-85.490699,﻿mar.mi.0042,﻿Attended from Beaver Harbor,,,,,,,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0028,﻿station,not recorded,English,﻿no church,,,﻿Houghton County,﻿Houghton County,﻿Calumet Mine,﻿Calumet,﻿MI,,47.250075,-88.453827,﻿mar.mi.0007,﻿Attended occasionally from Hancock,,,,,,,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
﻿mar.mi.0007,﻿church,﻿St. Ann's Church,English,,﻿Portage Lake,,﻿Houghton County,﻿Houghton County,﻿Hancock,﻿Hancock,﻿MI,,47.145241,-88.593471,,,,﻿edm_walsh_001,﻿Rev.,﻿Edmond Walsh,,﻿P.P.,,,,,,1868,﻿,﻿,﻿Marquette and Saut-Sainte-Marie,Marquette
