instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿mob.al.0001,﻿cathedral,not recorded,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.6953657,-88.0398912,,,,﻿mic_portier_901,﻿Right Rev.,﻿Michael Portier,﻿D.D.,,,,,,1833.0,1833,,﻿,﻿,Mobile,Mobile
﻿mob.al.0018,﻿church,not recorded,English,,,,,﻿Madison County,﻿Huntsville,﻿Huntsville,﻿AL,﻿AL,34.7411725,-86.6849899,,,﻿visited occasionally,﻿#REF!,,,,,,,,,,1833,,﻿,﻿,Mobile,Mobile
﻿mob.al.0022,﻿church,not recorded,English,,,,,﻿Montgomery County,﻿Montgomery,﻿Montgomery,﻿AL,﻿AL,32.3754699,-86.3058448,,,,﻿#REF!,,,,,,,,,,1833,,﻿,﻿,Mobile,Mobile
﻿mob.al.0035,﻿college,﻿College of Spring Hill,English,"﻿the Faculty is two Professors of Enligh, two of the French, two of the Latin, one of the Spanish, Professor of Mathematics and a Director General of Studiest",﻿seven miles West of the city of Mobile,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.69404201,-88.13786472,,,,﻿mic_portier_901,﻿Right Rev. Dr.,﻿Portier,,﻿President and Bishop of Mobile,,,,,,1833,,﻿,﻿,Mobile,Mobile
﻿mob.al.0037&_02,﻿convent and academy,not recorded,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,﻿AL,30.69365164,-88.0931224,,,,﻿#REF!,,,,,,,,,,1833,﻿https://en.wikipedia.org/wiki/Convent_and_Academy_of_the_Visitation,﻿,﻿,Mobile,Mobile
﻿sta.fl.0001,﻿convent and academy,not recorded,English,﻿East Florida,,,,﻿St. Johns County,﻿St. Augustine,﻿St. Augustine,﻿FL,﻿FL,29.8931024,-81.31244863,,,,﻿ed_mayne_901,﻿Rev.,﻿Edward F. Mayne,,,,,,,,1833,,﻿,﻿,Mobile,Mobile
﻿sta.fl.0006,﻿church,not recorded,English,,,,,﻿Nassau County,﻿Fernandina,﻿Fernandina Beach,﻿FL,﻿FL,30.67379678,-81.46152823,,,﻿visited occasionally,﻿#REF!,,,,,,,,,,1833,﻿https://www.ameliaisland.com/places-of-worship/,﻿,﻿,Mobile,Mobile
﻿mob.al.9000,﻿church,not recorded,English,﻿A new Church,,,,﻿Escambia County,﻿Pensacola,﻿Pensacola,﻿FL,﻿FL,30.41378766,-87.21627056,,,,﻿#REF!,,,,,,,,,,1833,﻿https://stmichaelbasilica.com/our-history,﻿,﻿,Mobile,Mobile
﻿sav.ga.0003,﻿church,﻿Holy Trinity Church,English,,,,,﻿Richmond County,﻿Augusta,﻿Augusta,﻿GA,﻿GA,33.47167613,-81.9668056,,,,﻿joh_barry_901,﻿Rev.,﻿John Barry,,,,,,,,1833,﻿https://themostholytrinity.org/our-history,﻿,﻿,Mobile,Mobile
﻿sav.ga.0006,﻿church,﻿SS. Philip and James,English,,,,,﻿Muscogee County,﻿Columbus,﻿Columbus,﻿GA,﻿GA,32.4681593,-84.98813711,,﻿Rev. M.D. O'Reilly visited the church,,﻿m_d_oreilly_901,﻿Rev.,﻿M.D. O'Reilly,,,,,,,,1833,﻿https://holyfamilycolumbus.com/about-us/,﻿,﻿,Mobile,Mobile
﻿sav.ga.0010,﻿church,not recorded,English,,,,﻿Wilson County,﻿Henry County,﻿Locust Grove,﻿Locust Grove,﻿GA,﻿GA,33.54252264,-82.77668703,,,,﻿m_d_oreilly_901,﻿Rev.,﻿M. D. O'Reilly,,,,,,,,1833,﻿https://www.hrcga.org/church/locust-grove-catholic/,﻿,﻿,Mobile,Mobile
﻿sav.ga.0001,﻿church,not recorded,English,,,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,﻿GA,32.0733565,-81.0909827,,,,﻿jos_stokes_902,﻿Rev.,﻿Joseph Stokes,,,,,,,,1833,"﻿https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._John_the_Baptist_(Savannah,_Georgia)",﻿,﻿,Mobile,Mobile
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,,,,,,,,﻿GA,,32.0808989,-81.091203,,,﻿visited occasionally,﻿#REF!,,,,,,,,,,1833,,﻿,﻿,Mobile,Mobile
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,,,,,,,,﻿GA,,32.0808989,-81.091203,,,,﻿#REF!,,,,,,,,,,1833,,﻿,﻿,Mobile,Mobile
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,,,,,,,,﻿GA,,32.0808989,-81.091203,,,,﻿#REF!,,,,,,,,,,1833,,﻿,﻿,Mobile,Mobile
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,,,,,,,,﻿GA,,32.0808989,-81.091203,,,,﻿#REF!,,,,,,,,,,1833,,﻿,﻿,Mobile,Mobile
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,,,,,,,,﻿GA,,32.0808989,-81.091203,,,,﻿#REF!,,,,,,,,,,1833,,﻿,﻿,Mobile,Mobile
﻿sav.ga.9000,﻿church,﻿St. Mary's,English,,,,,,,,﻿GA,,32.0808989,-81.091203,,,,﻿#REF!,,,,,,,,,,1833,,﻿,﻿,Mobile,Mobile
