instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿mob.al.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69012,-88.045898,,,,﻿joh_quinlan_001,﻿Rt. Rev.,﻿John Quinlan,﻿D.D.,﻿Bishop,,,,,,1869,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69012,-88.045898,,,,﻿a_d_pellicer_001,﻿Very Rev.,﻿A.D. Pellicer,,,,,,,,1869,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.69012,-88.045898,,,,﻿edw_lorigan_001,﻿Rev.,﻿Edward Lorigan,,,,,,,,1869,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0002,﻿church,﻿St. Vincent de Paul's,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.586272,-88.195593,,,,﻿c_t_ocallaghan_001,﻿Rev.,﻿C.T. O'Callaghan,,,,,,,,1869,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0002,﻿church,﻿St. Vincent de Paul's,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.586272,-88.195593,,,,﻿wm_lane_002,﻿Rev.,﻿Wm. Lane,,,,,,,,1869,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0003,﻿church,﻿St. Joseph's,﻿German and English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.737853,-88.055473,,,,﻿pet_imsand_001,﻿Rev.,﻿P. Ismand,﻿S.J.,,,,,,,1869,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0003,﻿church,﻿St. Joseph's,﻿German and English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.737853,-88.055473,,,,﻿j_roduit_001,﻿Rev.,﻿J. Roduit,﻿S.J.,,,,,,,1869,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0004,﻿church,﻿St. Patrick's,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,31.08858,-88.228791,,,,﻿j_j_browne_001,﻿Rev.,﻿J.J. Browne,,,,,,,,1869,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0005,﻿church,﻿St. Mary's,English,,,,,﻿Mobile County,﻿Mobile,﻿Mobile,﻿AL,,30.694247,-88.080489,,,,﻿dav_omeara_001,﻿Rev.,﻿D. O'Meara,,,,,,,,1869,﻿,﻿,﻿Mobile,Mobile
﻿mob.al.0006,﻿church,not recorded,English,,﻿North Alabama,,,﻿Limestone County,﻿Athens,﻿Athens,﻿AL,,34.799104,-86.987066,﻿mob.al.0018,﻿Attended from Huntsville,,,,,,,,,,,,1869,﻿,﻿,﻿Mobile,Mobile
