instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,,,,﻿Adams County,,﻿Natchez,﻿Natchez,﻿MS,,31.5587495,-91.4014488,,,,﻿wil_h_elder_001,﻿Rt. Rev.,﻿William Henry Elder,﻿D.D.,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,,,,﻿Adams County,,﻿Natchez,﻿Natchez,﻿MS,,31.5587495,-91.4014488,,,,﻿mat_f_grignon_001,﻿Very Rev.,﻿Mathurin F. Grignon,,﻿V.G.,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0001,﻿cathedral,"﻿St. Mary's Cathedral, Our Lady of Sorrows",English,,,,﻿Adams County,,﻿Natchez,﻿Natchez,﻿MS,,31.5587495,-91.4014488,,,,﻿ger_marty_001,﻿Rev.,﻿Germain Marty,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0002,﻿church,﻿Church of St. Francis of Sales,English,,,,﻿Monroe County,,﻿Aberdeen,﻿Aberdeen,﻿MS,,33.8251139,-88.5436553,,,,﻿joh_b_mouton_001,﻿Rev.,﻿J. B. Mouton,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0004,﻿church,not recorded,English,,,,﻿Lowndes County,,﻿Artesia,﻿Artesia,﻿MS,,33.4153994,-88.6439366,﻿nat.ms.0019,﻿from Columbus,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0005,﻿church,not recorded,English,,,,﻿Copiah County,,﻿Bahala,﻿Wesson,﻿MS,,31.699167,-90.396944,﻿nat.ms.0013,﻿Visited from Brookhaven,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0006,﻿church,not recorded,English,,,,﻿Choctaw County,,﻿Bankston,﻿French Camp,﻿MS,,33.397222,-89.366667,﻿nat.ms.0042,﻿Visited from Louisville,﻿Occasionally,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0007,﻿church,﻿Our Lady of the Gulf,English,,,,,﻿Hancock County,﻿Bay of St. Louis,﻿Bay St. Louis,﻿MS,,30.314722,-89.344167,,,,﻿hen_leduc_001,﻿Rev.,﻿Henry Leduc,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0007,﻿church,﻿Our Lady of the Gulf,English,,,,,﻿Hancock County,﻿Bay of St. Louis,﻿Bay St. Louis,﻿MS,,30.314722,-89.344167,,,,﻿ale_de-morangies_001,﻿Rev.,﻿Alexander De Morangies,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0008,﻿church,﻿Nativity of the Blessed Virgin Mary,English,,,,﻿Jackson County,﻿Harrison County,﻿Biloxi,﻿Biloxi,﻿MS,,30.3971828,-88.8911688,,,,﻿p_chevalier_001,﻿Rev.,﻿P. Chevalier,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0009,﻿church,not recorded,English,,,,,﻿Harrison County,﻿Biloxi River,﻿Biloxi,﻿MS,,30.3960318,-88.8853078,﻿nat.ms.0008,﻿Visited from Biloxi,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0010,﻿church,not recorded,English,,,,﻿Carroll County,,﻿Black Hawk,﻿Black Hawk,﻿MS,,33.3262353,-90.011751,﻿nat.ms.0107,﻿Visited from Yazoo City,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0011,﻿church,not recorded,English,,,,﻿Pontotoc County,﻿Prentiss County,﻿Blackland,﻿Blackland,﻿MS,,34.6400963,-88.6658876,﻿nat.ms.0002,﻿Visited from Aberdeen,﻿About four times a year,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0012,﻿church,not recorded,English,,,,﻿Rankin County,,﻿Brandon,﻿Brandon,﻿MS,,32.2788733,-90.001384,﻿nat.ms.0036,﻿Visited from Jackson,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0013,﻿church,﻿St. Francis of Assisium,English,,,,﻿Lawrence County,﻿Lincoln County,﻿Brookhaven,﻿Brookhaven,﻿MS,,31.5779093,-90.4401719,,,,﻿ant_f_strake_001,﻿Rev.,﻿Anthony F. Strake,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0014,﻿church,not recorded,English,,,,﻿Noxubee County,,﻿Brooksville,﻿Brooksville,﻿MS,,33.2345685,-88.5822673,﻿nat.ms.0019,﻿Visited from Columbus,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0015,﻿church,not recorded,English,,,,﻿Chickasaw County,,﻿Buena Vista,﻿Buena Vista,﻿MS,,33.884444,-88.838056,﻿nat.ms.0002,﻿Visited from Aberdeen,﻿About four times a year,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0016,﻿church,﻿Church of the Sacred Heart,English,,,,﻿Madison County,,﻿Canton,﻿Canton,﻿MS,,32.6126381,-90.0367512,,,,﻿pat_murtagh_001,﻿Rev.,﻿Patrick Murtagh,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0017,﻿church,not recorded,English,,,,﻿Pike County,,﻿Chatawa,﻿Chatawa,﻿MS,,31.0604559,-90.4723185,﻿nat.ms.0013,﻿Visited from Brookhaven,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0018,﻿church,not recorded,English,,,,﻿Yallobusha County,﻿Yalobusha County,﻿Coffeeville,﻿Coffeeville,﻿MS,,33.9767792,-89.675641,﻿nat.ms.0087,﻿Visited from Yazoo City,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0019,﻿church,not recorded,English,,,,﻿Lowndes County,,﻿Columbus,﻿Columbus,﻿MS,,33.4956744,-88.4272627,,,,﻿joh_mcmanus_001,﻿Rev.,﻿John McManus,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0020,﻿church,not recorded,English,,,,,﻿Alcorn County,﻿Corinth,﻿Corinth,﻿MS,,34.9342548,-88.5222702,﻿nat.ms.0002,﻿Visited from Aberdeen,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0021,﻿church,not recorded,English,,,,﻿Kemper County,,﻿De Kalb,﻿De Kalb,﻿MS,,32.7676329,-88.6508784,﻿nat.ms.0002,﻿Visited from Aberdeen,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0022,﻿church,not recorded,English,,,,,﻿Yazoo County,﻿Dover,﻿Bentonia,﻿MS,,32.693944,-90.3245,﻿nat.ms.0087,﻿Visited from Yazoo City,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0023,﻿church,not recorded,English,,,,﻿Holmes County,,﻿Ebenezer,﻿Ebenezer,﻿MS,,32.970556,-90.090833,﻿nat.ms.0087,﻿Visited from Yazoo City,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0024,﻿church,not recorded,English,﻿Church building,﻿Church building,,﻿Clark County,﻿Clarke,﻿Enterprise,﻿Enterprise,﻿MS,,32.174314,-88.8314379,﻿nat.ms.0103,﻿Visited from Paulding,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0025,﻿church,not recorded,English,,,,﻿Warren County,,﻿Fairfield Plantation,﻿Vicksburg,﻿MS,,32.3023,-90.8751,﻿nat.ms.0079,﻿Visited from Vicksburgh,﻿Once in two months,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0026,﻿church,not recorded,English,,,,﻿Jefferson County,,﻿Fayette,﻿Fayette,﻿MS,,31.7115534,-91.0606607,﻿nat.ms.0062,﻿Visited from Port Gibson,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0027,﻿church,not recorded,English,,,,﻿Wilkinson County,,﻿Fort Adams,﻿Fort Adams,﻿MS,,31.086389,-91.548056,﻿nat.ms.0062,﻿Visited from Port Gibson,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0028,﻿church,not recorded,English,,,,﻿Holmes County,,﻿Franklin,﻿Franklin,﻿MS,,33.036293,-90.002815,﻿nat.ms.0087,﻿Visited from Yazoo City,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0029,﻿church,not recorded,English,,,,﻿Hancock County,﻿Hancock County,﻿Gainesville,,﻿MS,,30.351111,-89.639722,﻿nat.ms.0070,﻿Visited from Shieldsborough,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0030,﻿church,not recorded,English,,,,,﻿Grenada County,﻿Grenada,﻿Grenada,﻿MS,,33.7690049,-89.8084192,﻿nat.ms.0080,﻿Visited from Water Valley,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0031,﻿church,not recorded,English,,,,﻿Washington County,,﻿Greenville,﻿Greenville,﻿MS,,33.399661,-91.0377029,,﻿Attended by Rev. James Quinn of the Diocese of Little Rock,,﻿jas_a_quinn_001,﻿Rev.,﻿James Quinn,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0032,﻿church,not recorded,English,﻿New church,,,﻿Harrison County,,﻿Handsboro,﻿Gulfport,﻿MS,,30.398,-89.029717,﻿nat.ms.0008,﻿Visited from Biloxi,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0033,﻿church,﻿St. Joseph's,English,,,,﻿Marshall County,,﻿Holly Springs,﻿Holly Springs,﻿MS,,34.7662056,-89.4424885,,,,﻿j_l_wise_001,﻿Rev.,﻿J. L. Wise,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0034,﻿church,not recorded,English,,,,﻿Chickasaw County,,﻿Houston,﻿Houston,﻿MS,,33.8984461,-88.9992267,﻿nat.ms.0002,﻿Visited from Aberdeen,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0035,﻿church,not recorded,English,,,,﻿Tishamingo County,,﻿Iuka Springs,﻿Iuka,﻿MS,,34.8117565,-88.1900415,﻿nat.ms.0002,﻿Visited from Aberdeen,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0036,﻿church,﻿St. Peter's Church,English,﻿Visits two plantations in Madison County,,,﻿Hinds County,,﻿Jackson,﻿Jackson,﻿MS,,32.3067195,-90.1867821,,,,﻿hen_picherit_001,﻿Rev.,﻿H. Picherit,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0037,﻿church,not recorded,English,,,,﻿Hancock County,,﻿Jordan River Settlement,﻿Kiln,﻿MS,,30.412778,-89.435556,﻿nat.ms.0007,"﻿Visited from Bay St. Louis, by Rev. A. De Morangies",,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
﻿nat.ms.0038,﻿church,not recorded,English,,,,﻿Attala County,,﻿Kosciusko,﻿Kosciusko,﻿MS,,33.0576295,-89.5875764,﻿nat.ms.0042,﻿Visited from Louisville,,,,,,,,,,,,1870,﻿,﻿,﻿Natchez,Natchez
