instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿new.la.0001,﻿cathedral,﻿Cathedral of St Louis,English,,,,,﻿Orleans Parish,﻿New Orleans,﻿New Orleans,﻿LA,﻿LA,29.95794292,-90.06372788,,,,﻿leo_de-nekere_901,﻿Right Rev.,﻿Leo De Nekere,﻿D. D.,,,,,,,1833,﻿https://www.stlouiscathedral.org/,﻿,﻿,NewOrleans,NewOrleans
﻿new.la.0002,﻿chapel,﻿St. Mary's Chapel,English,,,,,﻿Orleans Parish,﻿New Orelans,﻿New Orleans,﻿LA,﻿LA,29.951066,-90.071532,,,,﻿c_maenhaut_901,﻿Rev.,﻿C. Maenhaut,,,,,,,,1833,,﻿,﻿,NewOrleans,NewOrleans
﻿new.la.9000,﻿chapel,﻿St. Margaret's Chapel,English,,,,,﻿Orleans Parish,﻿New Orelans,﻿New Orleans,﻿LA,﻿LA,,,,,,﻿#REF!,﻿Rev.,,,,,,,,,1833,,﻿,﻿,NewOrleans,NewOrleans
﻿new.la.9001,﻿church,not recorded,English,,,,﻿Assumption Parish,﻿Assumption Parish,,,﻿LA,﻿LA,,,,,,﻿m_b_de-st-aulieu_901,﻿Rev.,﻿M. B. De St Aulieu,,,,,,,,1833,"﻿https://en.wikipedia.org/wiki/Assumption_Parish,_Louisiana#:~:text=Assumption%20Parish%20(French%3A%20Paroisse%20de,Its%20parish%20seat%20is%20Napoleonville.",﻿,﻿,NewOrleans,NewOrleans
﻿new.la.0078,﻿church,﻿St. Martin's,English,,,,﻿Attakapas Parish,﻿St. Martin Parish,,﻿St. Martinville,﻿LA,﻿LA,30.12302632,-91.82874083,,,,﻿mar_borella_901,﻿Rev. Mr.,﻿Borella,,,,,,,,1833,﻿https://saintmartindetours.org/about-us,﻿,﻿,NewOrleans,NewOrleans
﻿nat.la.0023,﻿church,﻿St. Paul's,English,,,,﻿Avoyelles Parish,﻿Avoyelles Parish,,﻿Mansura,﻿LA,﻿LA,31.06064291,-92.04960097,,,,﻿joh_martin_901,﻿Rev.,﻿John Martin,,,,,,,,1833,﻿https://www.diocesealex.org/church/st-paul-the-apostle-church/,﻿,﻿,NewOrleans,NewOrleans
﻿new.la.0028,﻿church,﻿St. Joseph's,English,,,,,﻿East Baton Rouge Parish,﻿Baton Rouge,﻿Baton Rouge,﻿LA,﻿LA,30.45189019,-91.18698575,,,,﻿her_brassac_901,﻿Rev.,﻿H. Brassac,,,,,,,,1833,﻿https://www.cathedralbr.org/church-history,﻿,﻿,NewOrleans,NewOrleans
﻿new.la.0029,﻿church,not recorded,English,,﻿W[est],,,﻿West Baton Rogue Parish,﻿Baton Rouge,﻿Brusly,﻿LA,﻿LA,30.38506811,-91.23639256,,,﻿twice a month,﻿her_brassac_901,﻿Rev.,﻿H. Brassac,,,,,,,,1833,﻿http://www.sjb-brusly.com/history.html,﻿,﻿,NewOrleans,NewOrleans
﻿new.la.9002,﻿church,﻿St. John's,English,,﻿E[ast],,,,﻿Baton Rouge,,﻿LA,﻿LA,30.38478702,-91.23605,,,,﻿her_brassac_901,﻿Rev.,﻿H. Brassac,,,,,,,,1833,﻿https://diobr.org/st-john-the-baptist-zachary. https://www.hmdb.org/m.asp?m=121181,﻿,﻿,NewOrleans,NewOrleans
﻿new.la.0032,﻿church,﻿St. John Baptist,English,,﻿Bonnet Carrè,,,﻿St. John the Baptist Parish,,﻿Edgard,﻿LA,﻿LA,30.04468524,-90.55754782,,,,﻿v_m_mina_901,﻿Rev.,﻿V. M. Mina,,,,,,,,1833,﻿https://stjohnbaptistedgard.org/history,﻿,﻿,NewOrleans,NewOrleans
