instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿wil.de.0001,﻿church,﻿St. Peter's Church,English,,,,,﻿New Castle County,﻿Wilmington,﻿Wilmington,﻿DE,﻿DE,39.728567,-75.5483263,,,,﻿pat_kenny_901,﻿Rev.,﻿Patrick Kenny,,,,,,,,1833,,,﻿,﻿,Philadelphia,Philadelphia
﻿wil.de.0006,﻿church,﻿St. Mary's,English,,,,,﻿New Castle County,﻿Coffey Run,﻿Hockessin,﻿DE,﻿DE,39.7690811,-75.6616973,,,﻿twice a month,﻿pat_kenny_901,﻿Rev.,﻿Patrick Kenny,,,,,,,,1833,﻿https://en.wikipedia.org/wiki/Coffee_Run_Mission_Site,,﻿,﻿,Philadelphia,Philadelphia
﻿wil.de.0007,﻿church,﻿St. Peter's,English,,,,,﻿New Castle County,﻿New Castle,﻿New Castle,﻿DE,﻿DE,39.6625154,-75.5646843,,,﻿occas'ly,﻿geo_a_carrell_901,﻿Rev.,﻿G. A. Carrell,,,,,,,,1833,,,﻿,﻿,Philadelphia,Philadelphia
﻿wil.de.0001_03&_02,﻿asylum and school,﻿Orphan asylum and school,English,,,,,﻿New Castle County,﻿Wilmington,﻿Wilmington,﻿DE,﻿DE,39.74286352,-75.55480892,,,,﻿#REF!,,,,,,,,﻿under the direction of the Sisters of Charity,,1833,"﻿https://www.ccwilm.org/our-history/#:~:text=In%201830%2C%20after%20a%20number,in%20Wilmington's%20Quaker%20Hill%20neighborhood.",,﻿,﻿,Philadelphia,Philadelphia
﻿new.nj.0003,﻿church,not recorded,English,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,﻿NJ,40.7378623,-74.16604157,,,,﻿gre_pardow_901,﻿Rev.,﻿Gregory Pardow,,,,,,,,1833,"﻿While St. Mary's and St. Patrick's in Newark are more prominent, St. John's is the oldest, and the first to be put up before the 1833 almanac: https://newarkreligion.com/rcatholic/stjohnsrc.php. For this reason, I am confident saying this was the church in question.",,﻿,﻿,Philadelphia,Philadelphia
﻿new.nj.0067,﻿church,not recorded,English,,,,,﻿Middlesex County,﻿New Brunswick,﻿New Brunswick,﻿NJ,﻿NJ,40.49752632,-74.44645543,,,,﻿#REF!,,,,,,,,,,1833,﻿https://stpeternewbrunswick.org/parish-history,,﻿,﻿,Philadelphia,Philadelphia
﻿new.nj.0075,﻿church,not recorded,English,,,,,﻿Passaic County,﻿Patterson,﻿Paterson,﻿NJ,﻿NJ,40.91272486,-74.17227949,,,,﻿pat_duffy_901,﻿Rev.,﻿Patrick Duffy,,,,,,,,1833,﻿https://www.rcdopcathedral.org/cathedral-history,,﻿,﻿,Philadelphia,Philadelphia
﻿new.nj.9000,﻿church,﻿St. Mary's,English,,,,,﻿Atlantic County,﻿Pleasant Mills,﻿Mullica Township,﻿NJ,﻿NJ,39.63816024,-74.64656862,,,﻿occasionally,﻿jam_cummiskey_901,﻿Rev.,﻿James Cummiskey,,,,,,,,1833,"﻿https://en.wikipedia.org/wiki/Mullica_Township,_New_Jersey",,﻿,﻿,Philadelphia,Philadelphia
﻿new.nj.0102,﻿church,﻿St. John Baptist,English,,,,,﻿Mercer County,﻿Trenton,﻿Trenton,﻿NJ,﻿NJ,40.19908625,-74.7582005,,,,﻿p_rafferty_901,﻿Rev.,﻿P. Rafferty,,,,,,,,1833,﻿http://www.trentonsacredheart.org/about-our-parish/ ; original church here called st. john,,﻿,﻿,Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,﻿S. 4th St.,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.94564287,-75.14856313,,,,﻿hen_conwell_901,﻿Right Rev.,﻿Henry Conwell,﻿D.D.,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1833,﻿https://oldstmary.com/,,﻿,﻿,Philadelphia,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,﻿Willing's Al.,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.94655372,-75.1475707,,,,﻿t_j_donaghue_901,﻿Rev.,﻿Terence G. Donaghue,,,"﻿The G is crossed out in the almanac in pencil, replaced with a J",,,,,1833,﻿https://oldstjoseph.org/about-osj/history/,,﻿,﻿,Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,﻿N. 4th Street,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.95552714,-75.1465845,,,,﻿mic_hurley_901,﻿Rev.,﻿Michael Hurley,,,,,,,,1833,﻿https://www.st-augustinechurch.com/our-parish,,﻿,﻿,Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,English,,﻿Corner of 6th & Spruce Sts.,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,﻿PA,39.9455084,-75.15189463,,,,﻿cor_vanderbraak_901,﻿Rev.,﻿P. C. Vander Braak,,,,,,,,1833,,,﻿,﻿,Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John,English,,﻿S. 13th Street,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.95126954,-75.16138096,,,,﻿joh_hughes_901,﻿Rev.,﻿John Hughes,,,,,,,,1833,﻿https://stjohnsphilly.org/homepage-ext/#history_row,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0015,﻿church,﻿St. Thomas,English,﻿thrice a month,,,,﻿Bedford County,﻿Bedford,﻿Bedford,﻿PA,﻿PA,40.01766654,-78.50151808,,,,﻿tho_heyden_901,﻿Rev.,﻿Thomas Heyden,,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1833,﻿https://www.webparish.com/aj/thomas/index.php?PG=history,,﻿,﻿,Philadelphia,Philadelphia
﻿har.pa.0041,﻿church,﻿St. John,English,﻿once a month,,,,﻿Centre County,﻿Bellefonte,﻿Bellefonte,﻿PA,﻿PA,40.91081367,-77.77627962,,,,﻿pat_leavy_901,﻿Rev.,﻿Patrick Leavy,,,"﻿""Dw. at Huntingdon""",,,,,1833,﻿http://bellefontecatholicchurch.org/,,﻿,﻿,Philadelphia,Philadelphia
﻿pit.pa.0019,﻿church,﻿S. S. Simon & Jude,English,﻿Twice a month,,,,﻿Indiana County,﻿Blairsville,﻿Blairsville,﻿PA,﻿PA,40.43263075,-79.25841066,,,,﻿jam_a_stillinger_001,﻿Rev.,﻿James A. Stillinger,,,,,,,,1833,"﻿https://www.sssimonandjude.org/bulletins/ ; info is really limited but the church site mentions, in a header or two, that the church was established in 1830",,﻿,﻿,Philadelphia,Philadelphia
