instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,notes,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.94564287,-75.14856313,,,,﻿hen_conwell_901,﻿Right Rev.,﻿Henry Conwell,﻿D.D.,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.94564287,-75.14856313,,,,﻿fra_p_kenrick_901,﻿Right Rev.,﻿Fran P. Kenrick,﻿D.D.,﻿Coadj.,,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.94564287,-75.14856313,,,,﻿jer_keiley_901,﻿Rev.,﻿Jeremiah Keiley,,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.94564287,-75.14856313,,,,﻿pet_r_kenrick_901,﻿Rev.,﻿Peter R. Kenrick,,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.94564287,-75.14856313,,,,﻿tho_da-silva_901,﻿Rev.,﻿Thomas Da Silva,,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,﻿Willing's Al.,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.94655372,-75.1475707,,,,﻿ste_l_dubuisson_901,﻿Rev.,﻿Stephen Dubuisson,﻿S.J.,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,﻿Willing's Al.,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.94655372,-75.1475707,,,,﻿ed_mccarthy_901,﻿Rev. Mr.,﻿Ed. M'Carthy,﻿S.J.,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,﻿N. 4th Street,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.95552714,-75.1465845,,,,﻿mic_hurley_901,﻿Rev.,﻿Michael Hurley,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,﻿N. 4th Street,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.95552714,-75.1465845,,,,﻿n_o-donnell_901,﻿Rev.,﻿N. O'Donnell,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,﻿German,﻿German,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,﻿PA,39.9455084,-75.15189463,,,,﻿fra_guth_901,﻿Rev.,﻿Francis Guth,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,﻿German,﻿German,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,,39.9455084,-75.15189463,,,,﻿cor_vanderbraak_901,﻿Rev.,﻿Cor. Vanderbraak,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,﻿German,﻿German,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,,39.9455084,-75.15189463,,,,﻿pet_lemke_901,﻿Rev.,﻿Peter Lemké,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John Evan.,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.95126954,-75.16138096,,,,﻿joh_hughes_901,﻿Rev.,﻿John Hughes,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John Evan.,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.95126954,-75.16138096,,,,﻿fra_x_gartland_901,﻿Rev.,﻿F. X. Gartland,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0010,﻿church,﻿St. Michael's,English,,,,,,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.97389081,-75.13848967,,,,﻿ter_j_donaghue_901,﻿Rev.,﻿T. P. Donaghue,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0015,﻿church,﻿St. Thomas,English,,,,,﻿Bedford County,﻿Bedford,﻿Bedford,﻿PA,﻿PA,40.01766654,-78.50151808,,,﻿[visited] once a month [by] Rev. James Bradley,﻿jam_bradley_001,﻿Rev.,﻿James Bradley,,,﻿Dw. at Newry,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿har.pa.0041,﻿church,﻿St. John Evang.,English,,,,,﻿Centre County,﻿Bellefonte,﻿Bellefonte,﻿PA,﻿PA,40.91081367,-77.77627962,,,﻿[visited every] 2d Sund. [by] Rev. Patrick Leavy,﻿pat_leavy_901,﻿Rev.,﻿Patrick Leavy,,,﻿Dw. at Lewistown,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0019,﻿church,﻿SS. Simon and Jude,English,,,,,﻿Indiana County,﻿Blairsville,﻿Blairsville,﻿PA,﻿PA,40.43263075,-79.25841066,,,﻿[visited] twice a month [by] Rev. James A. Stillinger,﻿jam_a_stillinger_001,﻿Rev.,﻿James A. Stillinger,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0026,﻿church,﻿St. Peter's,English,,,,,﻿Fayette County,﻿Brownsville,﻿Brownsville,﻿PA,﻿PA,40.0226438,-79.87755123,,,﻿[visited] four times a year [by] Rev. J. A. Stillinger,﻿jam_a_stillinger_001,﻿Rev.,﻿J. A. Stillinger,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.9000,﻿church,not recorded,English,,﻿Buffaloe Creek,,,,,﻿Freeport,﻿PA,﻿PA,,,,,﻿[visited] twice a month [by] Rev. P. Rafferty,﻿p_rafferty_901,﻿Rev.,﻿P. Rafferty,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0027,﻿church,﻿St. Peter's,English,,,,,﻿Butler County,﻿Butler,﻿Butler,﻿PA,﻿PA,40.862318,-79.890779,,,﻿[visited] once a month [by] Rev. P. Rafferty,﻿p_rafferty_901,﻿Rev.,﻿P. Rafferty,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿pit.pa.0029,﻿church,﻿St. Patrick's,English,,,,,﻿Indiana County,﻿Cameron's Bottom,﻿Heilwood,﻿PA,﻿PA,40.59448682,-78.91594783,,,﻿[visited] once a month [by] Rev. Terrence McGirr,﻿ter_mcgirr_901,﻿Rev.,﻿Terrence McGirr,,,﻿Dw. at Newry,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿har.pa.0038,﻿church,﻿St. Patrick's,English,,,,,﻿Cumberland County,﻿Carlisle,﻿Carlisle,﻿PA,﻿PA,40.17501599,-77.20259339,,,﻿[visited] twice a month [by] Rev. P. Dwen,﻿pat_j_dwen_901,﻿Rev.,﻿P. Dwen,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿scr.pa.0020,﻿church,not recorded,English,,,,,﻿Lackawanna County,﻿Carbondale,﻿Carbondale,﻿PA,﻿PA,41.57188219,-75.5011599,,,,,,,,,﻿Vacant,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
