instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿por.me.0001,﻿cathedral,﻿Cathedral Chapel of the Immaculate Conception,English,"﻿The Cathedral, which is being built, will probably be dedicated during the year in honor of the Immaculate Conception of the Blessed Virgin MAry",,,,,﻿Portland,﻿Portland,﻿ME,,43.661682,-70.254279,,,,﻿d_w_bacon_001,﻿Rt. Rev.,﻿D. W. Bacon,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral Chapel of the Immaculate Conception,English,"﻿The Cathedral, which is being built, will probably be dedicated during the year in honor of the Immaculate Conception of the Blessed Virgin MAry",,,,,﻿Portland,﻿Portland,﻿ME,,43.661682,-70.254279,,,,﻿joh_de-rose_001,﻿Rev.,﻿John A. De Rose,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral Chapel of the Immaculate Conception,English,"﻿The Cathedral, which is being built, will probably be dedicated during the year in honor of the Immaculate Conception of the Blessed Virgin MAry",,,,,﻿Portland,﻿Portland,﻿ME,,43.661682,-70.254279,,,,﻿joh_murphy_001,﻿Rev.,﻿John Murphy,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral Chapel of the Immaculate Conception,English,"﻿The Cathedral, which is being built, will probably be dedicated during the year in honor of the Immaculate Conception of the Blessed Virgin MAry",,,,,﻿Portland,﻿Portland,﻿ME,,43.661682,-70.254279,,,,﻿mic_obrien_003,﻿Rev.,﻿Michael O'Brien,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0001,﻿cathedral,﻿Cathedral Chapel of the Immaculate Conception,English,"﻿The Cathedral, which is being built, will probably be dedicated during the year in honor of the Immaculate Conception of the Blessed Virgin MAry",,,,,﻿Portland,﻿Portland,﻿ME,,43.661682,-70.254279,,,,﻿lou_mussaers_001,﻿Rev.,﻿Louis Mussaers,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0002,﻿church,﻿St. Dominick's Church,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.650314,-70.262673,,,,﻿mic_obrien_003,﻿Rev.,﻿Michael O'Brien,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0002,﻿church,﻿St. Dominick's Church,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.650314,-70.262673,,,,﻿lou_mussaers_001,﻿Rev.,﻿Louis Mussaers,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0003,﻿chapel,﻿Calvary Chapel,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.66072,-70.258078,﻿por.me.0002,﻿attended from St. Dominick's Church,,﻿m_obrien_001,﻿Rev.,﻿M. O'Brien,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0004,﻿chapel,﻿St. Aloysius' Chapel,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.66072,-70.258078,,,,﻿joh_murphy_001,﻿Rev.,﻿John Murphy,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0005,﻿chapel,﻿Convent Chapel,English,,,,,,﻿Portland,﻿Portland,﻿ME,,43.66072,-70.258078,,,,﻿joh_murphy_001,﻿Rev.,﻿John Murphy,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0006,﻿church,﻿St. Mary's,English,,,,,,﻿Augusta,﻿Augusta,﻿ME,,44.309149,-69.780256,,,,﻿cha_egan_001,﻿Rev.,﻿Charles Egan,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0007,﻿church,﻿St. John's,English,,,,,,﻿Bangor,﻿Bangor,﻿ME,,44.80388,-68.76105,,,,﻿eug_vetromile_001,﻿Rev.,﻿Eugene Vetromile,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0007,﻿church,﻿St. John's,English,,,,,,﻿Bangor,﻿Bangor,﻿ME,,44.80388,-68.76105,,,,﻿f_c_mussaers_001,﻿Rev.,﻿F. Clement Mussaers,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0008,﻿church,﻿St. Mary's,English,,,,,,﻿Bath,﻿Bath,﻿ME,,43.915948,-69.824825,,,,﻿luk_f_bartley_001,﻿Rev.,﻿Luke F. Bartley,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0009,﻿church,﻿St. Benedict's,English,,,,,,﻿Benedicta,﻿Benedicta,﻿ME,,45.803282,-68.412063,,,,﻿joh_brady_003,﻿Rev.,﻿John Brady,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0010,﻿church,not recorded,English,,,,,,﻿Belfast,﻿Belfast,﻿ME,,44.425909,-69.006423,,,,﻿lou_lhiver_001,﻿Rev.,﻿Louis l'Hiver,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0011,﻿church,not recorded,English,,,,,,﻿Bucksport,﻿Bucksport,﻿ME,,44.62897,-68.770122,,,,﻿joh_imasso_001,﻿Rev.,﻿John Imasso,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0012,﻿church,﻿Immaculate Conception,English,,,,,,﻿Biddeford,﻿Biddeford,﻿ME,,43.492584,-70.453384,,,,﻿eug_müller_001,﻿Rev.,﻿Eugene Müller,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0012,﻿church,﻿Immaculate Conception,English,,,,,,﻿Biddeford,﻿Biddeford,﻿ME,,43.492584,-70.453384,,,,﻿ant_siniscalchi_001,﻿Rev.,﻿Antonio Sinascalchi,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0013,﻿church,not recorded,English,,,,,,﻿Brunswick,﻿Brunswick,﻿ME,,43.914016,-69.966996,,,,﻿luk_f_bartley_001,﻿Rev.,﻿L. F. Bartley,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0014,﻿church,﻿Immaculate Conception,English,,,,,,﻿Calais,﻿Calais,﻿ME,,45.186579,-67.277009,,,,﻿mat_w_murphy_001,﻿Rev.,﻿Matthew W. Murphy,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0015,﻿church,﻿St. Ann's,English,﻿(Indian),,,,,﻿Calais,﻿Calais,﻿ME,,45.187368,-67.278382,,,,﻿eug_vetromile_001,﻿Rev.,﻿E. Vetromile,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0016,﻿church,not recorded,English,,,,,,﻿Cherryfield,﻿Cherryfield,﻿ME,,44.607299,-67.925837,,,,﻿joh_imasso_001,﻿Rev.,﻿John Imasso,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0017,﻿church,﻿St. Patrick's,English,,,,,,﻿Damariscotta,﻿Damariscotta,﻿ME,,44.032877,-69.518888,,,,﻿jam_peterson_001,﻿Rev.,﻿James Peterson,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0018,﻿church,﻿St. Joseph's,English,,,,,,﻿Eastport,﻿Eastport,﻿ME,,44.906191,-66.989978,,,,﻿t_j_durin_001,﻿Rev.,﻿T. J. Durin,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0019,﻿church,not recorded,English,,,,,,﻿Ellsworth,﻿Ellsworth,﻿ME,,44.54341,-68.419464,,,,﻿joh_imasso_001,﻿Rev.,﻿John Imasso,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0020,﻿church,not recorded,English,,,,,,﻿Frankfort,﻿Frankfort,﻿ME,,44.608673,-68.874463,,,,﻿joh_imasso_001,﻿Rev.,﻿John Imasso,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0021,﻿church,﻿St. Mary's,English,,,,,,﻿Gardiner,﻿Gardiner,﻿ME,,44.23007,-69.775322,,,,﻿cha_egan_001,﻿Rev.,﻿Charles Egan,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0022,﻿church,﻿St. Mary's,English,,,,,,﻿Houlton,﻿Houlton,﻿ME,,46.125272,-67.826493,,,,﻿joh_brady_003,﻿Rev.,﻿John Brady,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0023,﻿church,﻿St. Ann's,English,,,,,,﻿Indiantown,﻿Indian Island,﻿ME,,44.94272,-68.652268,,,,﻿eug_vetromile_001,﻿Rev.,﻿E. Vetromile,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0024,﻿church,not recorded,English,,,,,,﻿Kennebunk,﻿Kennebunk,﻿ME,,43.384531,-70.54399,,,,﻿eug_müller_001,﻿Rev.,﻿Eugene Müller,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0025,﻿church,﻿St. John's,English,,,,,,﻿Lewiston,﻿Lewiston,﻿ME,,44.100351,-70.214776,,,,﻿mic_lucey_001,﻿Rev.,﻿Michael Lucey,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0026,﻿church,not recorded,English,,,,,,﻿Lubec,﻿Lubec,﻿ME,,44.858586,-66.983591,﻿por.me.0018,﻿attended from Eastport,,,,,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0027,﻿church,﻿St. Mary's,English,,,,,,﻿Machias,﻿Machias,﻿ME,,44.715079,-67.461376,,,,﻿joh_sullivan_001,﻿Rev.,﻿John Sullivan,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0028,﻿church,﻿St. Mary's,English,,,,,,﻿Oldtown,﻿Old Town,﻿ME,,44.934235,-68.645309,,,,﻿j_b_nycolin_001,﻿Rev.,﻿J. B. Nycolin,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0029,﻿mission,"﻿""Indian Mission""",English,,,,,,﻿Oldtown,﻿Old Town,﻿ME,,44.934127,-68.64548,,,,﻿eug_vetromile_001,﻿Rev.,﻿Eug. Vetromile,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0029,﻿mission,"﻿""Indian Mission""",English,,,,,,﻿Oldtown,﻿Old Town,﻿ME,,44.934127,-68.64548,,,,﻿j_b_nycolin_001,﻿Rev.,﻿J. B. Nycolin,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0030,﻿church,not recorded,English,,,,,,﻿Orono,﻿Orono,﻿ME,,44.883113,-68.671941,,,,﻿f_c_mussaers_001,﻿Rev.,﻿F. Clement Mussaers,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0031,﻿church,﻿St. John's,English,,,,,,﻿Pembroke,﻿Pembroke,﻿ME,,44.953689,-67.161929,,,,﻿j_t_durnin_001,﻿Rev.,﻿J. T. Durnin,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0032,﻿church,not recorded,English,,,,,,﻿Pleasant Point,﻿Pleasant Point,﻿ME,,44.957301,-67.042202,,,,﻿eug_vetromile_001,﻿Rev.,﻿Eug. Vetromile,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0033,﻿church,not recorded,English,,,,,,﻿Robbinstown,﻿Robbinstown,﻿ME,,45.078132,-67.109428,,,,﻿w_m_murphy_001,﻿Rev.,﻿W. M. Murphy,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0034,﻿church,﻿St. David's,English,,,,,,﻿Rockland,﻿Rockland,﻿ME,,44.102745,-69.118475,,,,﻿lou_lhiver_001,﻿Rev.,﻿Louis l'Hiver,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0035,﻿church,not recorded,English,,,,,,﻿Skowbegan,﻿Skowhegan,﻿ME,,44.765037,-69.71938,,,,﻿f_picart_001,﻿Rev.,﻿F. Picart,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0036,﻿church,not recorded,English,,,,,,﻿Thomaston,﻿Thomaston,﻿ME,,44.078957,-69.181695,,,,﻿lou_lhiver_001,﻿Rev.,﻿Louis l'Hiver,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0037,﻿church,not recorded,English,,,,,,﻿Trescott,﻿Trescott,﻿ME,,44.769247,-67.07415,,,,﻿joh_sullivan_001,﻿Rev.,﻿John Sullivan,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0038,﻿church,﻿St. Francis of Sales',English,,,,,,﻿Waterville,﻿Waterville,﻿ME,,44.549969,-69.634137,,,,﻿f_picart_001,﻿Rev.,﻿F. Picart,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0080,﻿church,﻿St. Denis',English,,,,,,﻿Whitefield,,﻿ME,,44.22862655,-69.61370611,,,,﻿jam_peterson_001,﻿Rev.,﻿James Peterson,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0081,﻿church,not recorded,English,,,,,,﻿Vassalboro,,﻿ME,,,,,,,﻿f_picart_001,﻿Rev.,﻿F. Picart,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0041,﻿church,﻿St. Mary's,English,,,,,,﻿Claremont,,﻿NH,,43.374179,-72.341776,,,,﻿wm_herbert_001,﻿Rev.,﻿Wm. Herbert,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0042,﻿church,not recorded,English,,,,,,﻿Columbia,﻿Columbia,﻿NH,,44.851992,-71.551753,,,,﻿isi_noiseux_001,﻿Rev.,﻿Isidore Noiseux,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
﻿por.me.0043,﻿church,not recorded,English,,,,,,﻿Concord,﻿Concord,﻿NH,,43.208137,-71.537572,,,,﻿joh_e_barry_001,﻿Rev.,﻿John Barry,,,,,,,,1869,﻿,﻿,﻿Portland,Portland
