instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sanf.ca.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont streets,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.792652,-122.405867,,,,﻿jos_s_alemany_001,﻿Most Rev.,﻿Joseph S. Alemany,﻿D.D.,,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont streets,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.792652,-122.405867,,,,﻿jam_crooke_001,﻿Very Rev.,﻿James Croke,﻿V.G.,﻿Rector,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont streets,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.792652,-122.405867,,,,﻿joh_hodges_001,﻿Rev.,﻿John Hodges,,﻿Pro-Secretary of Archbishop,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont streets,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.792652,-122.405867,,,,﻿tho_fagan_002,﻿Rev.,﻿Thomas Fagan,,﻿Assistant Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0001,﻿cathedral,﻿St. Mary's Cathedral,English,,﻿corner of California and Dupont streets,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.792652,-122.405867,,,,﻿sam_doherty_001,﻿Rev.,﻿Samuel Doherty,,﻿Assistant Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0002,﻿church,﻿St. Francis' Mission,English,,,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.764324,-122.427032,,,,﻿joh_j_prendergast_001,﻿Very Rev.,﻿Jno. J. Prendergast,,﻿Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0002,﻿church,﻿St. Francis' Mission,English,,,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.764324,-122.427032,,,,﻿tho_cushing_001,﻿Rev.,﻿Thomas Cushing,,﻿Assistant Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0003,﻿church,﻿St. Francis of Assium,﻿Spanish,﻿sermon in Spanish at 8 1/2 o'clock,﻿Vallejo sreet,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.798964,-122.407721,,,,﻿jam_s_cotter_001,﻿Rev.,﻿James S. Cotter,,﻿Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0003,﻿church,﻿St. Francis of Assium,﻿Spanish,﻿sermon in Spanish at 8 1/2 o'clock,﻿Vallejo sreet,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.798964,-122.407721,,,,﻿jam_cassin_001,﻿Rev.,﻿James Cassin,,﻿Assistant Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0003,﻿church,﻿St. Francis of Assium,﻿Spanish,﻿sermon in Spanish at 8 1/2 o'clock,﻿Vallejo sreet,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.798964,-122.407721,,,,﻿tho_cian_001,﻿Rev.,﻿Thomas Cian,,﻿Assistant Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0004,﻿church,﻿St. Patrick's,English,,﻿Market st.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.785588,-122.403508,,,,﻿pet_j_grey_001,﻿Rev.,﻿Peter J. Grey,,﻿Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0004,﻿church,﻿St. Patrick's,English,,﻿Market st.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.785588,-122.403508,,,,﻿mic_kling_001,﻿Rev.,﻿Michael King,,﻿Assistant Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0005,﻿church,﻿St. Ignatius',English,,﻿Market st.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.784929,-122.406863,,,,﻿n_congiato_001,﻿Very Rev.,﻿N. Congiato,﻿S.J.,﻿Pastor,﻿and others of thes same Society,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0006,﻿church,﻿Notre Dame des Victoires,﻿French,,﻿Bush st.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.79059,-122.406449,,,,﻿joh_molinier_001,﻿Rev.,﻿John Molinier,,﻿Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0006,﻿church,﻿Notre Dame des Victoires,﻿French,,﻿Bush st.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.79059,-122.406449,,,,﻿m_reynaut_001,﻿Rev.,﻿M. Reynaut,,﻿Assistant Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0007,﻿church,﻿St. Boniface,English,,﻿Sutter st.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.78167,-122.413081,,,,﻿seb_wolf_001,﻿Rev.,﻿Sebastian Wolfe,,﻿Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0007,﻿church,﻿St. Boniface,English,,﻿Sutter st.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.78167,-122.413081,,,,﻿and_andolshek_001,﻿Rev.,﻿Andrew Andolshek,,﻿Assistant Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0008,﻿church,﻿St. Joseph's,English,,﻿corner of Tenth and Howard sts.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.773751,-122.414434,,,,﻿hug_p_gallagher_001,﻿Rev.,﻿Hugh P. Gallagher,,﻿Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0010,﻿church,﻿St. Bridget's,English,﻿church in progress of construction,﻿corner of Vanness and Pacific sts.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.795523,-122.423631,,,,﻿fra_s_villarrasa_001,﻿Very Rev.,﻿Francis S. Villarasa,﻿O.P.,﻿Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0010,﻿church,﻿St. Bridget's,English,﻿church in progress of construction,﻿corner of Vanness and Pacific sts.,,,﻿County of San Francisco,﻿San Francisco,﻿San Francisco,﻿CA,,37.795523,-122.423631,,,,﻿jam_h_aerden_001,﻿Rev.,﻿A. H. Aerden,﻿O.P.,﻿Assistant Pastor,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0014,﻿church,﻿St. Michael's,English,,,,﻿Calaveras County,﻿Calaveras County,﻿Angels,﻿City of Angels,﻿CA,,38.067783,-120.53853,﻿sanf.ca.0053,﻿attended from San Andreas,,,,,,,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0015,﻿church,﻿St. Theresa's,English,,,,﻿Placer County,﻿Placer County,﻿Auburn,﻿Auburn,﻿CA,,38.933558,-121.100354,,﻿attended from Sacramento,,,,,,,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0123,﻿church,not recorded,English,,,,﻿Esmeralda County,﻿Esmeralda County,﻿Aurora,﻿Aurora,﻿NV,,,,﻿sanf.ca.0022,﻿attended from Columbia,,,,,,,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0016,﻿church,﻿St. Dominic's,English,,,,﻿Solano County,﻿Solano County,﻿Benicia,﻿Benicia,﻿CA,,38.048267,-122.150216,,,,﻿vin_vinyes_001,﻿Rev.,﻿Vincent Vinyes,﻿O.P.,﻿Pastor,﻿and others,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0017,﻿church,﻿Mount Carmel,English,,,,﻿Tuolumne County,﻿Tuolumne County,﻿Big Oak Flat,﻿Groveland-Big Oak Flat,﻿CA,,37.826033,-120.25519,﻿sanf.ca.0068,﻿attended from Sonora,,,,,,,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0018,﻿church,﻿St. Teresa's,English,,,,﻿Sonoma County,﻿Sonoma County,﻿Bodega,﻿Bodega,﻿CA,,38.345433,-122.973826,﻿sanf.ca.0075,﻿attended from Tomales,,,,,,,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
﻿sanf.ca.0019,﻿church,﻿St. Martin's,English,,,,﻿Amador County,﻿Amador County,﻿Butte City,﻿Butte City,﻿CA,,38.325762,-120.737048,﻿sanf.ca.0077,﻿attended from Volcano,,,,,,,,,,,,1864,﻿,﻿,﻿San Francisco,SanFrancisco
