instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persRole,persSuffix,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿j_b_lamy_001,﻿Rt. Rev.,﻿J. B. Lamy,,﻿D.D.,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿jp_macheboeuf_002,﻿Very. Rev.,﻿Joseph Profectus Machebeuf,,﻿V.G.,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿pet_eguillon_001,﻿Very. Rev.,﻿Peter Eguillon,﻿Rector,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿pet_martin_001,﻿Rev.,﻿Peter Martin,﻿Assistant,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0001,﻿cathedral,﻿Cathedral of San Francisco de Assis,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.686616,-105.936468,,,,﻿jb_raverdy_002,﻿Rev.,﻿John Raverdie,﻿Assistant,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0002,﻿chapel,﻿Chapel of Nuestra Señora del Rosario,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.694414,-105.947463,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0003,﻿chapel,﻿Chapel of Na. Senora de Guadelupe,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.68691,-105.944978,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0004,﻿chapel,﻿Chapel of San Miguel,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.683511,-105.937693,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0005,﻿chapel,﻿Chapel of Na. Señora de la Luz,English,,,﻿Santa Fé,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,35.674809,-105.915497,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0006,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Aguafria,﻿Aguafria,﻿NM,,35.658339,-106.01428,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0007,﻿chapel,﻿Chapel of San José,English,,,﻿Santa Fé,,,﻿Cienega,﻿Cienega,﻿NM,,35.563995,-106.122801,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0008,﻿chapel,﻿Chapel of N. Sen. de los Remedios,English,,,﻿Santa Fé,,,﻿Galisteo,﻿Galisteo,﻿NM,,35.395378,-105.94695,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0009,﻿chapel,﻿Chapel of N. Sen. de los Angeles,English,,,﻿Santa Fé,,,﻿Pecos,﻿Pecos,﻿NM,,35.549994,-105.689158,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0219,﻿chapel,not recorded,English,,,﻿Peña Blanca,,,﻿Placer de Dolores,,﻿NM,,,,,﻿Attended from Santo Domingo,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0124,﻿chapel,﻿Chapel of San Buenaventura,English,,,﻿Peña Blanca,,,﻿Placer de San Francisco,,﻿NM,,34.972731,-105.032363,,﻿Attended from Santo Domingo,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0010,﻿chapel,﻿Chapel of San Isidro,English,,,﻿Santa Fé,,,﻿Rio Tesuque,﻿Tesuque,﻿NM,,35.757876,-105.924082,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0011,﻿chapel,﻿Chapel of San Diego,English,﻿Pueblo Indians,,﻿Santa Fé,,,﻿Tesque,﻿Tesuque Pueblo,﻿NM,,35.82501,-105.978414,﻿san.nm.0001,﻿Attended by the clergy of the Cathedral,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0013,﻿church,﻿Santa Rosa's Chapel,English,,,﻿Abiquiu,,,﻿Abiquiu,﻿Abiquiu,﻿NM,,36.209999,-106.290624,,,,﻿ram_salazar_001,﻿Rev.,﻿Ramon Salazar,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0014,﻿chapel,not recorded,English,﻿fine church,,﻿Abiquiu,,,﻿El Rito,﻿El Rito,﻿NM,,,,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0233,﻿chapel,not recorded,English,,,﻿Abiquiu,,,﻿San Juan Nepomuceno,,﻿NM,,,,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0015,﻿chapel,not recorded,English,,,﻿Abiquiu,,,﻿Los Ancones,﻿Ancones,﻿NM,,36.423908,-106.063076,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0016,﻿chapel,not recorded,English,,,﻿Abiquiu,,,﻿Servieta,,﻿NM,,36.553302,-105.935549,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0017,﻿chapel,﻿Chapel of N. Sen. de Guadalupe,English,,,﻿Abiquiu,,,﻿El Jo Caliente,﻿Ojo Caliente,﻿NM,,,,﻿san.nm.0012,﻿Attended from Abiquiu,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0022,﻿church,﻿Parish Church of San Felipe de Neri,English,,,﻿Albuquerque,,,﻿Albuquerque,﻿Albuquerque,﻿NM,,35.096779,-106.670085,,,,﻿jos_m_courdet_001,﻿Rev.,﻿Joseph M. Courdet,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0023,﻿chapel,﻿Chapel of San José,English,,,﻿Albuquerque,,,﻿Ranchos de Albuq.,﻿Los Ranchos de Albuquerque,﻿NM,,35.161989,-106.642804,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0024,﻿chapel,﻿Chapel of Na. Sen. de Carmel,English,,,﻿Albuquerque,,,﻿El Rancho,﻿Albuquerque,﻿NM,,35.168856,-106.617979,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0025,﻿chapel,﻿Chapel of La Natividad,English,,,﻿Albuquerque,,,﻿Lalameda,﻿Alameda,﻿NM,,34.972731,-105.032363,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0026,﻿chapel,﻿San Antonio's Chapel,English,,,﻿Albuquerque,,,﻿San Antonio,﻿San Antonio,﻿NM,,34.972731,-105.032363,﻿san.nm.0022,﻿Attended from Albuquerque,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
