instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.073357,-81.090983,,,,﻿aug_vérot_001,﻿Rt. Rev.,﻿Augustin Vérot,﻿D.D.,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.073357,-81.090983,,,,﻿jer_f_oneill_001,﻿Very Rev.,﻿J. F. O'Neill,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.073357,-81.090983,,,,﻿p_whelan_001,﻿Rev.,﻿P. Whelan,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.073357,-81.090983,,,,﻿wil_j_hamilton_001,﻿Rev.,﻿W. J. Hamilton,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.073357,-81.090983,,,,﻿a_tanquerai_001,﻿Rev.,﻿A. Tanquerai,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0001,﻿cathedral,﻿Cathedral of St. John the Baptist,English,﻿Residence of the Bishop,﻿corner of Perry and Drayton streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.073357,-81.090983,,,,﻿joh_bertazzi_001,﻿Rev.,﻿John Bertazzi,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0002,﻿church,﻿St. Patrick's,English,﻿Residence of the Pastor,﻿corner of Liberty and West Broad streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.074525,-81.093911,,,,﻿pet_dufau_001,﻿Very Rev.,﻿Peter Dufau,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0002,﻿church,﻿St. Patrick's,English,﻿Residence of the Pastor,﻿corner of Liberty and West Broad streets,,,﻿Chatham County,﻿Savannah,﻿Savannah,﻿GA,,32.074525,-81.093911,,,,﻿cc_prendergast_001,﻿Rev.,﻿C.C. Prendergast,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿the largest and finest in the State, finished and consecrated during the war, April 12, 1863",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.471517,-81.966793,,,,﻿gre_duggan_001,﻿Rev.,﻿G. Duggan,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿the largest and finest in the State, finished and consecrated during the war, April 12, 1863",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.471517,-81.966793,,,,﻿joh_kirby_001,﻿Rev.,﻿John Kirby,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0003,﻿church,﻿Church of the Most Holy Trinity,English,"﻿the largest and finest in the State, finished and consecrated during the war, April 12, 1863",,,,,﻿Augusta,﻿Augusta,﻿GA,,33.471517,-81.966793,,,,﻿jam_ohara_002,﻿Rev.,﻿James O'Hara,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0004,﻿church,﻿Church of the Assumption,English,,,,,,﻿Macon,﻿Macon,﻿GA,,32.840695,-83.632402,,,,﻿lou_bazin_001,﻿Rev.,﻿Louis Bazin,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
﻿sav.ga.0005,﻿church,﻿Church of the Immaculate Conception,English,"﻿The city of Atlanta has suffered awfully from the war, but the Church was providentially saved, and the Catholics are returning fast to their homes.",,,,,﻿Atlanta,﻿Atlanta,﻿GA,,33.748752,-84.387684,,,,﻿tho_oreilly_001,﻿Rev.,﻿Thomas O'Reilly,,,,,,,,1869,﻿,﻿,﻿Savannah,Savannah
