instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stj.mo.0036,﻿cathedral,﻿St. Joseph's,English,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿St. Joseph,﻿MO,,39.770785,-94.848099,,,,﻿jj_hogan_001,﻿Rt. Rev.,﻿J.J. Hogan,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0036,﻿cathedral,﻿St. Joseph's,English,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿St. Joseph,﻿MO,,39.770785,-94.848099,,,,﻿j_doherty_001,﻿Rev.,﻿James Doherty,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0036,﻿cathedral,﻿St. Joseph's,English,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿St. Joseph,﻿MO,,39.770785,-94.848099,,,,﻿eug_kenny_001,﻿Rev.,﻿Eugene Kenny,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0037,﻿church,﻿Immaculate Conception,﻿German,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿St. Joseph,﻿MO,,39.762494,-94.847465,,,,﻿geo_hartman_001,﻿Rev.,﻿George Hartman,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0014,﻿church,not recorded,﻿German,﻿church not dedicated,,,﻿Buchanan County,﻿Buchanan County,﻿Easton,﻿Easton,﻿MO,,39.718936,-94.700484,,,,﻿a_j_abel_001,﻿Rev.,﻿A. J. Abel,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0030,﻿church,not recorded,﻿German,﻿church not dedicated,,,﻿Clinton County,﻿Clinton County,﻿Plattsburg,﻿Plattsburg,﻿MO,,39.565555,-94.448006,﻿stj.mo.0014,﻿attended from Easton,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0012,﻿church,﻿St. Columba's,English,,﻿(Guilford P.O.),,﻿Nodaway County,﻿Nodaway County,﻿Conception,﻿Conception,﻿MO,,40.290728,-94.810595,,,,﻿jam_power_001,﻿Rev.,﻿James Power,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0025,﻿church,not recorded,English,﻿church not dedicated,,,﻿Nodaway County,﻿Nodaway County,﻿Maryville,﻿Maryville,﻿MO,,40.346102,-94.872471,﻿stj.mo.0012,﻿attended from Conception,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0024,﻿church,not recorded,English,,,,﻿Clay County,﻿Clay County,﻿Liberty,﻿Liberty,﻿MO,,39.240763,-94.45489,,,,﻿tho_ledwith_001,﻿Rev.,﻿Thomas Ledwith,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0011,﻿church,﻿St. Munchin's,English,,,,﻿Clinton County,﻿Clinton County,﻿Cameron,﻿Cameron,﻿MO,,39.74028,-94.241057,﻿stj.mo.0024,﻿attended from Liberty,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0008,﻿church,not recorded,English,,,,﻿Carroll County,﻿Carroll County,﻿Carrollton,﻿Carrollton,﻿MO,,39.355839,-93.493185,,,,﻿ric_nagle_001,﻿Rev.,﻿Richard Nagle,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0007,﻿church,not recorded,English,,,,﻿Chariton County,﻿Chariton County,﻿Brunswick,﻿Brunswick,﻿MO,,39.423358,-93.130478,﻿stj.mo.0008,﻿attended from Carrollton,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0051,﻿church,not recorded,﻿German,,,,﻿Platte County,﻿Platte County,﻿Weston,﻿Weston,﻿MO,,39.767458,-94.846681,,,,﻿cha_linnenkamp_001,﻿Rev.,﻿C. Linnenkamp,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0010,﻿church,﻿St. Columbans',English,,,,﻿Livingston County,﻿Livingston County,﻿Chillicothe,﻿Chillicothe,﻿MO,,39.798697,-93.549019,,,,﻿rs_tucker_001,﻿Rev.,﻿Robert S. Tucker,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0002,﻿church,not recorded,English,,,,﻿Linn County,﻿Linn County,﻿Brookfield,﻿Brookfield,﻿MO,,39.784469,-93.073535,﻿stj.mo.0010,﻿attended from Chillicothe,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0003,﻿church,﻿St. Bridget's,English,,,,﻿Linn County,﻿Linn County,﻿Bucklin,﻿Bucklin,﻿MO,,39.781693,-92.890196,,,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0033,﻿church,not recorded,English,,,,﻿Ray County,﻿Ray County,﻿Richmond,﻿Richmond,﻿MO,,39.278622,-93.976888,﻿stj.mo.0008,﻿attended from Carrollton,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
