instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lit.ar.0003,﻿church,not recorded,English,,,,,﻿Arkansas County,﻿Arkansas Post,﻿Gillett,﻿AR,﻿AR,34.01382102,-91.34448215,,,,﻿enn_dupuy_901,﻿Rev.,﻿A. Dupuy,,,,,,,,1833,﻿https://www.nps.gov/arpo/learn/historyculture/index.htm ; https://home.nps.gov/arpo/learn/historyculture/arpo-timeline-4-decline.htm ; last list shows that this church in Arkansas Post was a short-lived effort,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿French and English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.64254815,-90.25465453,,,,﻿jos_rosati_901,﻿Right Rev.,﻿Joseph Rosati,﻿D. D.,,,,,,,1833,,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.0002,﻿church,﻿St. Mary's Chapel,English,﻿Mass and Sermon at 9 for the coloured people. After Vespers every Sunday the members of the Fraternity of the Sacred Heart meet here.,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.61803323,-90.190557,,,,﻿#REF!,,,,,,,,,,1833,"﻿Possibly this one? Says that is was officially started after the 1833 almanac came out; however, it did say there was a catholic community being served there before the church was constructed: https://www.smov.info/index.php?option=com_content&view=article&id=346&Itemid=686",,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9000,﻿church,﻿Church of our Lady of Mount Carmel,﻿French,﻿Commonly called Vide-Poche. Service three Sundays in the month.,,,﻿St. Louis County,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,﻿MO,38.5579011,-90.24998076,,,,﻿e_saulnier_001,﻿Rev.,﻿E. Saulnier,,,,,,,,1833,,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9001,﻿church,not recorded,English,,,,﻿St. Charles County,﻿St. Charles County,﻿Dardenne,﻿Dardenne Prairie,﻿MO,﻿MO,38.75765244,-90.74398902,,,,﻿fel_l_verreydt_001,﻿Rev.,﻿Levin Verreight,,,﻿This Gentleman attends a very large mission in the Upper Counties of the State,,,,,1833,"﻿https://en.wikipedia.org/wiki/Dardenne_Prairie,_Missouri ; https://genealogytrails.com/mo/stcharles/hist_towns.htm ; These sources say that the present church did not open until 1880, so it is hard to say where this church actually was",,,﻿,﻿,StLouis,StLouis
﻿stl.mo.0062,﻿church,﻿St. Ferdinand's Church,﻿French and English,,,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.80672647,-90.35444261,,,,﻿jud_f_van-assche_001,﻿Rev.,﻿Judocus Van Assche,,,,,,,,1833,﻿https://www.stferdinandstl.org/history,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.0066,﻿church,﻿St. Michael's,﻿English and French,,,,﻿Madison County,﻿Madison County,﻿Fredericktown,﻿Fredericktown,﻿MO,﻿MO,37.56005085,-90.29888383,,,,﻿fra_cellini_901,﻿Rev.,﻿Francis Cellini,,,,,,,,1833,﻿https://stmichaelfredericktown.com/history,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.9002,﻿church,﻿St. Peter's Church,﻿Once a month English Sermon,,,,,﻿Morgan County,﻿Gravois,﻿Gravois Mill,﻿MO,﻿MO,38.30918822,-92.82273654,,,,﻿e_saulnier_001,﻿Rev.,﻿E. Saulnier,,,,,,,,1833,,,,﻿,﻿,StLouis,StLouis
﻿stl.mo.0103,﻿church,not recorded,﻿English and French,,,,,﻿New Madrid County,﻿New Madrid,﻿New Madrid,﻿MO,﻿MO,36.58754291,-89.5288075,,,,﻿vic_paillasson_901,﻿Rev.,﻿V. Paillasson,,,,,,,,1833,"﻿https://icnewmadrid.com/church-history ; 1833 almanac mentions no name for the church, but the 1860s/70s almanacs mention a St. John. The church site says that said church(es) came after the war. This means that this one in the 1833 almanac is likely the precursor.",,,﻿,﻿,StLouis,StLouis
﻿stl.mo.0106,﻿church,﻿St. Joachim,﻿French and English,,,,﻿Washington County,﻿Washington County,﻿Old Mines,﻿Cadet,﻿MO,﻿MO,38.01610185,-90.75673622,,,,﻿joh_bouillier_901,﻿Rev.,﻿J. Bouillier,,,,,,,,1833,﻿http://www.oldmines.org/church.html ; https://stjoachim.org/,,,﻿,﻿,StLouis,StLouis
