instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,﻿The Clergy of the College assist at the Cathedral.,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.642548,-90.254655,,,,﻿jos_rosati_901,﻿Right Rev.,﻿Joseph Rosati,﻿D. D.,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,﻿The Clergy of the College assist at the Cathedral.,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.642548,-90.254655,,,,﻿phi_borgna_901,﻿Very Rev.,﻿Philip Borgna,,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral,﻿English and French,﻿The Clergy of the College assist at the Cathedral.,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.642548,-90.254655,,,,﻿jos_a_lutz_901,﻿Rev.,﻿Joseph A. Lutz,,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0002,﻿church,﻿St. Mary's Chapel,English,"﻿Mass and Sermon at 9 o'clock, for coloured people. After Vespers every Sunday, the members of the Fraternity of the Rosary meet here.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.618033,-90.190557,,﻿Attended from the Cathedral,,,,,,,,,,,,1835,"﻿Possibly this one? Says that is was officially started after the 1833 almanac came out; however, it did say there was a catholic community being served there before the church was constructed: https://www.smov.info/index.php?option=com_content&view=article&id=346&Itemid=686",,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9000,﻿church,﻿Church of our Lady of Mount Carmel,﻿French,﻿Commonly called Vide-Poche,,,﻿St. Louis County,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,﻿MO,38.557901,-90.249981,,,,﻿e_saulnier_001,﻿Rev.,﻿E. Saulnier,,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9001,﻿church,﻿St. Peter's,English,,,,﻿St. Charles County,﻿St. Charles County,﻿Dardennes,﻿Dardenne Prairie,﻿MO,﻿MO,38.757652,-90.743989,,,,﻿fel_l_verreydt_001,﻿Rev.,﻿Levin Verreydt,,,﻿This Gentleman attends a very large mission in the Upper Counties of the State,,,,,1835,"﻿https://en.wikipedia.org/wiki/Dardenne_Prairie,_Missouri ; https://genealogytrails.com/mo/stcharles/hist_towns.htm ; These sources say that the present church did not open until 1880, so it is hard to say where this church actually was",,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0062,﻿church,﻿St. Ferdinand's,﻿French and English,,,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.795224,-90.327202,,,,﻿jud_f_van-assche_001,﻿Rev.,﻿Judocus Van Assche,,,,,,,,1835,﻿https://www.stferdinandstl.org/history,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0066,﻿church,﻿St. Michael's,﻿English and French,,,,﻿Madison County,﻿Madison County,﻿Fredericktown,﻿Fredericktown,﻿MO,﻿MO,37.560051,-90.298884,,,,﻿fra_cellini_901,﻿Rev.,﻿Francis Cellini,,,,,,,,1835,﻿https://stmichaelfredericktown.com/history,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0066,﻿church,﻿St. Michael's,﻿English and French,,,,﻿Madison County,﻿Madison County,﻿Fredericktown,﻿Fredericktown,﻿MO,,37.560051,-90.298884,,,,﻿l_tucker_001,﻿Rev.,﻿Lewis Tucker,,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9002,﻿church,﻿St. Peter's Church,﻿English and French,﻿once a month,,,,﻿Morgan County,﻿Gravois,﻿Gravois Mill,﻿MO,﻿MO,38.309188,-92.822737,,,,﻿phi_borgna_901,﻿Very Rev.,﻿Philip Borgna,,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9014,﻿church,not recorded,English,,,,﻿Jackson County,﻿Jackson County,﻿Indepenedence,﻿Indepenedence,﻿MO,﻿MO,39.0965001,-94.41741537,,,,﻿ben_roux_901,﻿Rev.,﻿Ben Roux,,,,,,,,1835,﻿https://saintmarysparish.org/archives/,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9015,﻿church,not recorded,English,,,,﻿Clay County,﻿Clay County,﻿Liberty,﻿Liberty,﻿MO,﻿MO,39.25092628,-94.4212963,,,,﻿ben_roux_901,﻿Rev.,﻿Ben Roux,,,,,,,,1835,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0103,﻿church,﻿St. John Baptist,﻿English and French,,,,,﻿New Madrid County,﻿New Madrid,﻿New Madrid,﻿MO,﻿MO,36.587543,-89.528807,,,,﻿vic_paillasson_901,﻿Rev.,﻿V. Paillasson,,,,,,,,1835,"﻿https://icnewmadrid.com/church-history ; 1833 almanac mentions no name for the church, but the 1860s/70s almanacs mention a St. John. The church site says that said church(es) came after the war. This means that this one in the 1833 almanac is likely the precursor.",,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0106,﻿church,﻿St. Joachim,﻿French and English,,,,﻿Washington County,﻿Washington County,﻿Old Mines,﻿Cadet,﻿MO,﻿MO,38.016102,-90.756736,,,,﻿joh_bouillier_901,﻿Rev.,﻿J. Bouillier,,,,,,,,1835,﻿http://www.oldmines.org/church.html ; https://stjoachim.org/,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0114,﻿church,﻿St. Francis,English,﻿once a month,,,﻿St. Louis County,﻿St. Charles County,﻿Portage des Sioux,﻿Portage des Sioux,﻿MO,﻿MO,38.925637,-90.344537,,,,﻿cha_van-quickenborne_901,﻿Rev.,﻿Charles Vanquickenborne,,,,,,,,1835,"﻿https://en.wikipedia.org/wiki/Portage_Des_Sioux,_Missouri",,,﻿,﻿,﻿St. Louis,StLouis
