instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.64254815,-90.25465453,,,,﻿jos_rosati_901,﻿Right Rev.,﻿Joseph Rosati,﻿D. D.,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,﻿phi_borgna_901,﻿Very Rev.,﻿Philip Borgna,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,﻿jos_a_lutz_901,﻿Rev.,﻿Joseph A. Lutz,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿church,﻿Cathedral of St. Louis,﻿English and French,"﻿On Sunday, besides the high Mass at 10 o'clock, at which there is an English and a French sermon alternately, there is Mass and a sermon in the German language at 9 o'clock. After Vespers, there is a meeting of the Confraternity of the Rosary.",,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.64254815,-90.25465453,,,,﻿jam_fontbonne_901,﻿Rev.,﻿James Fontbonne,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0046,﻿church,﻿St. Vincent's,﻿English,,,,﻿Cape Girardeau County,,﻿Cape Girardeau,﻿Cape Girardeau,﻿MO,,,,,,,﻿joh_m_odin_001,﻿Rev.,﻿John Odin,﻿O.M.,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9000,﻿church,﻿Church of our Lady of Mt. Carmel,﻿French,﻿Commonly called Vide-Poche.,,,﻿St. Louis County,﻿St. Louis County,﻿Carondelet,﻿St. Louis,﻿MO,﻿MO,38.5579011,-90.24998076,,,,﻿e_saulnier_001,﻿Rev.,﻿E. Saulnier,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9001,﻿church,not recorded,English,,,,﻿St. Charles County,﻿St. Charles County,﻿Dardennes,﻿Dardenne Prairie,﻿MO,﻿MO,38.75765244,-90.74398902,,,,﻿g_walters_901,﻿Rev.,﻿G. Walters,﻿S.J.,,﻿This Gentleman attends a very large mission in the Upper Counties of the State,,,,,1837,"﻿https://en.wikipedia.org/wiki/Dardenne_Prairie,_Missouri ; https://genealogytrails.com/mo/stcharles/hist_towns.htm ; These sources say that the present church did not open until 1880, so it is hard to say where this church actually was",,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0062,﻿church,﻿St. Ferdinand's,﻿French and English,,,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.80672647,-90.35444261,,,,﻿jam_busschotts_001,﻿Rev.,﻿J. G. Buschotts,,,,,,,,1837,﻿https://www.stferdinandstl.org/history,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0066,﻿church,﻿St. Michael's,﻿French and English,,,,﻿Madison County,﻿Madison County,﻿Fredericktown,﻿Fredericktown,﻿MO,﻿MO,37.56005085,-90.29888383,,,,﻿fra_cellini_901,﻿Rev.,﻿F. Cellini,,,,,,,,1837,﻿https://stmichaelfredericktown.com/history,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9002,﻿church,﻿St. Peter's,English,,,,,﻿Morgan County,﻿Gravois,﻿Gravois Mill,﻿MO,﻿MO,38.30918822,-92.82273654,,,﻿[visited] once a month [by] Philip Borgna,﻿phi_borgna_901,﻿Very Rev.,﻿Philip Borgna,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0103,﻿church,﻿St. John the Baptist,English,,,,,﻿New Madrid County,﻿New Madrid,﻿New Madrid,﻿MO,﻿MO,36.58754291,-89.5288075,,﻿vacant,,,,,,,,,,,,1837,"﻿https://icnewmadrid.com/church-history ; 1833 almanac mentions no name for the church, but the 1860s/70s almanacs mention a St. John. The church site says that said church(es) came after the war. This means that this one in the 1833 almanac is likely the precursor.",,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0106,﻿church,﻿St. Joachim,English,,,,﻿Washington County,﻿Washington County,﻿Old Mines,﻿Cadet,﻿MO,﻿MO,38.01610185,-90.75673622,,,,﻿joh_bouillier_901,﻿Rev.,﻿J. Bouillier,,,,,,,,1837,﻿http://www.oldmines.org/church.html ; https://stjoachim.org/,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0106,﻿church,﻿St. Joachim,English,,,,﻿Washington County,﻿Washington County,﻿Old Mines,﻿Cadet,﻿MO,,38.01610185,-90.75673622,,,,﻿joh_brands_901,﻿Rev.,﻿John Brands,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0106,﻿church,﻿St. Joachim,English,,,,﻿Washington County,﻿Washington County,﻿Old Mines,﻿Cadet,﻿MO,,38.01610185,-90.75673622,,,,﻿p_doutreluigne_001,﻿Rev.,﻿Peter Doutreluigne,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0114,﻿church,﻿St. Francis,English,,,,﻿St. Louis County,﻿St. Charles County,﻿Portage des Sioux,﻿Portage des Sioux,﻿MO,﻿MO,38.92563742,-90.34453673,,,,﻿fel_l_verreydt_001,﻿Rev.,﻿L. Verreydt,,,,,,,,1837,"﻿https://en.wikipedia.org/wiki/Portage_Des_Sioux,_Missouri",,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0115,﻿church,﻿St. James,English,,,,,﻿Washington County,﻿Potosi Mines,﻿Potosi,﻿MO,﻿MO,37.93719027,-90.78632244,,,,﻿l_tucker_001,﻿Rev.,﻿L. Tucker,,,,,,,,1837,﻿https://www.mindat.org/photo-1373569.html ; https://www.stjames-potosi.org/our-parish/parish-history,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9022,﻿church,﻿St. Stephen's,English,,,,,,﻿Richwood,,﻿MO,,,,,,﻿attended from Old Mines,,,,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9003,﻿church,﻿St. Ann,English,,,,﻿St. Genevive County,,,,﻿MO,,,,,,﻿[visited] occasionally [by] F. X. Dahmen,﻿f_x_dahmen_901,﻿Rev.,﻿F. X. Dahmen,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9004,﻿church,﻿St. Charles,﻿English and French,,,,,,,,﻿MO,,,,,,,﻿jud_f_van-assche_001,﻿Rev.,﻿Judocus Vanassche,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0136,﻿church,﻿St. Genevieve,"﻿French, German, and sometimes English",,,,,﻿Sainte Genevieve County,﻿St. Genevieve,﻿St. Genevieve,﻿MO,﻿MO,37.97912503,-90.04695014,,,,﻿f_x_dahmen_901,﻿Rev.,﻿F. X. Dahmen,,,,,,,,1837,﻿https://www.stegenevieveparish.com/,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0037,﻿church,﻿St. Joseph's,English,,﻿Apple Creek settlement,,,﻿Perry County,,﻿Apple Creek,﻿MO,﻿MO,37.61339343,-89.75142333,,,,﻿reg_loisel_901,﻿Rev.,﻿R. Loisel,,,,,,,,1837,﻿https://www.archstl.org/parish/st-joseph-apple-creek/,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0135,﻿church,﻿St. Paul's,English,,,,﻿Ralls County,﻿Ralls County,﻿Salt River,﻿Center,﻿MO,﻿MO,39.50249701,-91.60618174,,,,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,"﻿also visits the following counties: Pike, Lincoln, Monroe, Marion, Lewis, Clarke and Shelby",,,,,1837,"﻿Source says the present church was built in 1860, but it stands to reason that if the record goes back this far, another structure stood here before the one still standing. Same name, same location: https://en.wikipedia.org/wiki/St._Paul_Catholic_Church_(Center,_Missouri)",,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9023,﻿church,not recorded,English,,,,﻿Pike County,,,,﻿MO,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9024,﻿church,not recorded,English,,,,﻿Lincoln County,,,,﻿MO,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9025,﻿church,not recorded,English,,,,﻿Monroe County,,,,﻿MO,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9026,﻿church,not recorded,English,,,,﻿Marion County,,,,﻿MO,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9027,﻿church,not recorded,English,,,,﻿Lewis County,,,,﻿MO,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9028,﻿church,not recorded,English,,,,﻿Clarke County,,,,﻿MO,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9029,﻿church,not recorded,English,,,,﻿Shelby County,,,,﻿MO,,,,,,﻿visited occasionally by Rev. P. Lefevre,﻿p_lefevre_901,﻿Rev.,﻿P. Lefevre,,,,,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9005,﻿church,﻿St. Mary's,English,"﻿The gentlemen of the Seminary in this place, attend several  stations in the lower counties",,,﻿Perry County,﻿Perry County,,﻿Perryville,﻿MO,﻿MO,37.72699742,-89.88981118,,,,﻿joh_brands_901,﻿Rev.,﻿John Brands,,,"﻿The Rev. gentlemen of the Seminary in this place, attend several stations in the lower counties.",,,,,1837,,,,,﻿,﻿,﻿St. Louis,StLouis
