instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.0001,﻿cathedral,﻿Cathedral of St. Louis,English,﻿residence adjoining,"﻿Walnut street, between Second and Third",,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.624168,-90.18726,,,,﻿e_schmulders_001,﻿Rev.,﻿E. Schmulders,﻿C.SS.R,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿cathedral,﻿Cathedral of St. Louis,English,﻿residence adjoining,"﻿Walnut street, between Second and Third",,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.624168,-90.18726,,,,﻿f_gerardey_001,﻿Rev.,﻿F. Gerardey,﻿C.SS.R,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0001,﻿cathedral,﻿Cathedral of St. Louis,English,﻿residence adjoining,"﻿Walnut street, between Second and Third",,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.624168,-90.18726,,,,﻿l_dold_001,﻿Rev.,﻿L. Dold,﻿C.SS.R,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0002,﻿church,﻿St. Mary's,﻿German,﻿residence adjoining,﻿Third and Mulberry,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.618053,-90.190589,,,,﻿j_melcher_001,﻿Very Rev.,﻿J. Melcher,,﻿V.G.,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0002,﻿church,﻿St. Mary's,﻿German,﻿residence adjoining,﻿Third and Mulberry,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.618053,-90.190589,,,,﻿h_muhlsiepen_001,﻿Rev.,﻿H. Muhlsiepen,,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0003,﻿church,﻿St. Francis Xavier's,English,﻿residence St. Louis University,﻿Ninth and Green streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.631688,-90.192434,,,,﻿mic_j_corbett_001,﻿Rev.,﻿Michael J. Corbett,﻿S.J.,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0003,﻿church,﻿St. Francis Xavier's,English,﻿residence St. Louis University,﻿Ninth and Green streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.631688,-90.192434,,,,﻿f_sautois_001,﻿Rev.,﻿F. Sautois,﻿S.J.,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0003,﻿church,﻿St. Francis Xavier's,English,﻿residence St. Louis University,﻿Ninth and Green streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.631688,-90.192434,,,,﻿f_p_garesché_001,﻿Rev.,﻿F. P. Garesché,﻿S.J.,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0003,﻿church,﻿St. Francis Xavier's,English,﻿residence St. Louis University,﻿Ninth and Green streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.631688,-90.192434,,,,﻿jam_m_converse_001,﻿Rev.,﻿James M. Converse,﻿S.J.,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0004,﻿church,﻿St. Patrick's,English,﻿residence adjoining,﻿Sixth and Biddle streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.635912,-90.187309,,,,﻿w_wheeler_001,﻿Rev.,﻿W. Wheeler,,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0004,﻿church,﻿St. Patrick's,English,﻿residence adjoining,﻿Sixth and Biddle streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.635912,-90.187309,,,,﻿ch_ziegler_001,﻿Rev.,﻿C. Ziegler,,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0004,﻿church,﻿St. Patrick's,English,﻿residence adjoining,﻿Sixth and Biddle streets,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.635912,-90.187309,,,,﻿r_tucker_001,﻿Rev.,﻿R. Tucker,,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0005,﻿church,﻿St. Michael's,English,﻿residence adjoining,﻿Jefferson street,,,,﻿St. Louis,﻿St. Louis,﻿MO,,38.647536,-90.191275,,,,﻿p_obrien_002,﻿Rev.,﻿P. O'Brien,,,,,,,,1867,﻿,﻿,﻿St. Louis,StLouis
