instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,temp,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,,﻿MN,,44.945918,-93.096646,,,,﻿tho_l_grace_001,﻿Right Rev.,﻿Thomas L. Grace,,,,,,,,1869,1.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,,﻿MN,,44.945918,-93.096646,,,,﻿a_ravoux_001,﻿Very Rev.,﻿A. Ravoux,,,,,,,,1869,2.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0001,﻿cathedral,﻿Cathedral of St. Paul,English,,,,﻿,﻿,﻿St. Paul,,﻿MN,,44.945918,-93.096646,,,,﻿joh_ireland_001,﻿Rev.,﻿John Ireland,,﻿Pastor of the Parish,,,,,,1869,3.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0002,﻿church,﻿Assumption Church,﻿German,﻿St. Joseph's Mutual Benevolent Society,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,,﻿MN,,44.948525,-93.099707,,,,﻿cle_staub_001,﻿Rev.,﻿Clement Staub,﻿O.S.B.,,,,,,,1869,4.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0002,﻿church,﻿Assumption Church,﻿German,﻿St. Joseph's Mutual Benevolent Society,,,﻿,﻿,﻿St. Paul,,﻿MN,,44.948525,-93.099707,,,,﻿ott_wirz_001,﻿Rev.,﻿Othman Wirz,﻿O.S.B.,,,,,,,1869,5.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0003,﻿church,﻿St. Mary's Church,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,,﻿MN,,44.954476,-93.084481,,,,﻿l_e_caillet_001,﻿Rev.,﻿L. Caillet,,,,,,,,1869,6.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0004,﻿church,﻿St. Louis' Church,﻿French,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,,﻿MN,,44.950171,-93.096596,,,,﻿a_schirmer_001,﻿Rev.,﻿A. Schmirer,,,,,,,,1869,7.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0005,﻿chapel,﻿Chapel of St. Joseph,English,,,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,,﻿MN,,44.94932,-93.115552,,,,﻿dem_marogna_001,﻿Rev.,﻿Demetrius Marogna,,,,,,,,1869,8.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0006,﻿church,﻿St. Michael's Church,English,,﻿West St. Paul,,﻿Ramsey County,﻿Ramsey County,﻿St. Paul,,﻿MN,,44.934918,-93.08212,﻿stp.mn.0001,﻿Attended from the Cathedral,,,,,,,,,,,,1869,9.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0007,﻿church,﻿St. John's Church,English,,,,,﻿Ramsey County,﻿New-Canada,,,,45.020585,-93.085248,,﻿,,﻿jos_goiffon_001,﻿Rev.,﻿J. Goiffon,,,,,,,,1869,10.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0070,﻿church,﻿Church of St. Anthony of Padua,﻿English,,,,﻿Hennepin County,﻿Hennepin County,﻿St. Anthony,,,,45.020891,-93.509457,,﻿,,﻿fel_tissot_001,﻿Rev.,﻿F. Tissot,,,,,,,,1869,11.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0071,﻿church,﻿St. Boniface,﻿German,,,,﻿Hennepin County,﻿Hennepin County,﻿St. Anthony,,,,45.020557,-93.217933,,﻿,,﻿jos_hilmer_001,﻿Rev.,﻿Joseph Hilmer,,,,,,,,1869,12.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0072,﻿church,not recorded,English,,,,﻿Hennepin County,﻿Hennepin County,﻿Minneapolis,,﻿MN,,44.977753,-93.265011,,﻿,,﻿jam_mcgolrick_001,﻿Rev.,﻿James McGolrick,,,,,,,,1869,13.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0073,﻿church,﻿Church of St. John the Baptist,English,,,,﻿Hennepin County,﻿Hennepin County,﻿Dayton,,,,45.24252,-93.514794,,﻿,,﻿pro_maurer_001,﻿Rev.,﻿Prosper Maurer,,,,,,,,1869,14.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0074,﻿church,﻿Church of St. Walburga,﻿German,,,,﻿Hennepin County,﻿Hennepin County,﻿Corcoran,,,,45.095242,-93.547458,﻿stp.mn.0174,﻿Visited by Rev. J. Koering,,,,,,,,,,,,1869,15.0,﻿,﻿,﻿St. Paul,StPaul
﻿stp.mn.0075,﻿church,﻿St. Mary,English,,,,﻿Hennepin County,﻿Hennepin County,﻿Corcoran,,,,45.095242,-93.547458,﻿stp.mn.0073,﻿Visited by Rev. Prosper Maurer,,,,,,,,,,,,1869,16.0,﻿,﻿,﻿St. Paul,StPaul
