instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿sta.fl.0001,﻿church,﻿Church of St. Augustine,English,,,,﻿St. John's County,,﻿St. Augustine,﻿Saint Augustine,﻿FL,,29.892184,-81.313931,,,,﻿edm_aubril_001,﻿Very Rev.,﻿Edmund Aubril,﻿C.P.M.,"﻿Vic. Gen, Pastor",,,,,,1864,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0002,﻿church,﻿Church of the Immaculate Conception,English,,,,﻿Duval County,,﻿Jacksonville,﻿Jacksonville,﻿FL,,30.329213,-81.655514,,,,,,,,,,,,,,1864,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0030,﻿church,not recorded,English,,,,﻿Duval County,﻿Clay County,﻿Middleburgh,,﻿FL,,30.06909763,-81.87049621,﻿sta.fl.0002,﻿attended from Jacksonville,,,,,,,,,,,,1864,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0011,﻿church,not recorded,English,,,,﻿Duval County,,﻿Mandarin,﻿Mandarin,﻿FL,,30.149492,-81.640922,﻿sta.fl.0031,﻿Attended from Josephstown,,,,,,,,,,,,1864,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0031,﻿church,﻿Church of St. Joseph,English,"﻿Address Mandarin P.O., Fla.",,,﻿Duval County,,﻿Josephstown,﻿Mandarin,﻿FL,,30.1404473,-81.65343965,,,,﻿j_f_chambon_001,﻿Rev.,﻿John F. R. Chambon,,,,,,,,1864,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0007,﻿church,not recorded,English,﻿vacant,,,﻿Putnam County,,﻿Pilatka,﻿Palatka,﻿FL,,29.64858,-81.637582,﻿sta.fl.0001; sta.fl.0002,﻿Attended from Jacksonville or St. Augustine,﻿the last Sunday of every month,,,,,,,,,,,1864,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0009,﻿church,not recorded,English,,,,,,﻿Sampsonville,﻿Sampson,﻿FL,,29.918675,-82.208056,﻿sta.fl.0031,﻿Attended from Josephstown,﻿occasionally,,,,,,,,,,,1864,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0015,﻿church,not recorded,English,,,,,,﻿Diego,,﻿FL,,30.163432,-81.389977,﻿sta.fl.0031,﻿Attended from Josephstown,﻿occasionally,,,,,,,,,,,1864,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0006,﻿church,not recorded,English,,﻿Amelia Island,,﻿Nassau County,,﻿Fernandina,﻿Fernandina Beach,﻿FL,,30.666943,-81.436267,﻿sta.fl.0032,﻿Attended from Old Town,,,,,,,,,,,,1864,﻿,﻿,﻿VAFlorida,VAFlorida
﻿sta.fl.0032,﻿church,not recorded,English,,,,,﻿Dixie County,﻿Old Town,,﻿FL,,29.60162176,-82.98071861,,,,﻿emi_hilaire_001,﻿Rev.,﻿Emile Hilaire,,,,,,,,1864,﻿,﻿,﻿VAFlorida,VAFlorida
